names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IA Mgp Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Stmn2,3.8550386,3.4052494,0.00011571140219903268,0.18496470386832847,0.8888888888888888,0.569264379342454,2.269545,0.59819067
Calm2,3.3691895,2.276061,0.0007538960693553254,0.21444641981483248,0.8888888888888888,0.8573168111166822,2.766274,1.4051458
Aldoa,3.3295581,3.875825,0.0008698388430744338,0.22412104936291413,0.7777777777777778,0.4655110665425113,2.3276732,0.488805
Camk1d,3.185939,1.3299024,0.0014428499958803898,0.2513610831724075,1.0,0.9539789413365805,3.1852105,2.3241305
Cox4i1,3.1564586,3.4986877,0.0015969758455973413,0.25931491660441597,0.7777777777777778,0.52775589141179,2.3015013,0.58515066
Tmsb4x,3.0422993,2.8170888,0.0023477840471983194,0.27668840942201245,0.8888888888888888,0.7215457345462359,2.6904502,1.0816097
Map1b,2.7439592,1.3284986,0.006070308744109622,0.37324758799593943,0.8888888888888888,0.857245183009813,2.470468,1.6698805
Rtn1,2.7149541,1.5765686,0.006628494119572622,0.3855143657855332,0.8888888888888888,0.9052718286655683,2.8345993,1.8519583
Hsp90ab1,2.7021573,2.3444817,0.006889117223128918,0.386777897411526,0.8888888888888888,0.8093259795143615,2.5024571,1.1655587
Gapdh,2.6759224,3.5856986,0.00745238730852499,0.40167762051117784,0.6666666666666666,0.3496526036816847,1.8799272,0.38015804
Rnasek,2.5451622,3.732618,0.010922695811231675,0.4519274676699654,0.6666666666666666,0.314912971850154,1.7639245,0.31023145
Rpl15,2.5097277,3.1561751,0.012082424660129956,0.46847727361860303,0.6666666666666666,0.4023708903373684,1.5315944,0.34124336
Atp6v0c,2.4699106,2.4192634,0.013514683384470361,0.4940674048173042,0.7777777777777778,0.6817921352338657,2.1449823,0.87961346
Rpl38,2.4493196,3.128073,0.014312634213313144,0.5033775933399531,0.6666666666666666,0.4794785473819927,1.8926787,0.49760935
Ubb,2.314218,2.9042687,0.02065576427991303,0.5955154358382652,0.6666666666666666,0.48263018408423464,1.9697042,0.60101503
Atp1b1,2.2763028,1.4648343,0.022827895195404194,0.6136217068378328,0.7777777777777778,0.8601819353914476,2.3573253,1.4961213
Nrgn,2.2457058,2.1350005,0.024722851960911774,0.6308670771032283,0.7777777777777778,0.73529833106511,2.193699,1.0346533
Prdx2,2.1646862,3.7525454,0.030411720639742127,0.6843910666581834,0.5555555555555556,0.2248048134087816,1.2382963,0.1670019
App,2.1560655,0.85762423,0.031078560267712264,0.688125659761905,0.7777777777777778,0.8994341379557338,2.329817,1.8114069
Grina,2.1001642,2.7621763,0.035714408462610196,0.724808274464,0.6666666666666666,0.47013107943557053,1.5029722,0.41553053
Uqcrq,2.0840387,3.5889082,0.03715664477449615,0.7373637033701828,0.5555555555555556,0.30595945849151207,1.5869317,0.2800345
Ppia,2.0229897,2.833786,0.04307420652453192,0.7788720924052306,0.6666666666666666,0.5328773010529332,1.9753217,0.6264128
Hspa8,2.0065956,2.4249547,0.04479273999936881,0.7953195450150276,0.6666666666666666,0.6712986175775374,2.0952582,0.84468883
Rps10,1.9780247,3.1644719,0.04792591423689402,0.820797948111483,0.5555555555555556,0.34814841343743286,1.5093284,0.3314623
Got2,1.9580748,3.115144,0.05022123905258935,0.8381644058031527,0.5555555555555556,0.3610772867273118,1.2392169,0.24927416
Cfl1,1.9329565,2.9957554,0.05324156773678348,0.86441143509811,0.5555555555555556,0.35344889334574886,1.4367125,0.33792564
Ttc3,1.8507997,0.8307404,0.0641983719138628,0.9349649069514868,0.7777777777777778,0.8957811045054079,2.4047914,1.8968946
Mgst3,1.8490012,4.4158683,0.06445765138116093,0.9372170414565986,0.4444444444444444,0.15292600816560417,1.1554922,0.09705585
Copb1,1.8262602,2.994211,0.06781107567596163,0.9654410931078035,0.5555555555555556,0.370174056299692,1.208728,0.25838217
Selenow,1.7888204,2.342548,0.07364374311239534,0.9991836360566236,0.6666666666666666,0.545483847861901,1.5646847,0.5570415
Stmn1,1.7845203,2.9392915,0.07433915764542608,0.9991836360566236,0.5555555555555556,0.4356063319246472,1.597492,0.41458908
Cmss1,1.7632265,1.1715394,0.07786228735967608,0.9991836360566236,0.7777777777777778,0.8417735119260797,2.0360744,1.3754628
Selenom,1.7404857,3.720161,0.08177377863621423,0.9991836360566236,0.4444444444444444,0.18247260224912257,1.1516628,0.15199958
mt-Nd2,1.7049065,2.555824,0.08821187101309266,0.9991836360566236,0.5555555555555556,0.43732540648950646,1.5380448,0.48345986
Nap1l5,1.7039555,3.0339117,0.0883894051369154,0.9991836360566236,0.5555555555555556,0.35570517871212665,1.3174993,0.28804636
Rpl35a,1.7028184,2.605298,0.08860205214717215,0.9991836360566236,0.5555555555555556,0.44459565933672374,1.482188,0.44414577
Calm3,1.6938047,2.7056973,0.09030238841262649,0.9991836360566236,0.5555555555555556,0.46142826445097057,1.5513518,0.45100945
Cep19,1.6623809,3.986989,0.09643641284691797,0.9991836360566236,0.4444444444444444,0.22050712699663347,1.1661478,0.13045911
Rpl35,1.6456354,3.4499955,0.09983884854831658,0.9991836360566236,0.4444444444444444,0.21269966334789772,1.1706774,0.18525447
Uchl1,1.6052599,2.7015734,0.1084366106793488,0.9991836360566236,0.5555555555555556,0.5049423393739704,1.5877872,0.4690275
Atp1a3,1.6034406,1.637863,0.10883739799987477,0.9991836360566236,0.6666666666666666,0.7067545304777595,1.6660466,0.8666409
