names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 PPP Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Npsr1,6.1888657,7.346198,6.059860943602652e-10,1.0005260501517288e-05,1.0,0.06544165054803353,2.4490874,0.06298253
Tshz2,6.156284,5.4639616,7.447160775226861e-10,1.0005260501517288e-05,1.0,0.3969840246435991,3.571794,0.57855016
Cntn4,6.041542,3.977823,1.5264802103235562e-09,1.3672174417131319e-05,1.0,0.6513360555913748,3.6781986,1.2378777
Angpt1,5.9903817,5.0975804,2.093493417090649e-09,1.4063042029306434e-05,1.0,0.2068199727774196,2.2006333,0.21070422
Sox5,5.9287615,3.2956095,3.0522790825452916e-09,1.4084911630121487e-05,1.0,0.620280822408482,2.9663832,1.0564232
Brinp3,5.905968,4.207328,3.505819555343923e-09,1.4084911630121487e-05,1.0,0.6309907586503332,3.6296124,1.0941368
Pcgf5,5.8984504,3.4839995,3.669310807995922e-09,1.4084911630121487e-05,1.0,0.39913317572892043,1.6269835,0.31145224
Magi2,5.7905555,1.8988557,7.015407835060401e-09,2.077063532265243e-05,1.0,0.9233827638082958,4.240254,2.9626238
Ndst3,5.7690177,3.6546843,7.973497737944025e-09,2.077063532265243e-05,1.0,0.47571459273586936,2.4052427,0.588042
Agbl4,5.7680545,2.6801267,8.019199333425966e-09,2.077063532265243e-05,1.0,0.7529909019270722,3.2814565,1.6087489
Ctnna2,5.744487,1.9649513,9.22002975977553e-09,2.077063532265243e-05,1.0,0.8865248226950354,3.7712743,2.4739864
Tox,5.733047,4.049727,9.86423870142415e-09,2.077063532265243e-05,1.0,0.4138190414786159,2.6432745,0.5814013
Astn2,5.729899,3.2804165,1.0049060632470473e-08,2.077063532265243e-05,1.0,0.6348592306039115,2.9367425,1.042941
Ralyl,5.6774135,2.1372666,1.367467171204814e-08,2.6245602064480963e-05,1.0,0.8559352389139623,3.6482375,2.2516072
Egfem1,5.627233,2.771892,1.8312306613099742e-08,3.280344524626601e-05,1.0,0.7733003796833584,3.6511889,1.8707858
Cadm1,5.591142,1.9708024,2.255809680796617e-08,3.788350382687819e-05,1.0,0.8591947847266996,3.2939305,2.0307465
Col23a1,5.4959083,3.5265217,3.887049972805144e-08,5.915568087776574e-05,1.0,0.2345798409628197,1.2317625,0.19114436
Ryr3,5.4925017,2.4443963,3.962792168960861e-08,5.915568087776574e-05,1.0,0.7198223368436134,2.9234247,1.4432433
Rxfp1,5.460763,4.851264,4.7409256538709785e-08,6.704666964184905e-05,0.9230769230769231,0.18425388638154597,1.8513513,0.17057092
Raver2,5.42622,2.909963,5.755998831661048e-08,7.559654048503631e-05,1.0,0.4218067196790601,1.5666181,0.40833825
Cdh7,5.421558,3.4706051,5.908177708171799e-08,7.559654048503631e-05,1.0,0.2307471881939967,1.1732281,0.18347125
Ncam2,5.4044757,2.2422476,6.499816740799264e-08,7.901807813636311e-05,1.0,0.859839530052296,3.537251,2.0861077
Inpp4b,5.397337,3.1764452,6.763735754136031e-08,7.901807813636311e-05,1.0,0.591625474604198,2.655399,0.9015607
Pbx3,5.3715158,3.4877117,7.807762350153092e-08,8.403543088936408e-05,1.0,0.3374167203954438,1.7474887,0.35245827
Gm2164,5.365254,3.420055,8.083547129843828e-08,8.403543088936408e-05,1.0,0.3075077011247224,1.7585945,0.37076056
Satb2,5.3641872,3.2238789,8.1314521887736e-08,8.403543088936408e-05,1.0,0.4203739522888459,1.9397156,0.49321285
Gm19410,5.3460555,3.8425128,8.989159221504819e-08,8.853757136817484e-05,0.9230769230769231,0.19990687011963607,1.1036302,0.1314402
Lekr1,5.341342,2.4904654,9.226096011570137e-08,8.853757136817484e-05,1.0,0.45891539508560786,1.2713459,0.37607205
Ccser1,5.321301,1.7424113,1.0302777714890158e-07,9.546056455141328e-05,1.0,0.8624901497241922,3.3925245,2.2607014
Rbfox1,5.248207,1.7127866,1.5358678847418324e-07,0.00013756256687671013,1.0,0.9406476108603768,4.584871,3.4206488
Tshz3,5.235752,2.973105,1.6431435122333437e-07,0.00014242343927003208,1.0,0.3878501325309836,1.4946607,0.3648933
Zfp385b,5.2246046,2.4890265,1.7452746064967929e-07,0.00014654852711427758,1.0,0.6665592091124006,2.566423,1.1445199
Ldb2,5.1949472,2.9358406,2.0477773144343915e-07,0.00016673871648137002,1.0,0.5562003008811519,2.4095798,0.8431799
Gprin3,5.12999,3.2298253,2.897573723838195e-07,0.0002240010676779281,0.9230769230769231,0.2747331470735726,1.0328238,0.17632402
Cacna2d3,5.1286826,2.190792,2.917766047163187e-07,0.0002240010676779281,1.0,0.7462568951930654,2.861509,1.5285223
Zmat4,5.1001434,2.5333164,3.39396063489021e-07,0.0002495398250600358,1.0,0.6009742818253456,2.195128,0.8665431
Cdh20,5.097804,3.153066,3.4361643197697524e-07,0.0002495398250600358,1.0,0.47936814958091556,2.2705824,0.68124986
Chrm3,5.0837665,2.7428014,3.700226637844022e-07,0.0002616449730496549,1.0,0.660541586073501,2.9121313,1.2806145
Esrrg,5.065566,2.644261,4.0718836355688115e-07,0.0002805423417634204,1.0,0.5265061967189627,1.7846484,0.58387536
Ntng1,5.058358,2.9873013,4.2288147747894784e-07,0.0002840706324964832,1.0,0.5702056021204958,2.5813649,0.93232054
Sntb2,5.039676,2.76348,4.6632030963723667e-07,0.00030561040780372075,0.9230769230769231,0.49344508918977004,1.6456617,0.48010075
Rit2,4.985436,2.3507512,6.182220359569262e-07,0.00039551490728958593,1.0,0.6670606776989756,2.1419773,0.90564245
Adgrl3,4.9409328,1.5695664,7.774969651430806e-07,0.0004858451965905715,1.0,0.8833727344365643,3.4186728,2.3932002
Samd5,4.9295273,2.4854877,8.242875356702645e-07,0.0005033774109877274,1.0,0.48413210115337774,1.6707126,0.5713598
Tmtc1,4.901487,2.5453768,9.511389488249957e-07,0.0005563682988956657,1.0,0.511605415860735,1.6397479,0.5374116
Thsd7b,4.9012117,2.940321,9.524727111723344e-07,0.0005563682988956657,1.0,0.5555197363708002,2.4171572,0.84615225
Asap1,4.8846974,2.2279427,1.0358786953062109e-06,0.0005922140541037848,1.0,0.7018411060964252,2.267493,1.0464631
Slc35f1,4.879588,2.4104326,1.063076238403066e-06,0.000595101219289383,1.0,0.6550612508059317,2.3760424,1.0424922
Etv5,4.8391447,2.9200294,1.3039912459526072e-06,0.0007150662199744194,0.9230769230769231,0.36768393151371875,1.2948855,0.3002576
Trmt9b,4.820858,4.046504,1.429419380495528e-06,0.0007681699750782967,0.8461538461538461,0.17501253671466438,1.102737,0.114921734
