names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SMC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Myl6,5.8517494,5.022673,4.864290060424256e-09,6.04590022891803e-05,0.9333333333333333,0.3839733486172804,2.6925852,0.35318735
Acta2,5.803431,11.188098,6.497148071985541e-09,6.04590022891803e-05,0.8666666666666667,0.0069494196876343315,2.9122946,0.007429437
Myh11,5.7970247,10.771451,6.750167728602192e-09,6.04590022891803e-05,0.8666666666666667,0.014794383149448346,2.803379,0.008828603
Actb,5.4415956,3.5929394,5.280548771634327e-08,0.0001971173110839803,0.9333333333333333,0.6835506519558676,2.8371446,0.8465266
Mylk,5.2847567,7.901559,1.2587187862142e-07,0.0002787134379334484,0.8,0.055165496489468405,2.1905913,0.03266848
Ebf1,5.167284,6.6597085,2.3752030334735377e-07,0.00035480808097124265,0.8,0.08618713282705259,2.3704069,0.09162818
mt-Atp6,5.0885043,4.1778564,3.608986953581693e-07,0.0004848673972137004,0.8666666666666667,0.3668863734059321,2.2574608,0.38722008
Rpl35a,4.9054165,3.5971596,9.32293588146984e-07,0.0008590274063262622,0.8666666666666667,0.44440464249892536,2.0485835,0.44361827
Tpm2,4.9005156,9.786665,9.558543818979863e-07,0.0008590274063262622,0.7333333333333333,0.0063404499211921475,1.7723666,0.0055152522
Myl9,4.893405,9.351056,9.910625082290333e-07,0.0008590274063262622,0.7333333333333333,0.009313655251468692,1.9214671,0.008889162
mt-Cytb,4.733011,4.415159,2.2121377184734997e-06,0.001350912283985976,0.8,0.310252185126809,2.1462333,0.3030613
Tpm1,4.6504354,4.0327525,3.3123495544832145e-06,0.0016276850535729246,0.8,0.4528585757271815,2.0977285,0.36234862
Pde3a,4.6441894,5.681843,3.4141421746393836e-06,0.0016381785755814327,0.7333333333333333,0.1261642069064336,2.0052812,0.11798102
mt-Co3,4.595807,3.351218,4.3107769564055544e-06,0.0019768480730363827,0.8666666666666667,0.6079309356641353,2.572082,0.78161806
Rplp1,4.534084,3.0445864,5.785409978469031e-06,0.002325142180862038,0.8666666666666667,0.6537827769021349,2.430134,0.813433
Rps8,4.496608,2.7993116,6.904622990217218e-06,0.0025747785300705927,0.8666666666666667,0.5452070497205903,1.9021566,0.598225
Tmsb4x,4.4956307,2.6747959,6.936403225168445e-06,0.0025747785300705927,0.9333333333333333,0.7214858862301189,2.5984142,1.0813134
Crip1,4.436502,8.78474,9.14325256119203e-06,0.003048099803963126,0.6666666666666666,0.010853990543057745,1.8221084,0.011687679
Flna,4.4279976,4.69902,9.51118992562368e-06,0.003048099803963126,0.7333333333333333,0.2610330992978937,1.6812435,0.15557376
Slc38a11,4.4275975,8.580243,9.528856849010143e-06,0.003048099803963126,0.6666666666666666,0.01687204470554521,1.6766728,0.011295295
Vim,4.411678,7.642704,1.0257255083373734e-05,0.0032097038174616404,0.6666666666666666,0.019451210775182692,1.5861737,0.019254074
Cst3,4.3735933,3.2154667,1.2221787787842139e-05,0.003565808633504718,0.8666666666666667,0.5867244590915603,2.5250182,0.8051894
Igfbp7,4.3714633,7.3922787,1.2341652508966832e-05,0.003565808633504718,0.6666666666666666,0.03617996847685915,1.7289333,0.027214197
Mcam,4.3414345,6.234715,1.4155542719459369e-05,0.0037382681502950432,0.6666666666666666,0.0419472703825763,1.2773644,0.03377796
Fth1,4.34089,2.9463928,1.4190671802385353e-05,0.0037382681502950432,0.8666666666666667,0.579954148158762,2.2350507,0.73374635
Myom1,4.320054,7.0127378,1.5599099505952642e-05,0.003954224563442901,0.6666666666666666,0.06562544777188709,1.7021145,0.03414554
Pls3,4.3127832,2.735368,1.6121228799922815e-05,0.004021960997925954,0.8,0.5172660839661842,1.6666588,0.49766842
mt-Co1,4.284628,3.5194592,1.8304519320881802e-05,0.0044310129202891355,0.8,0.5145078091417108,2.353415,0.6044844
Phldb2,4.252725,5.791089,2.1118451253155526e-05,0.004765104171640648,0.6666666666666666,0.08138701819744949,1.6701732,0.075007915
Map3k20,4.157802,5.525576,3.2132409082275504e-05,0.006211495194537718,0.6666666666666666,0.128349333715432,1.5712204,0.07951814
Csrp1,4.126204,5.1030173,3.688004397888435e-05,0.006787443710360427,0.6666666666666666,0.11144146725891961,1.5506037,0.10262258
Dlc1,4.1123347,2.8984442,3.9167824554912785e-05,0.007159452012180317,0.8,0.548216076801834,2.1649063,0.71027094
Rps14,4.0905056,3.184159,4.304339534819571e-05,0.007609052848723807,0.8,0.462888665997994,1.8359421,0.4573748
Rcan2,4.061085,3.4728603,4.88451271887653e-05,0.008345604338015419,0.7333333333333333,0.36724459091560396,1.6961244,0.33722088
Utrn,4.053606,3.5975034,5.0434114373109086e-05,0.00844117001916936,0.7333333333333333,0.37573434589482735,1.9974481,0.42281908
mt-Co2,4.051732,3.9023066,5.083981933824144e-05,0.00844117001916936,0.7333333333333333,0.3476859148875197,1.9859501,0.35093763
Rps9,4.0277734,3.53655,5.63076053700706e-05,0.008895588915066779,0.7333333333333333,0.31498065625447774,1.5412675,0.2748359
Pln,4.0040064,9.325185,6.227867015982828e-05,0.009501253650961444,0.6,0.006662845679896833,1.1780354,0.00349843
Rps29,4.002837,3.0155857,6.258734262077319e-05,0.009501253650961444,0.8,0.5169795099584468,1.955543,0.5597997
Rps2,3.9939647,3.6110241,6.497751826882725e-05,0.009808684920693193,0.7333333333333333,0.3017982518985528,1.5691932,0.27096155
Kcnab1,3.986934,2.22295,6.693262617632825e-05,0.009936351742309061,0.8,0.6764937670153317,2.3464599,1.1065453
Notch3,3.9439168,7.28576,8.016151031466054e-05,0.011396506783888512,0.6,0.026758847972488894,1.3234525,0.017510446
Rbpms,3.926716,6.7762547,8.611349405503074e-05,0.011838692035745208,0.6,0.026364808711849836,1.3474225,0.025646374
Filip1l,3.9256432,4.864508,8.649830943054814e-05,0.011838692035745208,0.6666666666666666,0.22069780770884082,1.7581425,0.1525723
Rps12,3.9178276,3.329903,8.935055388833468e-05,0.011885392985047292,0.7333333333333333,0.33092133543487606,1.5139464,0.30196148
Ahnak,3.8998423,6.2724385,9.625533662312085e-05,0.012494593695957764,0.6,0.03213211061756699,1.2394121,0.031246813
Calm2,3.89089,1.7849243,9.987730231252406e-05,0.012642047203674915,0.9333333333333333,0.8572861441467259,2.4508824,1.405023
Cald1,3.8889358,4.72246,0.00010068470791166475,0.012642047203674915,0.6666666666666666,0.2449133113626594,1.9025824,0.19559203
Mgp,3.8764598,6.020523,0.00010598726580045181,0.0130795022106601,0.6,0.034675454936237284,1.2773842,0.039081
Pcp4l1,3.8662422,5.953362,0.00011052522926873364,0.01325809335022711,0.6,0.04603094999283565,1.1297702,0.033250008
