names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR Prox1 Lhx6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Sox5,3.8223,2.414948,0.00013221271191555351,0.09348830445186639,0.9,0.6203574370545467,2.398926,1.0568317
Sfta3-ps,3.8129447,8.77849,0.0001373209142282213,0.09441461887282725,0.7,0.00873894201497081,1.317064,0.0062031923
Rapgef4,3.807198,1.685113,0.0001405502327842609,0.09441461887282725,1.0,0.725475448587085,2.133679,1.1986088
Sgcz,3.7801712,2.6650715,0.00015672052955741032,0.10217637985623063,1.0,0.747860033666416,3.381618,1.7012062
Rian,3.775464,1.7183018,0.00015971000945149558,0.10217637985623063,1.0,0.7617205687475377,2.6086552,1.5734762
Gna14,3.7690115,6.3770456,0.0001638953715652982,0.1022083716586026,0.7,0.017262992013180045,0.64944094,0.010942313
Cntnap2,3.7637749,1.8850251,0.0001673676350196693,0.1022083716586026,1.0,0.9142939006482576,4.0438347,2.7833698
Adamts5,3.7577536,6.16041,0.00017144558938001454,0.1023720663697998,0.7,0.02471258192758139,0.76654655,0.015981967
Dlx6os1,3.7503202,4.2005405,0.00017660886526081298,0.10316261325126184,0.8,0.27857168439525803,2.3144755,0.4027993
Nrxn3,3.7372189,1.8451419,0.00018606702344998305,0.10637491319363925,1.0,0.9292647111493141,4.3498287,3.1037905
Abtb3,3.7104275,3.1726463,0.000206909626361814,0.11346248286412126,0.8,0.156584649546936,0.8657938,0.1421068
Cntnap4,3.704014,3.4574392,0.00021221457940680458,0.11404411497321677,0.8,0.3516349700941943,1.9574076,0.440561
Gpr176,3.6971297,2.8533227,0.00021805087743647874,0.11488288385721929,0.8,0.3111994556068909,1.0220034,0.22005036
Tacc2,3.6680634,2.506149,0.0002443946721632006,0.12436992051173919,0.9,0.3672862719816625,0.94829214,0.245568
