names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MV-SPIV Zic4 Neurod2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rangap1,2.9737558,5.616237,0.0029417906693262694,0.999522987190554,1.0,0.3574906903466056,2.7185552,0.25358874
Dach1,2.9583244,5.9124246,0.003093164282802808,0.999522987190554,1.0,0.21945717559438557,2.7185552,0.21112779
Gpatch8,2.9015753,2.4059145,0.003712914450383919,0.999522987190554,1.0,0.8018834144944142,2.7185552,1.3006116
Canx,2.8858218,4.133942,0.0039039324958574217,0.999522987190554,1.0,0.6536450873675165,2.939471,0.7030438
Marchf1,2.850913,2.397019,0.0043593894968435454,0.999522987190554,1.0,0.8369736465196219,3.6010468,2.0497277
Slc25a4,2.8431435,4.5722365,0.0044670941432623824,0.999522987190554,1.0,0.46329848181036953,2.7185552,0.46697354
Ubb,2.7615108,4.6423903,0.005753459127181521,0.999522987190554,1.0,0.4826339157834431,3.0720603,0.6011907
Tnr,2.6028643,2.2984507,0.009244853498077544,0.999522987190554,1.0,0.7381122887424807,2.7185552,1.3553479
Hsp90ab1,2.5820265,3.3614073,0.009822204210664981,0.999522987190554,1.0,0.8093311372099685,3.1653354,1.1657745
Camk1d,2.5390263,2.2621033,0.011116151631108594,0.999522987190554,1.0,0.9539888284159267,3.8116047,2.324249
Unc5d,2.451987,3.294204,0.014206974835646312,0.999522987190554,1.0,0.6383915783443139,3.1653354,1.1980681
Atp1b1,2.4205873,2.0307372,0.015495462858154518,0.999522987190554,1.0,0.8601403609281009,2.7185552,1.4962676
Rgs7,2.3429646,2.1618254,0.019131200228639494,0.999522987190554,1.0,0.8079704955600114,3.1653354,1.803707
Gphn,2.2958825,1.2227646,0.021682596636666693,0.999522987190554,1.0,0.8810512747063879,2.7185552,1.9553334
Dmd,2.1513426,1.5488552,0.03144916439966283,0.999522987190554,1.0,0.8749283872815812,3.2861106,2.282071
Epha6,1.94053,1.582435,0.052315323908851644,0.999522987190554,1.0,0.8858851331996562,3.6010468,2.5572052
Zfp758,1.8766559,6.394865,0.06056526636750627,0.999522987190554,0.6666666666666666,0.12292323116585506,1.8988293,0.06529774
