names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENTmv-PA-COAp Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pde1a,12.408824,1.6130232,2.3406441619170446e-35,2.858777665032318e-32,0.9542857142857143,0.7619974059662775,2.6001122,1.6243334
Slit3,12.261068,1.6390892,1.4655538494282847e-34,1.7121492145277396e-31,0.9657142857142857,0.7252485948984003,2.638085,1.6427567
Gm1604a,12.243463,2.1689773,1.820950606776421e-34,2.0387059501701013e-31,0.7428571428571429,0.2509007061536244,0.5737507,0.15898111
Fgf12,12.233743,1.2357862,2.0525811004111164e-34,2.136425865397035e-31,0.9657142857142857,0.8545539703127252,2.9618824,2.173041
Atp2b4,12.233165,1.6604016,2.0672524190667256e-34,2.136425865397035e-31,0.8914285714285715,0.4441922467214296,1.0010226,0.43467432
Camk2d,11.997066,1.7465806,3.681169957642766e-33,3.663445805994856e-30,0.9142857142857143,0.5583657587548638,1.6228418,0.79395545
Cdh13,11.987807,1.9464264,4.11660452658775e-33,3.950470129621887e-30,0.88,0.5419008502666091,1.7563322,0.8078605
Ssbp2,11.813864,1.2186135,3.309951086617189e-32,3.0668408861173743e-29,0.9314285714285714,0.7716890041792765,1.9726236,1.2973557
Gm49678,11.798623,1.8303066,3.967499718331925e-32,3.5535572477192944e-29,0.92,0.5538622279867416,1.8342329,0.9079484
Rasgef1b,11.767259,1.6583266,5.756482694548181e-32,4.989570645242246e-29,0.9085714285714286,0.5429816976509584,1.4952394,0.74016535
Celf2,11.650547,0.9770805,2.2799043562440196e-31,1.9144071891336504e-28,0.9942857142857143,0.9664577028390258,4.369486,3.7044036
Negr1,11.623669,1.1077639,3.124261153994023e-31,2.543905975994527e-28,0.96,0.9021112552240957,3.2749188,2.549824
Tmem132d,11.521854,1.7358563,1.0238399213689123e-30,8.091346672700787e-28,0.8571428571428571,0.47503242542153046,1.3185,0.59992105
Efna5,11.508175,1.9022908,1.1999084656560559e-30,9.211868706336634e-28,0.84,0.41122640149877504,1.2621653,0.51738876
Nlgn1,11.368963,0.8941265,5.9692695003981146e-30,4.455396429880482e-27,0.9828571428571429,0.9543522121343133,4.002519,3.398313
Caln1,11.316269,1.33126,1.0901394046145184e-29,7.916769135673543e-27,0.9428571428571428,0.701614065427295,1.9093112,1.1892264
Mctp1,11.193011,1.4145606,4.4119039570622925e-29,3.119680508585889e-26,0.9657142857142857,0.7417495316328001,2.2911906,1.4664012
Cadps2,10.900301,1.6503967,1.1487614792291615e-27,7.914672037663479e-25,0.8857142857142857,0.5477734543882404,1.5657947,0.79126996
Celf4,10.88106,1.1025686,1.4190390207664574e-27,9.532394621998677e-25,0.9371428571428572,0.7915045395590142,2.2360213,1.587459
Oxr1,10.823226,1.0998154,2.6720427068770677e-27,1.7219743163321362e-24,0.96,0.8553105634817697,2.7335331,2.042871
Macrod2,10.822558,0.96030295,2.6915862034220214e-27,1.7219743163321362e-24,0.9828571428571429,0.8874117307969448,3.1669807,2.5404143
Cdh9,10.795275,1.6079862,3.623757483527641e-27,2.2644270600555283e-24,0.9314285714285714,0.5335422971609742,1.5457791,0.7934735
Lrrc4c,10.787239,1.2152486,3.954939433932185e-27,2.4152096043126775e-24,0.9657142857142857,0.9150093673439977,3.4182167,2.618274
Cadm1,10.771881,0.95663875,4.673538704680491e-27,2.790621888772551e-24,0.9485714285714286,0.8586972186193976,2.6247394,2.0275931
Slc26a4,10.746752,1.9197644,6.13853660523085e-27,3.5857060561424556e-24,0.6971428571428572,0.2737786424556853,0.57539636,0.1869605
Cep112,10.66583,1.5681642,1.4708052273741664e-26,8.408624778626351e-24,0.8342857142857143,0.4876783398184176,1.1203642,0.528698
Gda,10.655057,1.293575,1.651441662513232e-26,9.24463280661053e-24,0.9028571428571428,0.5736777633664794,1.1149013,0.60757744
Cntn3,10.640009,1.4632182,1.9411020992029308e-26,1.064437008277199e-23,0.9257142857142857,0.6620910794062546,1.8667775,1.0929163
Agbl4,10.623993,1.3468071,2.3048600646853052e-26,1.238631798761883e-23,0.9428571428571428,0.7519094970456838,2.4079585,1.6044924
Nfib,10.598454,1.0976765,3.0294416359302797e-26,1.596099936420522e-23,0.9371428571428572,0.817661046260268,2.363146,1.7042301
