names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-NT NN (for_DEGs),mean_expr_Rest (for_DEGs)
Luzp2,8.429365,3.7416718,3.475447097615853e-17,9.338526351293797e-13,0.9722222222222222,0.5586305789568023,3.0809033,0.93737894
Sparcl1,8.315026,3.4902136,9.17315897437101e-17,1.2324139082067452e-12,0.9444444444444444,0.5905717870586127,2.5335608,0.7090835
Slc1a2,8.263762,3.906545,1.411512612111217e-16,1.2642447962476135e-12,0.9166666666666666,0.7304893350062736,3.5836792,1.2042544
Plpp3,8.110621,4.7837787,5.036149911584008e-16,3.3830337031065577e-12,0.8611111111111112,0.2636314751747625,2.383936,0.305639
Atp1a2,7.9335184,4.8815384,2.1302268834464367e-15,1.144783927164115e-11,0.8611111111111112,0.3146800501882058,2.787659,0.41680482
Slc1a3,7.7615867,4.1759214,8.38734661445974e-15,2.504088928117036e-11,0.8611111111111112,0.3145008065961642,2.2774427,0.39486986
Nhsl1,7.682596,4.7622585,1.558965960548646e-14,4.1889415359942114e-11,0.8055555555555556,0.215271554041943,1.907956,0.1918459
Ntm,7.402675,2.3060231,1.3346797778991777e-13,3.2602586938319005e-10,0.9444444444444444,0.8150923104499014,3.4672031,1.9848803
Npas3,7.3869658,3.7320693,1.5021700239818166e-13,3.363609045365951e-10,0.8611111111111112,0.5844775049291988,3.2182763,1.0314009
Nrxn1,7.326332,1.4605842,2.365371237972098e-13,3.9723453227693923e-10,0.9722222222222222,0.9668040867538985,4.6167855,3.6215534
Gpc5,7.227568,4.463745,4.917193109787762e-13,5.854029542514618e-10,0.8333333333333334,0.613801756587202,3.937245,1.1873875
Slc4a4,7.127863,3.8598464,1.0193908587165797e-12,1.0144826805079443e-09,0.8055555555555556,0.5073669116329091,2.8757792,0.7668347
Nfia,7.11506,2.3218267,1.1186417546500711e-12,1.0591012703155757e-09,0.8888888888888888,0.7395232120451694,2.6873474,1.3187413
Trpm3,7.1120815,3.0535378,1.1430568231913546e-12,1.0591012703155757e-09,0.9166666666666666,0.6868614447033519,3.2884912,1.4128859
Rorb,7.0597315,4.2487736,1.6682466463114077e-12,1.311498818489593e-09,0.7777777777777778,0.24147696719842265,2.0859408,0.3155036
Ptprz1,6.819916,3.4175503,9.109375698634258e-12,4.813576495926254e-09,0.8333333333333334,0.5668757841907152,2.699441,0.83211976
Apoe,6.812015,3.7857356,9.62411459598525e-12,4.973076138348532e-09,0.8055555555555556,0.3463703172611579,2.1482387,0.4375192
Sox6,6.6948323,3.5315335,2.1591923780095216e-11,9.523853482949822e-09,0.8055555555555556,0.30908765011650835,2.0742407,0.471099
Gm3764,6.611188,3.7066658,3.812481609524345e-11,1.4846576934481037e-08,0.7777777777777778,0.5392005735794946,2.3538115,0.54788107
Bmpr1b,6.54377,3.9699934,5.998708477559635e-11,2.12085916831615e-08,0.7222222222222222,0.17763039971321026,1.4705974,0.19383204
Dtna,6.4356775,1.9761621,1.2292369319643343e-10,3.979469441190562e-08,0.8333333333333334,0.7536476070980462,2.2621799,1.1590273
Qki,6.416018,2.291623,1.3988501182269126e-10,4.462422428228594e-08,0.9166666666666666,0.8296110414052698,3.0080614,1.5956128
Nwd1,6.4146323,4.842061,1.4116334439874598e-10,4.462422428228594e-08,0.6666666666666666,0.1005198064169206,1.2714976,0.08569241
Msi2,6.4018497,2.8277624,1.535057846284128e-10,4.796163294145874e-08,0.8055555555555556,0.6529485570890841,2.2958803,0.81458753
Lsamp,6.317616,1.1790135,2.656292437124106e-10,7.674685783389756e-08,0.9722222222222222,0.9729342176017207,4.879301,4.0716434
Lama2,6.314906,3.905211,2.7032514530135376e-10,7.727273036433379e-08,0.7222222222222222,0.2218677182290733,1.7636163,0.27960584
Ptn,6.310325,2.6090279,2.784502336840731e-10,7.793706019886504e-08,0.8333333333333334,0.6011830077074745,2.1140096,0.7854922
Macf1,6.2739425,1.4390814,3.5201842110997953e-10,9.554277752752677e-08,0.8888888888888888,0.878508693314214,2.7118595,1.8220218
Cdh20,6.208438,2.653896,5.351391502354012e-10,1.31919164833259e-07,0.8055555555555556,0.47918981896397206,1.9647882,0.680334
Ctnnd2,6.1237593,1.0945938,9.139294567713112e-10,2.1354160437778375e-07,0.8888888888888888,0.8852124036565693,3.1706617,2.4585063
Lrig1,6.0909758,4.9401793,1.1222449098757006e-09,2.5340101452403425e-07,0.6388888888888888,0.11955547589173687,1.2700106,0.08011895
Cpe,6.089528,1.6034206,1.132440673821985e-09,2.5357234087997287e-07,0.8888888888888888,0.8455637210969708,2.4734223,1.5205936
Rora,6.0118613,1.8474058,1.8340527993831616e-09,3.6456648668141117e-07,0.8055555555555556,0.8019716795124574,2.7657642,1.6366885
Tspan7,6.0085106,2.0042973,1.8723548627478504e-09,3.6456648668141117e-07,0.8333333333333334,0.7483778454920237,2.1724153,1.0780952
Pla2g7,5.911939,4.4189553,3.3810378052471258e-09,5.749904166265207e-07,0.6388888888888888,0.12819501702814123,1.3654794,0.12785803
Myo6,5.865308,2.7402458,4.4829997425102785e-09,7.290972747241454e-07,0.75,0.5306685785983151,1.7490726,0.5369447
Gli3,5.827178,4.6943407,5.637254967437709e-09,8.858072571640423e-07,0.6111111111111112,0.07721813945151461,1.3125207,0.09974199
Mir99ahg,5.749542,1.3965262,8.948548947613889e-09,1.3139208208873508e-06,0.8888888888888888,0.8751389137838322,3.003302,2.1132092
B3galt1,5.6522155,1.1760359,1.5839274056590693e-08,2.128262627474291e-06,0.8888888888888888,0.8534145904283922,2.6316328,1.9032271
Dock1,5.595522,3.0521045,2.199589849677722e-08,2.7489757795739717e-06,0.6944444444444444,0.28542749596701916,1.4301751,0.3244945
Sash1,5.5120225,3.035698,3.5473362889646314e-08,4.056039407850198e-06,0.6944444444444444,0.43115253629682737,1.6627182,0.41946474
Rgs20,5.507617,3.5303586,3.6372394006001754e-08,4.1412128260223185e-06,0.6666666666666666,0.29772360638107187,1.645428,0.30899018
Slc6a11,5.4972544,4.2862806,3.8574999448702875e-08,4.355085021792632e-06,0.6111111111111112,0.18311525362968273,1.2830482,0.12543595
Slc39a12,5.417757,4.470161,6.035130759347797e-08,6.512608976051217e-06,0.5833333333333334,0.1160064527693135,1.1833143,0.09730786
Acsbg1,5.361436,4.7452607,8.256304411142419e-08,8.598717035945613e-06,0.5555555555555556,0.06137300591503854,0.9423417,0.056746658
Ntsr2,5.327608,4.2431917,9.951466589771075e-08,1.0014827987533661e-05,0.5833333333333334,0.12521957340025094,1.136239,0.105875455
Eps8,5.305352,3.2151108,1.1245553746998804e-07,1.10280302621116e-05,0.6388888888888888,0.2598315110234809,1.2475519,0.23685238
Grm3,5.2911944,2.1639042,1.215200478676286e-07,1.1873613404375203e-05,0.7777777777777778,0.577379458684352,2.0444489,0.91655755
Gm6145,5.231926,4.465092,1.6775311761424808e-07,1.5596976713822997e-05,0.5555555555555556,0.07764832407241441,1.0926821,0.08594828
Zfp521,5.217096,3.8258073,1.8175040448451315e-07,1.678224525257343e-05,0.5833333333333334,0.13565155045707117,1.0957074,0.13140358
