Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.19912262741422646,67,0.18149587127237837,49
Astrocytes,0.13338640443934233,609,0.11883798034681935,371
CA1,0.18677049794366662,770,0.17488770706337553,1265
CA2,0.17381353491672696,44,0.17083292963661387,73
CA3,0.18499022548448066,426,0.18055352812879252,672
CGE-derived,0.18178375284505124,138,0.17797221575113142,340
CTX,0.18546083435983338,1516,0.1802535063519107,2303
Cajal-Retzius,0.16135934640310862,25,0.12105612461029133,40
Car3,0.1779590013486578,44,0.16528906866203885,29
ENT CTX,0.1798910984944113,1339,0.17161914444689857,2672
Endothelial,0.1579187316922167,144,0.14907220890299602,87
Immature GC,0.1886866818979854,354,0.17339484857975865,149
Lamp5,0.17424661151546583,89,0.1616901065623885,198
Lamp5 (DG),0.18680702643480046,45,0.17896420158921955,39
MGE-derived,0.18388976065018653,199,0.17430588668504035,337
MOL,0.155916894823107,901,0.13037876500749396,759
Mature GC,0.18602467150127866,1326,0.16527620274993898,808
Microglia,0.16237496535871115,533,0.12706257416461583,703
NFOL,0.17140358878564202,54,0.1568355863160745,95
Neuroblast,0.18185299106386618,105,0.1466360213010577,37
OPC,0.15269899159229458,288,0.12286113958137154,441
PPP,0.1671709834626634,131,0.15953990722229938,668
PV,0.169014810826389,168,0.15732261611562717,313
Pericytes,0.13199947765926845,82,0.12179961728922839,31
ProS,0.1799182370984946,125,0.17631866501039462,241
SST,0.17403875142540848,140,0.16493909858143949,304
Sncg,0.1727057872772684,99,0.1709804387515664,172
Subiculum,0.18036659123689663,153,0.17235068281541188,268
VIP,0.16392634410132612,64,0.14043562606603077,164
VIP (DG),0.1837680720641828,27,0.1731101393706895,40
VLMC,0.17029240490100614,73,0.16196138643918268,71
nIPC,0.20924825536019595,26,0.19167542949931388,37
rest,0.11024720614906579,2700,0.10108450453118749,1399
