Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.06105219352136602,67,0.0682497892410318,49
Astrocytes,0.04559494108207616,609,0.04270601219568976,371
CA1,0.0213712418498386,770,0.01967962946037519,1265
CA2,0.016298669391692132,44,0.02123897909642346,73
CA3,0.03876902631608753,426,0.03644994850644552,672
CGE-derived,0.013003364975976485,138,0.0109803556471879,340
CTX,0.0215960204632894,1516,0.018150687303476666,2303
Cajal-Retzius,0.015129685605701193,25,0.0006228511917808529,40
Car3,0.02219717743015183,44,0.0157704975812606,29
ENT CTX,0.017759979638946436,1339,0.014765021647227046,2672
Endothelial,0.09452542951214304,144,0.0824813345764003,87
Immature GC,0.042519733798288266,354,0.027720700068019383,149
Lamp5,-0.0009594090545915939,89,-0.0036921311789599497,198
Lamp5 (DG),0.010275287196488962,45,0.005587369117797402,39
MGE-derived,0.01594664829991833,199,0.012143010763767892,337
MOL,0.04992528028681317,901,0.038423355507204104,759
Mature GC,0.040131887783527165,1326,0.028853835013992874,808
Microglia,0.03827564939059202,533,0.01703616449213443,703
NFOL,0.03090303977479267,54,0.022142898028538898,95
Neuroblast,0.02242095559352763,105,0.01249489389777633,37
OPC,0.017990457380399855,288,0.009814597763179934,441
PPP,0.018882263324673514,131,0.011047059318237656,668
PV,0.010880996259474298,168,0.008327091540202928,313
Pericytes,0.04702479558832013,82,0.03901802522052091,31
ProS,0.014089980292647923,125,0.014269450539174666,241
SST,0.008665395007037576,140,0.006067423951832377,304
Sncg,0.004081794678092379,99,0.004952505957626572,172
Subiculum,0.021721583482234613,153,0.01871387289874287,268
VIP,0.010591977812802873,64,0.00043865767460303854,164
VIP (DG),0.020256289705113204,27,0.009975125293857797,40
VLMC,0.08536654111195856,73,0.06409124703582368,71
nIPC,0.052678480880887404,26,0.03010541570246705,37
rest,0.04759535833314221,2700,0.03937760918470725,1399
