factor,gene,protein_name,loading
1,Ubb,ubiquitin B,0.10784964290798417
1,Atp6v0c,"ATPase, H+ transporting, lysosomal V0 subunit C",0.1009060905272449
1,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,0.10065267633718845
1,Fth1,ferritin heavy polypeptide 1,0.09570467139087398
1,Rpl37,ribosomal protein L37,0.0931591706756924
1,Ppia,peptidylprolyl isomerase A,0.09215301008882058
1,Tmsb4x,"thymosin, beta 4, X chromosome",0.09192385810779927
1,Calm2,calmodulin 2,0.08962617575922495
1,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor,0.08895084200062572
1,Rps21,ribosomal protein S21,0.08728225607474752
1,Rps23,ribosomal protein S23,0.08579634286673819
1,Eif1,eukaryotic translation initiation factor 1,0.08502424905975266
1,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",0.08498666704797951
1,Rps2,ribosomal protein S2,0.08454421353531698
1,Tpt1,"tumor protein, translationally-controlled 1",0.084018204308839
1,Mt3,metallothionein 3,0.0827607683557593
1,Rpl6,ribosomal protein L6,0.08268480241581366
1,Rpl19,ribosomal protein L19,0.08258175093873664
1,Cox8a,cytochrome c oxidase subunit 8A,0.08222082116006015
1,Rpl41,ribosomal protein L41,0.08198978463918961
1,Rpl21,ribosomal protein L21,0.08166021700828514
1,Rnasek,"ribonuclease, RNase K",0.08154517301670737
1,Rpl18a,ribosomal protein L18A,0.08135767298328297
1,Rplp1,ribosomal protein lateral stalk subunit P1,0.08081775114580342
1,Cox6c,cytochrome c oxidase subunit 6C,0.0804068033200518
1,Ndufa4,"Ndufa4, mitochondrial complex associated",0.08027251748608817
1,Ly6h,lymphocyte antigen 6 family member H,0.07999973345144949
1,Cox7c,cytochrome c oxidase subunit 7C,0.07887080579537241
1,Rpl38,ribosomal protein L38,0.07869263575242276
1,Cox4i1,cytochrome c oxidase subunit 4I1,0.07766679392201695
1,Rpl9,ribosomal protein L9,0.07712469164376635
1,Fau,FAU ubiquitin like and ribosomal protein S30 fusion,0.07710440700743533
1,Aldoa,"aldolase A, fructose-bisphosphate",0.07680872797205883
1,Dynll1,dynein light chain LC8-type 1,0.0761096893614757
1,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",0.07600167648578095
1,Rps16,ribosomal protein S16,0.07460145832434714
1,Rpl27a,ribosomal protein L27A,0.07449551870687536
1,Rps3a1,ribosomal protein S3A1,0.07389622440167203
1,Rps29,ribosomal protein S29,0.07374402878888854
1,Rpl37a,ribosomal protein L37a,0.07321723949646565
1,Calm1,calmodulin 1,0.07318475387004378
1,Rps8,ribosomal protein S8,0.07316877101532529
1,Atp5md,Unknown protein for Atp5md,0.07294612075846192
1,Hspa8,heat shock protein 8,0.07287081784046873
1,Rpl11,ribosomal protein L11,0.07277259929549812
