factor,gene,protein_name,loading
13,Dpp10,dipeptidylpeptidase 10,0.14366187448212775
13,Mgat4c,"MGAT4 family, member C",0.12515319833869568
13,Pde4b,"phosphodiesterase 4B, cAMP specific",0.12126350289340193
13,Galntl6,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6,0.12031984460748216
13,Ntm,neurotrimin,0.11691072123300612
13,Erbb4,erb-b2 receptor tyrosine kinase 4,0.11682489988336038
13,Ppp2r2b,"protein phosphatase 2, regulatory subunit B, beta",0.11625476998793843
13,Cntnap2,contactin associated protein-like 2,0.11522876557945955
13,Pcdh15,protocadherin 15,0.11271899684426152
13,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",0.11165050928318433
13,Chrm3,"cholinergic receptor, muscarinic 3, cardiac",0.11089433136785933
13,Cdh18,cadherin 18,0.10711108270326053
13,Hcn1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,0.10700485431250154
13,Unc5d,unc-5 netrin receptor D,0.10692499671107002
13,Sgcz,sarcoglycan zeta,0.10039372246098491
13,Naaladl2,N-acetylated alpha-linked acidic dipeptidase-like 2,0.09667900313429155
13,Hs3st4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4,0.09479999545943386
13,Pcdh7,protocadherin 7,0.09090325542570982
13,Gpc5,glypican 5,0.09042764493306524
13,Tmem178b,transmembrane protein 178B,0.09019646903294494
13,Gria4,"glutamate receptor, ionotropic, AMPA4 (alpha 4)",0.08735126717951584
13,Tenm3,teneurin transmembrane protein 3,0.08684339441735259
13,Slc35f1,"solute carrier family 35, member F1",0.08576298652186427
13,Lrrc4c,leucine rich repeat containing 4C,0.08363622206740554
13,Cntn4,contactin 4,0.081510868622862
13,Nrxn3,neurexin III,0.08127866473125538
13,Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)",0.07988389782388478
13,Phactr1,phosphatase and actin regulator 1,0.07852544376842385
13,Nrg1,neuregulin 1,0.07849057294168772
13,Cpe,carboxypeptidase E,0.07553833939066752
13,Npas3,neuronal PAS domain protein 3,0.0753389465648702
13,Trps1,transcriptional repressor GATA binding 1,0.07374189413816727
13,Fgf12,fibroblast growth factor 12,0.07258398372728736
13,Pde1a,"phosphodiesterase 1A, calmodulin-dependent",0.07054092259714673
13,Grip1,glutamate receptor interacting protein 1,0.069815265911065
13,Pde4d,"phosphodiesterase 4D, cAMP specific",0.06861966313310512
13,Grm8,"glutamate receptor, metabotropic 8",0.06818033661890355
13,Snhg11,small nucleolar RNA host gene 11,0.06664216130198328
13,Hs6st3,heparan sulfate 6-O-sulfotransferase 3,0.06531866328835015
13,Ankrd12,ankyrin repeat domain 12,0.06479248699056807
13,Prkcb,"protein kinase C, beta",0.06247018447000625
13,Lrrtm3,leucine rich repeat transmembrane neuronal 3,0.062399794939464764
13,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",0.06191824038066558
13,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",0.060129438446988724
13,Pex5l,peroxisomal biogenesis factor 5-like,0.0601013139146381
13,Cdh10,cadherin 10,0.058986163995737376
13,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",0.05835395631855928
13,Thrb,thyroid hormone receptor beta,0.05797563921984483
13,Zmynd8,"zinc finger, MYND-type containing 8",0.05717257360786987
13,Opcml,opioid binding protein/cell adhesion molecule-like,0.0571573334956208
13,Kcnh7,"potassium voltage-gated channel, subfamily H (eag-related), member 7",0.05709516450507852
13,Plxdc2,plexin domain containing 2,0.05537372358944569
13,Tenm4,teneurin transmembrane protein 4,0.05470156282616296
