factor,gene,protein_name,loading
11,Mir99ahg,Mir99a and Mirlet7c-1 host gene (non-protein coding),0.16763979196810125
11,Cntn5,contactin 5,0.08774493492993944
11,Robo2,roundabout guidance receptor 2,0.08698961919470553
11,Mlip,muscular LMNA-interacting protein,0.08644398481662979
11,Cd2ap,CD2-associated protein,0.08525438537588717
11,Zfp385b,zinc finger protein 385B,0.0840166781433608
11,Ssbp2,single-stranded DNA binding protein 2,0.08381191745227509
11,Epha3,Eph receptor A3,0.08051124212657196
11,Ptpro,protein tyrosine phosphatase receptor type O,0.07603651851811863
11,Csrnp3,cysteine-serine-rich nuclear protein 3,0.06960514469124597
11,Zfp804a,zinc finger protein 804A,0.06787598883044083
11,Baz2b,"bromodomain adjacent to zinc finger domain, 2B",0.06492823335915576
11,Cdh10,cadherin 10,0.0636760361293539
11,Bcas3,BCAS3 microtubule associated cell migration factor,0.06189778107549112
11,C130071C03Rik,Unknown protein for C130071C03Rik,0.06120067360494072
11,Homer1,homer scaffolding protein 1,0.06058826435604452
11,Gm4258,predicted gene 4258,0.06051430657280969
11,Kcnt2,"potassium channel, subfamily T, member 2",0.06043437285989014
11,Srpk2,serine/arginine-rich protein specific kinase 2,0.05740770634309965
11,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",0.055923978060834253
11,Gm10649,predicted gene 10649,0.05516741012047015
11,Nmt2,N-myristoyltransferase 2,0.055086141466084496
11,A230057D06Rik,RIKEN cDNA A230057D06 gene,0.0537297764345879
11,Brd4,bromodomain containing 4,0.05370938550332521
11,A330008L17Rik,RIKEN cDNA A330008L17 gene,0.053289718879028905
11,Zranb1,"zinc finger, RAN-binding domain containing 1",0.05261494418380961
11,Acyp2,"acylphosphatase 2, muscle type",0.05253593492809023
11,Stim2,stromal interaction molecule 2,0.0520770051758965
11,Atrnl1,attractin like 1,0.051831812404335695
11,Babam2,BRISC and BRCA1 A complex member 2,0.05182220708527913
11,St6galnac3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",0.05163299530101137
11,Kdm7a,lysine (K)-specific demethylase 7A,0.050998507591157184
11,C2cd5,C2 calcium-dependent domain containing 5,0.05010047422346823
11,Ppp1r12b,"protein phosphatase 1, regulatory subunit 12B",0.04917761014811757
11,Ncald,neurocalcin delta,0.04905091124678874
11,2210408F21Rik,RIKEN cDNA 2210408F21 gene,0.04820809751867221
11,Rapgef6,Rap guanine nucleotide exchange factor (GEF) 6,0.04755523864127097
11,Abcc5,"ATP-binding cassette, sub-family C member 5",0.047355102986896526
11,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",0.04704524920232115
11,Hook3,hook microtubule tethering protein 3,0.04672682267355906
11,Atad2b,"ATPase family, AAA domain containing 2B",0.04634718332126007
11,Pcdh11x,protocadherin 11 X-linked,0.046208595929926044
11,Ksr2,kinase suppressor of ras 2,0.046191754283567456
11,Zfp638,zinc finger protein 638,0.04568670073321774
11,Camk4,calcium/calmodulin-dependent protein kinase IV,0.045584171095822024
11,Dennd1b,DENN domain containing 1B,0.045323094860606164
11,Grip1,glutamate receptor interacting protein 1,0.04500073324316619
11,Fbxl17,F-box and leucine-rich repeat protein 17,0.04477591593478918
11,Ube2h,ubiquitin-conjugating enzyme E2H,0.04429195014450731
11,Cadps,Ca2+-dependent secretion activator,0.04407677544370216
11,Fras1,Fraser extracellular matrix complex subunit 1,0.04347447247340132
11,Slc2a13,"solute carrier family 2 (facilitated glucose transporter), member 13",0.04318249529882774
11,Dnaaf9,dynein axonemal assembly factor 9,0.04307817879262114
11,Mtmr3,myotubularin related protein 3,0.04291725637872319
11,Naa15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",0.04269991691978794
11,Rasal2,RAS protein activator like 2,0.04263028440978779
11,Stag1,STAG1 cohesin complex component,0.042501096061268534
11,Vps13b,vacuolar protein sorting 13B,0.04234354452233063
11,Ptpn12,"protein tyrosine phosphatase, non-receptor type 12",0.04226422183821522
11,Usp32,ubiquitin specific peptidase 32,0.04222467988383261
11,Dock11,dedicator of cytokinesis 11,0.041541184120652296
11,Phf21a,PHD finger protein 21A,0.041448236058419956
11,Hexb,hexosaminidase B,0.04144166238317661
11,Cdh8,cadherin 8,0.04083125669988951
11,Glcci1,glucocorticoid induced transcript 1,0.040355593245083296
11,Smchd1,SMC hinge domain containing 1,0.04028937950007035
11,5031425E22Rik,RIKEN cDNA 5031425E22 gene,0.03994040359689931
11,Huwe1,"HECT, UBA and WWE domain containing 1",0.0398706221016902
11,Esrrg,estrogen-related receptor gamma,0.039763742581379255
11,Sesn1,sestrin 1,0.03964129065911914
11,Abca5,"ATP-binding cassette, sub-family A member 5",0.039214805674789514
11,Fbxl5,F-box and leucine-rich repeat protein 5,0.039183669877236614
11,Rab30,"RAB30, member RAS oncogene family",0.03911139067940565
11,Bdnf,brain derived neurotrophic factor,0.03890848353324532
11,Pcdh7,protocadherin 7,0.03889766774382931
11,Klf12,Kruppel-like transcription factor 12,0.038847757507006975
11,Tfdp2,transcription factor Dp 2,0.03872592490583137
11,Lyst,lysosomal trafficking regulator,0.038375308774125406
11,Ano3,anoctamin 3,0.03829782840516757
11,Mbnl1,muscleblind like splicing regulator 1,0.038190537969175084
11,Sptbn2,"spectrin beta, non-erythrocytic 2",0.03804757979188652
11,Dennd6a,DENN domain containing 6A,0.038000736647763655
11,Cspp1,centrosome and spindle pole associated protein 1,0.03795235943848699
11,Zswim6,zinc finger SWIM-type containing 6,0.03785831402378683
11,Plcl2,phospholipase C-like 2,0.037774896971526556
11,Atp8a2,"ATPase, aminophospholipid transporter-like, class I, type 8A, member 2",0.037675763085121855
11,Septin11,septin 11,0.03760157509119221
11,Cbfa2t2,CBFA2/RUNX1 translocation partner 2,0.037336801306155215
11,Lnpep,leucyl/cystinyl aminopeptidase,0.037222834242441986
11,Miat,myocardial infarction associated transcript (non-protein coding),0.03721584111465102
11,Dmd,"dystrophin, muscular dystrophy",0.03703921580513773
11,Kif2a,kinesin family member 2A,0.03679760511926326
11,Pdzrn4,PDZ domain containing RING finger 4,0.036758612909147045
11,Vav3,vav 3 oncogene,0.036614307335269804
11,Kif21a,kinesin family member 21A,0.03659927091003571
11,Chd2,chromodomain helicase DNA binding protein 2,0.03645495846926985
11,Pclo,piccolo (presynaptic cytomatrix protein),0.03642196012574331
11,Fut8,fucosyltransferase 8,0.036384027609286836
11,Smim14,small integral membrane protein 14,0.03631688026908484
11,Rph3a,rabphilin 3A,0.03628710460993201
11,Med14,mediator complex subunit 14,0.03627336607102079
