factor,gene,protein_name,loading
3,Epha5,Eph receptor A5,0.12330781572410847
3,Epha7,Eph receptor A7,0.11443523493524654
3,Fstl4,follistatin-like 4,0.11130899938763454
3,Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",0.1033511977640753
3,Pde4d,"phosphodiesterase 4D, cAMP specific",0.1022554866669104
3,Plcl1,phospholipase C-like 1,0.10215603014044401
3,Kcnt2,"potassium channel, subfamily T, member 2",0.09831251118375288
3,Epha4,Eph receptor A4,0.09360865909159058
3,Opcml,opioid binding protein/cell adhesion molecule-like,0.09262721033371572
3,Prkd1,protein kinase D1,0.08881206655779941
3,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",0.08839903168911777
3,Syn3,synapsin III,0.08491116392600645
3,Syndig1,synapse differentiation inducing 1,0.08380577047713605
3,Stxbp6,syntaxin binding protein 6 (amisyn),0.08206007562983622
3,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",0.08074438985384552
3,Zeb2,zinc finger E-box binding homeobox 2,0.0776645343476761
3,Rasal2,RAS protein activator like 2,0.07636811835924034
3,Dpf3,double PHD fingers 3,0.07216830771215185
3,Hs6st3,heparan sulfate 6-O-sulfotransferase 3,0.06875357432227654
3,Cdh8,cadherin 8,0.06603432633907648
3,Galnt17,polypeptide N-acetylgalactosaminyltransferase 17,0.06561188082548511
3,Robo2,roundabout guidance receptor 2,0.059792641763268664
3,Ntng1,netrin G1,0.059777405282488046
3,Mfsd4a,major facilitator superfamily domain containing 4A,0.05824449496325881
3,Zfp536,zinc finger protein 536,0.05795595678811836
3,Rgs6,regulator of G-protein signaling 6,0.057124857041056354
3,Pcsk2,proprotein convertase subtilisin/kexin type 2,0.05580206406695357
3,Sh3kbp1,SH3-domain kinase binding protein 1,0.05522195907061507
3,Frmd4b,FERM domain containing 4B,0.054579280229802386
3,Ptchd4,patched domain containing 4,0.054419827324251324
3,Pard3,par-3 family cell polarity regulator,0.05370060498906096
3,Ubash3b,"ubiquitin associated and SH3 domain containing, B",0.05355039866622055
3,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",0.053095705212096424
3,Nrgn,neurogranin,0.052293652175408545
3,Jph1,junctophilin 1,0.05194412906226813
3,Adcy1,adenylate cyclase 1,0.05175227588994991
3,Bcl11a,BCL11 transcription factor A,0.05114540242881804
3,Trhde,TRH-degrading enzyme,0.05076770205952352
3,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1,0.05025261199968451
3,Syt7,synaptotagmin VII,0.049956066552245236
3,Parp8,"poly (ADP-ribose) polymerase family, member 8",0.0499335809399866
3,Mgll,monoglyceride lipase,0.04780890982311452
3,Tiam1,T cell lymphoma invasion and metastasis 1,0.04718525520349859
