mapmycells_second_layer,reason
L6 IT CTX Glut,"Low cell count (Emx1_Control=36, Emx1_Mutant=37)"
Monocytes NN,"Low cell count (Emx1_Control=3, Emx1_Mutant=0)"
L5 ET CTX Glut,"Low cell count (Emx1_Control=46, Emx1_Mutant=45)"
Astro-OLF NN,"Low cell count (Emx1_Control=2, Emx1_Mutant=1)"
COAp Grxcr2 Glut,"Low cell count (Emx1_Control=23, Emx1_Mutant=25)"
NTS Phox2b Glut,"Low cell count (Emx1_Control=6, Emx1_Mutant=3)"
Lymphoid NN,"Low cell count (Emx1_Control=11, Emx1_Mutant=10)"
L6b CTX Glut,"Low cell count (Emx1_Control=12, Emx1_Mutant=13)"
L5 NP CTX Glut,"Low cell count (Emx1_Control=8, Emx1_Mutant=13)"
HPF CR Glut,"Low cell count (Emx1_Control=6, Emx1_Mutant=5)"
Microglia NN,"Low cell count (Emx1_Control=53, Emx1_Mutant=27)"
Vip Gaba,"Low cell count (Emx1_Control=39, Emx1_Mutant=67)"
L2 IT ENT-po Glut,"Low cell count (Emx1_Control=30, Emx1_Mutant=126)"
OB-in Frmd7 Gaba,"Low cell count (Emx1_Control=5, Emx1_Mutant=11)"
CA2-FC-IG Glut,"Low cell count (Emx1_Control=46, Emx1_Mutant=55)"
RHP-COA Ndnf Gaba,"Low cell count (Emx1_Control=48, Emx1_Mutant=62)"
SC Lef1 Otx2 Gaba,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
DG-PIR Ex IMN,"Low cell count (Emx1_Control=15, Emx1_Mutant=5)"
OPC NN,"Low cell count (Emx1_Control=40, Emx1_Mutant=84)"
Sncg Gaba,"Low cell count (Emx1_Control=36, Emx1_Mutant=71)"
IA Mgp Gaba,"Low cell count (Emx1_Control=3, Emx1_Mutant=1)"
LSX Prdm12 Slit2 Gaba,"Low cell count (Emx1_Control=2, Emx1_Mutant=4)"
IT AON-TT-DP Glut,"Low cell count (Emx1_Control=55, Emx1_Mutant=23)"
Lamp5 Lhx6 Gaba,"Low cell count (Emx1_Control=31, Emx1_Mutant=60)"
CEA-BST Ebf1 Pdyn Gaba,"Low cell count (Emx1_Control=3, Emx1_Mutant=2)"
Lamp5 Gaba,"Low cell count (Emx1_Control=21, Emx1_Mutant=55)"
IT EP-CLA Glut,"Low cell count (Emx1_Control=20, Emx1_Mutant=36)"
VLMC NN,"Low cell count (Emx1_Control=30, Emx1_Mutant=53)"
L6b EPd Glut,"Low cell count (Emx1_Control=6, Emx1_Mutant=6)"
OB Meis2 Thsd7b Gaba,"Low cell count (Emx1_Control=11, Emx1_Mutant=9)"
L5/6 IT TPE-ENT Glut,"Low cell count (Emx1_Control=41, Emx1_Mutant=101)"
IC Six3 En2 Gaba,"Low cell count (Emx1_Control=4, Emx1_Mutant=3)"
ENTmv-PA-COAp Glut,"Low cell count (Emx1_Control=32, Emx1_Mutant=35)"
LDT Vsx2 Nkx6-1 Nfib Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
