names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Endothelial (for_DEGs),mean_expr_Rest (for_DEGs)
Sptbn1,14.83465,1.6198652,8.745830437331379e-50,2.9012402944579524e-47,0.8787878787878788,0.847022845835582,2.4723296,1.5107809
Abcb1a,14.465769,7.925556,1.993650216628287e-47,5.822758839217617e-45,0.5584415584415584,0.011800683576182767,1.271097,0.010493878
Hmcn1,14.315456,6.420743,1.7521127007499463e-46,4.755481643348592e-44,0.5670995670995671,0.03853211009174312,1.4258013,0.036234543
mt-Co3,13.772462,2.458976,3.73275143954697e-43,8.721654885271919e-41,0.7965367965367965,0.6060082748695809,2.0045836,0.77389306
Epas1,13.570866,5.2322454,5.961376471833406e-42,1.2514233265481533e-39,0.5541125541125541,0.06479582658751575,1.193915,0.05938822
Lef1,13.317395,6.1725807,1.833955226410847e-40,3.4703082347647505e-38,0.5281385281385281,0.036661270012592194,1.1672688,0.030221103
Sparc,13.277381,3.7865894,3.131553255499942e-40,5.803092136226444e-38,0.6017316017316018,0.14221982370930022,1.2425524,0.16431354
Adgrf5,13.211322,8.079259,7.548701577506784e-40,1.3522240759173818e-37,0.5108225108225108,0.01280805900341788,1.0403616,0.006744402
Rplp1,12.902241,2.159364,4.371994253047772e-38,6.869911437391442e-36,0.7965367965367965,0.652167656053247,1.878641,0.8070042
Tek,12.875582,6.0302386,6.177153876950964e-38,9.539087624923703e-36,0.5194805194805194,0.05378665227558913,1.0447798,0.027805902
Slc2a1,12.774074,5.0197773,2.2885551863592622e-37,3.360299336473955e-35,0.5324675324675324,0.08005036877136175,1.0100198,0.052411217
Rgs5,12.709824,7.2683835,5.215218538599451e-37,7.453878836817407e-35,0.49783549783549785,0.023097679438747975,1.3303754,0.017887019
Itm2a,12.706769,6.286552,5.422901239374455e-37,7.709701391639767e-35,0.5021645021645021,0.028962043533009536,0.9793213,0.021075392
Rpl38,12.676003,2.5121496,8.032411344816352e-37,1.106825091462643e-34,0.7272727272727273,0.4769562871019968,1.528602,0.49048945
Tpt1,12.658242,2.8017807,1.0072946260704378e-36,1.3739089645945515e-34,0.683982683982684,0.3680158301852851,1.4077077,0.36647955
mt-Co2,12.63207,2.89597,1.4053198654264439e-36,1.9071184234347751e-34,0.670995670995671,0.3448821730527073,1.4003868,0.3440622
Gpcpd1,12.611357,2.482859,1.828182863913563e-36,2.456163677667872e-34,0.7229437229437229,0.6074473826227739,1.755002,0.6182683
Hsp90ab1,12.609968,1.6087617,1.860672094968385e-36,2.4873760791940546e-34,0.8614718614718615,0.8085626911314985,2.0408456,1.1618544
Cyyr1,12.570241,8.313442,3.077856193895802e-36,4.034243703901473e-34,0.48484848484848486,0.009354200395754632,1.0862486,0.0061520357
9530026P05Rik,12.563365,3.2648714,3.357447207124203e-36,4.379349827933365e-34,0.6017316017316018,0.22547220723151645,1.2145175,0.22027776
St3gal6,12.413023,3.5805318,2.2210443070329254e-35,2.7757888618592887e-33,0.5800865800865801,0.17244108652635365,1.1251057,0.1603414
Macf1,12.224183,0.88752306,2.3089102556389417e-34,2.8072587587791114e-32,0.8398268398268398,0.8773880194279546,2.3540287,1.81649
Cobll1,12.079031,3.243314,1.36316275374927e-33,1.5586460933294845e-31,0.5930735930735931,0.23263176830365173,1.2083855,0.22150816
Ptma,12.064879,2.6580653,1.6189926327123116e-33,1.8278290773520932e-31,0.670995670995671,0.4025903939557474,1.3859932,0.38872936
Calm1,12.0542145,1.5160196,1.8428078077308086e-33,2.0546160080384573e-31,0.8744588744588745,0.8362655153804641,2.1979682,1.3348746
Heg1,12.047331,3.6724057,2.003331394256685e-33,2.224360105937071e-31,0.5627705627705628,0.1896744018708401,1.0478384,0.13559352
mt-Nd2,12.0445175,2.3561695,2.0728607076396034e-33,2.2920891857726806e-31,0.7012987012987013,0.43479042993344125,1.4187002,0.47726315
Ets1,12.029328,5.02591,2.4917919323312313e-33,2.74403480416968e-31,0.49783549783549785,0.0627810757330455,0.99888057,0.051308103
Sema3c,11.986314,3.066293,4.1914631027134304e-33,4.504984542796395e-31,0.6233766233766234,0.3133657132577802,1.3200991,0.2833509
Pdgfd,11.974301,5.207596,4.845012873958896e-33,5.186673144353607e-31,0.48484848484848486,0.0389278647238712,0.9512297,0.0420996
Ahnak,11.952935,5.6404448,6.267218158578111e-33,6.68254571115055e-31,0.47619047619047616,0.02867422198237093,0.8229102,0.025280546
ENSMUSG00000121513,11.948578,1.5128227,6.60453692186291e-33,7.014383679464679e-31,0.8311688311688312,0.79176110811297,2.5201907,1.6105722
Itga1,11.893028,5.727117,1.2865510419566801e-32,1.3245067623515706e-30,0.4805194805194805,0.045080050368771364,1.0349787,0.033691205
Egfl7,11.859972,5.39493,1.910381023555817e-32,1.9517847187431485e-30,0.48484848484848486,0.0547220723151646,0.8999014,0.034095887
Rps29,11.838471,2.3644583,2.46912903205798e-32,2.4941916199773657e-30,0.7186147186147186,0.5150206871739521,1.5707349,0.55382854
Pecam1,11.802557,5.8682814,3.786295277528316e-32,3.7541606681618394e-30,0.47186147186147187,0.03543802842237813,0.82430625,0.021680333
mt-Atp6,11.705527,2.6670501,1.194142189512392e-31,1.1180000220278042e-29,0.6536796536796536,0.3642381723331534,1.3710643,0.3803693
Ly6c1,11.635642,7.554931,2.715382057414906e-31,2.481711424582943e-29,0.45021645021645024,0.009354200395754632,0.9508982,0.008409518
Igfbp7,11.599557,5.9241633,4.1421931382927035e-31,3.697698658668603e-29,0.46320346320346323,0.03291958985429034,0.8406378,0.021470545
Actb,11.458198,1.9197522,2.1391982115374602e-30,1.801888901066193e-28,0.7619047619047619,0.6820651196258319,1.7889323,0.84028435
Sparcl1,11.440861,2.0976334,2.6127896384750243e-30,2.1939267995569967e-28,0.7359307359307359,0.5890268033819033,1.6821423,0.7044136
mt-Cytb,11.439412,2.8073442,2.656808333536131e-30,2.2239389383836713e-28,0.6147186147186147,0.3074653714696888,1.2283727,0.29646686
Rbpms,11.340811,5.620102,8.237790854789153e-30,6.748458544761724e-28,0.45021645021645024,0.0231336571325778,0.70869917,0.020752527
Prom1,11.270092,5.540674,1.8437631844024862e-29,1.487745248195039e-27,0.45021645021645024,0.027271091923007734,0.7894343,0.025497707
Cxcl12,11.263282,5.9738774,1.9919932764579646e-29,1.6025406987552549e-27,0.4588744588744589,0.04892966360856269,1.1506697,0.033794075
Cgnl1,11.155902,6.425821,6.700962199366712e-29,5.2802010057766434e-27,0.43722943722943725,0.016693649937039035,0.7710991,0.013426883
Sgms1,11.109229,2.0410273,1.1313204374126902e-28,8.811182653124343e-27,0.70995670995671,0.63299154524195,1.6312399,0.69251704
Itm2b,11.024796,1.5608486,2.9017578476525146e-28,2.1963446018710723e-26,0.7792207792207793,0.7227558913473646,1.6496216,0.8859544
Rpl37,10.806652,2.363139,3.2014277896458534e-27,2.300063227480858e-25,0.6536796536796536,0.41939197697427594,1.3422617,0.43800333
Zfp36l1,10.785791,4.1215243,4.017696870266909e-27,2.8711573112785068e-25,0.4588744588744589,0.061018168735384064,0.6857011,0.055054907
Emcn,10.785265,7.4172277,4.040779869615621e-27,2.879993503887845e-25,0.4199134199134199,0.013635545961503867,0.8039964,0.007196196
Cst3,10.739176,1.8940157,6.663683002216528e-27,4.65073148752099e-25,0.7619047619047619,0.584745457816154,1.7138857,0.7994616
Ablim1,10.734614,1.7285148,7.001037292682229e-27,4.873520001408588e-25,0.7012987012987013,0.6117287281885231,1.5065683,0.7224914
Rps16,10.728176,2.296234,7.50633399755183e-27,5.198329755521074e-25,0.6536796536796536,0.41640582838640045,1.262716,0.4161486
Rps24,10.724554,2.3594093,7.806262995342087e-27,5.3921410458828255e-25,0.645021645021645,0.4032379924446843,1.2141234,0.37934417
Nxn,10.682302,3.77362,1.23177437726396e-26,8.421826340224582e-25,0.4805194805194805,0.10706961683756071,0.8215272,0.08906421
Gnas,10.665072,1.493565,1.48283348614117e-26,1.008702171458563e-24,0.7662337662337663,0.7101277208130958,1.5872705,0.86777693
Rassf9,10.61016,8.804948,2.672915806861569e-26,1.791053559360857e-24,0.4069264069264069,0.0031300593631948194,0.6037144,0.0018515947
Apoe,10.550964,2.446531,5.027858083981291e-26,3.3031429515055575e-24,0.6320346320346321,0.34430652995143013,1.3743217,0.43283418
Arhgap29,10.540087,4.062676,5.644680314450065e-26,3.672459081096205e-24,0.48484848484848486,0.14200395754632128,0.92788255,0.08756087
Slc39a10,10.533464,2.4986336,6.056384190483257e-26,3.9119000768818535e-24,0.6320346320346321,0.48512322360136717,1.3760862,0.4211041
Plcb4,10.522681,2.402802,6.791329893299634e-26,4.365622828539741e-24,0.5974025974025974,0.3284403669724771,1.0675807,0.30811656
mt-Nd4,10.5067,2.2599657,8.046003756354067e-26,5.1231308278017484e-24,0.6493506493506493,0.424320921028962,1.3432156,0.46443766
Rps14,10.469381,2.2306306,1.194215155882603e-25,7.568056895888098e-24,0.6623376623376623,0.46098219104155425,1.3040208,0.45227507
Kdr,10.454273,7.0574427,1.4006790540070914e-25,8.814109175918162e-24,0.4069264069264069,0.012232415902140673,0.7245598,0.0079549765
Rpl35a,10.41644,2.2268758,2.086157584728142e-25,1.3066446224159713e-23,0.6536796536796536,0.4424896564130239,1.274948,0.43878758
Arhgap31,10.40747,3.1913016,2.29233261593598e-25,1.4291178048770254e-23,0.5238095238095238,0.20032379924446844,1.0966507,0.19746505
Myl6,10.382127,2.6039166,2.990391344640243e-25,1.8514243186747312e-23,0.6147186147186147,0.38193919769742757,1.2609539,0.34781092
Wwtr1,10.343779,4.0208507,4.465744003847663e-25,2.745870512205645e-23,0.45454545454545453,0.0881453498830725,0.75605756,0.06728776
Ly6a,10.339827,7.9520655,4.653808293393298e-25,2.848469905318404e-23,0.39826839826839827,0.005252743299154524,0.75553185,0.004547756
Fzd6,10.320215,5.999064,5.709493854656302e-25,3.463072231932615e-23,0.4069264069264069,0.01802482460874258,0.6265194,0.013527646
Rps15,10.259423,2.0612748,1.0734613553538446e-24,6.409757026301735e-23,0.6666666666666666,0.479798524914553,1.259521,0.47293538
Fli1,10.142485,3.6774027,3.578778622751596e-24,2.0724521895115384e-22,0.4588744588744589,0.09372189242669544,0.9480117,0.116484135
Fau,10.079618,2.2135,6.798957436599621e-24,3.8460628699248806e-22,0.6363636363636364,0.41237632667746,1.231646,0.42085046
Pard3b,10.063348,2.3334296,8.022310166248058e-24,4.509612430273752e-22,0.5887445887445888,0.3250584637524735,1.1100792,0.33910337
Rps8,10.037898,2.0701563,1.0386372240648217e-23,5.814204627212867e-22,0.6796536796536796,0.5435150206871739,1.4802942,0.5923779
Atp10a,10.009044,3.7076738,1.390910854434933e-23,7.753895157399719e-22,0.47619047619047616,0.158553696708041,0.95651263,0.11570161
Mtus1,10.006802,3.0635307,1.4227792194513335e-23,7.915129943407315e-22,0.48917748917748916,0.15153804641122504,0.7738949,0.13079455
Spock2,9.999816,2.3900802,1.5268106986735686e-23,8.476323031685702e-22,0.6406926406926406,0.5684835402050729,1.5489126,0.53477776
Eef1a1,9.997529,1.8678228,1.5624690936876356e-23,8.656400937605519e-22,0.6883116883116883,0.5491994963122864,1.3645998,0.58692
Myo10,9.962472,3.3751328,2.2246085948488332e-23,1.2075804635068312e-21,0.48917748917748916,0.1766144990106134,0.8513324,0.121699676
mt-Nd1,9.925684,2.3055024,3.218879415010142e-23,1.7287771809018158e-21,0.6017316017316018,0.3467889908256881,1.1397398,0.35771552
Kitl,9.92145,3.0911715,3.358415025526872e-23,1.7976217477272322e-21,0.5281385281385281,0.27781975175391255,1.1347519,0.22125769
Rpl37a,9.799927,2.0896769,1.1266747759270597e-22,5.867006052162809e-21,0.6493506493506493,0.47343047310667385,1.301345,0.48751622
Rpl41,9.77077,2.0594811,1.5030583321187045e-22,7.796752390739302e-21,0.658008658008658,0.5110271631588416,1.3662294,0.5310075
Rbms1,9.693123,2.2236788,3.225142982981924e-22,1.6412801506197786e-20,0.5887445887445888,0.394423457456377,1.0883304,0.35179684
Rpl13,9.663283,2.0324953,4.317963588935651e-22,2.1727281205000173e-20,0.645021645021645,0.4609462133477244,1.2446847,0.47262233
Esyt2,9.556945,1.3070447,1.212836819220767e-21,5.946884184755842e-20,0.7142857142857143,0.7136895125022487,1.6171871,0.96786666
Itih5,9.55419,4.880696,1.245553639884055e-21,6.096179654587352e-20,0.38961038961038963,0.031336571325778016,0.6333579,0.029562742
Gnai2,9.515915,2.9117787,1.8012095451110207e-21,8.751989236371271e-20,0.49783549783549785,0.20726749415362475,0.80732363,0.15274394
Eng,9.511072,5.894566,1.8870705133929634e-21,9.152632616402333e-20,0.37662337662337664,0.017988846914912753,0.65068924,0.015294577
Slc6a6,9.49412,2.290999,2.2207997082531184e-21,1.0732533841863542e-19,0.6233766233766234,0.5588774959525095,1.4240806,0.4974225
Dach1,9.4923725,3.089711,2.2583565980568533e-21,1.0894441973031894e-19,0.49783549783549785,0.21683756071235835,1.0749406,0.20431474
Ctnna1,9.478857,2.8778381,2.570829728769116e-21,1.2269661600715123e-19,0.48917748917748916,0.19190501888828926,0.75945026,0.14383842
Fth1,9.429334,1.7440039,4.1270057163507444e-21,1.9386825803906381e-19,0.7142857142857143,0.5788091383342328,1.5265708,0.7301789
Tmtc2,9.406249,2.2035155,5.141604464628255e-21,2.398522777162521e-19,0.6277056277056277,0.5169994603345925,1.5898218,0.61374915
Ptn,9.384417,1.6767656,6.3265669018440025e-21,2.9259010783571145e-19,0.70995670995671,0.5995682676740421,1.5646195,0.78051007
Rps21,9.332085,2.0333948,1.0380895478419582e-20,4.743786760291397e-19,0.6363636363636364,0.4576722432092103,1.2927525,0.49809536
Rasgrp3,9.253065,3.2728417,2.18144759512535e-20,9.672893852147792e-19,0.4329004329004329,0.10019787731606404,0.7690368,0.11312821
Abcc4,9.251048,3.1869104,2.223012930772954e-20,9.84058607081866e-19,0.48484848484848486,0.22579600647598488,0.8427491,0.13562411
Ppia,9.227967,1.8434455,2.758168566978097e-20,1.2149506458147782e-18,0.6753246753246753,0.5312466270912034,1.4093232,0.62161416
Afap1l2,9.215636,3.760862,3.09437557364258e-20,1.3519653929069287e-18,0.4069264069264069,0.07030041374347905,0.5866335,0.05719416
Cert1,9.194392,1.8748515,3.7712030248957563e-20,1.637155440758777e-18,0.6493506493506493,0.5872638963842418,1.2999465,0.5468178
Prex2,9.176162,2.2057016,4.4673205922043744e-20,1.932961422101957e-18,0.5800865800865801,0.3874797625472207,1.1551757,0.3862158
Rpl8,9.165611,2.1788454,4.92670975581544e-20,2.1248907084873335e-18,0.5844155844155844,0.36654074473826226,1.0389825,0.3388634
Tns1,9.124911,4.3274865,7.179504673291836e-20,3.0669839518497874e-18,0.38961038961038963,0.05706062241410326,0.64959514,0.044554967
Rpl27a,9.10492,2.1556277,8.632945268941985e-20,3.670367711653024e-18,0.6060606060606061,0.4269472926785393,1.1889575,0.41378543
Ly6e,9.090287,2.783924,9.877783760684745e-20,4.1863730228643395e-18,0.5238095238095238,0.3009893865803202,0.9807487,0.2166928
Jcad,9.074404,3.322409,1.143011828271184e-19,4.821464336836219e-18,0.4805194805194805,0.23284763446663068,0.89540964,0.13521746
Clec2d,9.061768,6.196786,1.2835396455106908e-19,5.388860980448791e-18,0.354978354978355,0.011476884331714336,0.601581,0.011184219
Cmss1,9.047926,0.99845195,1.4570991275488908e-19,6.079542477832095e-18,0.7792207792207793,0.841446303291959,1.9286526,1.372012
Pdlim5,9.034557,2.4345243,1.6466681646385992e-19,6.811347862520575e-18,0.5108225108225108,0.23856808778557295,0.8353498,0.21633586
Pcp4l1,9.030312,4.6232758,1.711838819997939e-19,7.043967701890448e-18,0.37662337662337664,0.04353300953408887,0.5546239,0.029633993
Rpl23,9.028866,2.3209817,1.7345982100867075e-19,7.126705490065724e-18,0.5584415584415584,0.3246986868141752,1.0343002,0.30958933
Podxl,9.024567,4.93334,1.804080158418915e-19,7.400860130796374e-18,0.38095238095238093,0.05533369311027163,0.5996942,0.026532767
Rpl34,9.014857,2.2182002,1.9712716453915937e-19,8.037643264290156e-18,0.5627705627705628,0.325562151466091,0.99289656,0.3112571
Prkch,8.99795,4.6154485,2.2997291237212007e-19,9.306283366624799e-18,0.37662337662337664,0.04407267494153625,0.62389046,0.03472596
Rps9,8.982254,2.3594086,2.6527523201220484e-19,1.0702620847099016e-17,0.5454545454545454,0.3129339809318223,0.95345175,0.27060091
Rps3a1,8.957969,2.2964945,3.307156562384776e-19,1.3283004010654548e-17,0.5714285714285714,0.35776218744378485,1.0836337,0.3350671
Ddx5,8.839197,0.8820249,9.64090947268138e-19,3.765279615275417e-17,0.7619047619047619,0.8061521856449002,1.6267406,1.1686877
Foxp1,8.803977,0.89119023,1.3205189329241023e-18,5.0980378919067e-17,0.7965367965367965,0.7937758589674402,1.9261376,1.4257774
Rpl18a,8.793267,2.2395148,1.4527290300563147e-18,5.592382383612202e-17,0.5454545454545454,0.31196258319841697,0.9689178,0.29731742
Maml2,8.738575,1.5411464,2.3607000111219462e-18,8.946686784040438e-17,0.6926406926406926,0.539593452059723,1.5518954,0.82346183
Itpkb,8.715493,3.0490267,2.8949556730469022e-18,1.0894602091704518e-16,0.42857142857142855,0.13153444864184205,0.61910874,0.098558225
Atp1a2,8.713272,2.4760158,2.95227041082505e-18,1.1094756075366307e-16,0.5454545454545454,0.3131138694009714,1.3457968,0.412564
Tm4sf1,8.677628,6.821839,4.041113188530733e-18,1.5039433708562436e-16,0.33766233766233766,0.008670624212987947,0.521424,0.0060316613
Rps27,8.670743,2.3050685,4.293091263543553e-18,1.5955098513335444e-16,0.5411255411255411,0.3178989026803382,0.9949994,0.29635888
Abcg2,8.664235,3.2531044,4.5455569850229666e-18,1.6846774646560983e-16,0.4458874458874459,0.17913293757870122,0.7849947,0.11784139
App,8.603447,0.4986461,7.73572610986052e-18,2.8013337004306225e-16,0.8268398268398268,0.8990106134196798,2.1051614,1.8085972
Fry,8.549861,0.848497,1.2323699401368762e-17,4.362816902698006e-16,0.7402597402597403,0.8034178809138334,1.9262798,1.4484727
Gulp1,8.543381,3.4654589,1.3035065487599258e-17,4.608581705944632e-16,0.3852813852813853,0.07238711998560893,0.60133445,0.071992
Klf12,8.538845,1.1510792,1.3557028974250413e-17,4.786824816532308e-16,0.7272727272727273,0.7153085087245907,1.6653373,1.0752023
Rpsa,8.53644,1.8834089,1.3842060630608324e-17,4.881052088509786e-16,0.5887445887445888,0.4003237992444684,0.990683,0.37767875
Paqr5,8.421008,5.987532,3.732572969504753e-17,1.280897007542691e-15,0.3333333333333333,0.015830185285123224,0.44114012,0.008700961
Rpl26,8.419955,2.2141504,3.7662880966899783e-17,1.2908183821181085e-15,0.5454545454545454,0.334844396474186,0.991086,0.31123766
Rpl32,8.408441,2.1966774,4.154967281773818e-17,1.4159420009160686e-15,0.5324675324675324,0.3075013491635186,0.93372065,0.29027674
Rps12,8.361111,2.3118165,6.213069342612364e-17,2.0790183466499905e-15,0.5324675324675324,0.3288361216046051,0.9995229,0.29699776
Vim,8.359608,5.4510813,6.2927102391182e-17,2.1030488075261945e-15,0.3333333333333333,0.017233315344486418,0.534355,0.01601757
B2m,8.3310795,3.319713,8.01084155569662e-17,2.6485310186536955e-15,0.4025974025974026,0.11207051627990645,0.6776623,0.09264817
Selenop,8.3296795,2.946776,8.106173583358857e-17,2.675833958044871e-15,0.4155844155844156,0.12372728908076992,0.6971712,0.12287548
Msi2,8.324649,1.4124793,8.457907942820807e-17,2.7885151708416577e-15,0.6623376623376623,0.6515920129519698,1.4635775,0.8099225
Hsp90aa1,8.321374,1.1592417,8.694921802066383e-17,2.863143980655928e-15,0.7705627705627706,0.7955027882712719,1.7147826,1.1117582
Fn1,8.316103,3.5344727,9.090277191458089e-17,2.982115194089356e-15,0.3852813852813853,0.09134736463392697,0.70665324,0.08493683
Hip1,8.295811,2.2372022,1.0784743354798364e-16,3.529671789810378e-15,0.5411255411255411,0.402266594711279,1.0341734,0.32532805
Slc7a5,8.266968,4.546945,1.374090060368113e-16,4.475369687526206e-15,0.36796536796536794,0.07814355099838101,0.662167,0.03938348
Rpl19,8.259855,1.9905238,1.4584929120752797e-16,4.7387792681333455e-15,0.5800865800865801,0.40557654254362296,1.0894637,0.40307558
Tgfbr2,8.255376,2.847405,1.5142462715060062e-16,4.90214425486342e-15,0.4069264069264069,0.11239431552437489,0.6019121,0.10859848
Dock1,8.246263,1.9452565,1.6342508468563843e-16,5.265266217629622e-15,0.5324675324675324,0.2831444504407267,0.89830756,0.3205847
Apcdd1,8.212847,4.216528,2.1600430195456567e-16,6.926056794175632e-15,0.36796536796536794,0.08015830185285124,0.66568714,0.049623825
Itga6,8.2004595,2.7808962,2.394703016805033e-16,7.660198816851337e-15,0.44155844155844154,0.18107573304551178,0.7910051,0.16162361
Rps10,8.186401,2.101833,2.691529461982198e-16,8.568885858230055e-15,0.5411255411255411,0.3461054146429214,0.978128,0.32685015
Tjp1,8.129798,0.84984684,4.3000526896447745e-16,1.3482195539177958e-14,0.7402597402597403,0.7970858067997841,1.7859606,1.3230773
Slc22a8,8.121326,6.5222783,4.611174902328868e-16,1.4390507505874176e-14,0.31601731601731603,0.007375427235114229,0.5069637,0.00715726
Rps6,8.085171,2.4627109,6.207716019811031e-16,1.9261123493339768e-14,0.47186147186147187,0.23277567907897104,0.78292245,0.19514205
Syne2,8.056034,2.915184,7.880957525400686e-16,2.4173667660675393e-14,0.42424242424242425,0.16931102716315885,0.6400957,0.112318985
Lmntd1,8.050056,5.57475,8.275571288066209e-16,2.5268704603447615e-14,0.3246753246753247,0.023601367152365535,0.49010557,0.0131831765
Zfp366,8.03615,7.233809,9.270535959913931e-16,2.8115045287007603e-14,0.3116883116883117,0.00672782874617737,0.50299144,0.0043332893
Cp,8.03007,3.9602976,9.741689801281591e-16,2.947738794599508e-14,0.35064935064935066,0.05526173772261198,0.5558476,0.0466546
Cavin1,8.02847,6.7420135,9.869600957235079e-16,2.9830841138459684e-14,0.3116883116883117,0.006619895664687894,0.44735837,0.005256821
Gab1,8.020148,1.8983564,1.056174521339423e-15,3.181548137711917e-14,0.5064935064935064,0.24313725490196078,0.7976521,0.28318444
Rpl30,7.9551587,2.1294441,1.7890191018671346e-15,5.2999937450021954e-14,0.5497835497835498,0.39010613419679796,1.0608305,0.35884133
Tmsb10,7.9406395,2.435484,2.011414576245928e-15,5.932679436194083e-14,0.47619047619047616,0.23813635545961503,0.8423333,0.21861026
Chchd2,7.919824,1.71322,2.3784660012434547e-15,6.961806258541572e-14,0.5974025974025974,0.4553336931102716,1.0450097,0.44609803
Lars2,7.8915777,0.9616934,2.9838975730556554e-15,8.63979825301783e-14,0.7662337662337663,0.7968339629429754,1.6719271,1.1691809
Mt3,7.8879275,1.8009901,3.0724603185013853e-15,8.886653257064826e-14,0.6190476190476191,0.49955027882712716,1.3073384,0.5731164
Calm2,7.8262615,0.82841384,5.025914333298204e-15,1.4215401909023447e-13,0.8268398268398268,0.8569526893326138,1.8639023,1.4032786
Nhsl1,7.822946,2.2903457,5.160121667096973e-15,1.4564334999463833e-13,0.45454545454545453,0.21341967979852491,0.7029834,0.18935375
Rpl13a,7.8198795,2.0297608,5.287383869248454e-15,1.4907870363767678e-13,0.5541125541125541,0.4120885051268214,1.0279096,0.36439338
Rps23,7.819594,1.9754343,5.2994020878349394e-15,1.4926093721187086e-13,0.5541125541125541,0.383306350062961,1.0633337,0.3934882
Elk3,7.818516,3.2605135,5.344970377258884e-15,1.5038675815387038e-13,0.37662337662337664,0.10343586976074834,0.55934536,0.075304344
Eif1,7.7858396,1.8861037,6.925184313582413e-15,1.9363132414772055e-13,0.5670995670995671,0.4080949811117107,1.0738175,0.4194971
Ocln,7.7841654,3.7218204,7.017489725975951e-15,1.9600826292824719e-13,0.36363636363636365,0.0933621154883972,0.51649004,0.04997537
Pitpnc1,7.7316823,1.5390893,1.0613472353793458e-14,2.915991841988039e-13,0.6060606060606061,0.5056664867781975,1.2325194,0.60765666
Rpl23a,7.730563,2.2743065,1.0707169903552961e-14,2.938729880576793e-13,0.48917748917748916,0.2827846735024285,0.864741,0.2500608
Rps25,7.702815,2.1628735,1.3310094865200648e-14,3.6308857769334153e-13,0.5108225108225108,0.3214247166756611,0.94224036,0.2998401
Sgpp2,7.6978583,3.7434373,1.3836574978013141e-14,3.76685683545302e-13,0.36796536796536794,0.10991185465011692,0.5971449,0.05920727
Phldb2,7.6407733,3.3487167,2.159208797080132e-14,5.778679320472424e-13,0.354978354978355,0.07929483720093541,0.5646373,0.07184145
H3f3b,7.63885,1.9880116,2.191700665960245e-14,5.853975834428607e-13,0.5367965367965368,0.3770822090304011,0.91349345,0.31944907
Mt1,7.6282754,2.1988375,2.379153120093807e-14,6.335762570557046e-13,0.48484848484848486,0.267422198237093,0.8841137,0.2696278
Cald1,7.6126657,2.6282442,2.684995567837515e-14,7.087016788584874e-13,0.45021645021645024,0.2427055225760029,0.8327138,0.1907779
Eogt,7.583815,3.11416,3.3553946493105677e-14,8.813240882402243e-13,0.4025974025974026,0.17035438028422378,0.5929578,0.089356
Mcc,7.567381,2.2186885,3.808243236116758e-14,9.934708325675465e-13,0.4935064935064935,0.3131138694009714,0.9032363,0.27405626
Sema6a,7.5661316,1.8833125,3.845031350471138e-14,1.0020949795068813e-12,0.5497835497835498,0.38654434250764524,1.0256345,0.39534214
