names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VLMC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Maml1,-2.5614486,-0.33418277,0.010423663910901805,0.049801537924241024,0.058394160583941604,0.1951140533928186,0.08823679,0.1100126
Nup107,-2.5624897,-0.5494233,0.010392469000430258,0.04967775766979207,0.043795620437956206,0.17665683240987262,0.064296424,0.0927513
Apmap,-2.56335,-0.5637919,0.01036674818688668,0.049585541133071,0.043795620437956206,0.17593725264445564,0.06685602,0.09730928
Abcg4,-2.563504,-0.8968622,0.01036214982640566,0.049585541133071,0.029197080291970802,0.15942289702813556,0.0431375,0.07888525
Gm56822,-2.564428,-2.2574365,0.010334597761337728,0.04946395472873971,0.014598540145985401,0.1428365834352738,0.015701514,0.07294171
Sf3a3,-2.56446,-1.1818305,0.010333648854064872,0.04946395472873971,0.0364963503649635,0.16802187522486867,0.042107902,0.09309626
Gm32834,-2.5677104,-25.990547,0.010237266682047854,0.0490505270589561,0.0,0.12696984960782903,0.0,0.06454218
Rragd,-2.5681298,-0.81378174,0.01022488368774789,0.048999933063988914,0.0364963503649635,0.16902928689645247,0.05947333,0.102299
Apip,-2.5683794,-0.7591048,0.010217522917595461,0.048973392935388875,0.029197080291970802,0.16064618262934446,0.049836896,0.08294605
Psma4,-2.5694418,-0.2640477,0.010186253209527011,0.048832225466546086,0.08759124087591241,0.2304454198747931,0.13228336,0.15686469
Eif5a,-2.5699039,-0.93268853,0.010172677498322612,0.04877584660598298,0.058394160583941604,0.1921637763546089,0.082250535,0.1515529
Gm43111,-2.5699356,-1.0857722,0.01017174183641813,0.04877584660598298,0.014598540145985401,0.1437720371303159,0.030988945,0.06466734
Mybbp1a,-2.5702968,-0.94315666,0.010161143021850094,0.048737935201198145,0.021897810218978103,0.15211916240915305,0.044748154,0.084334396
Hsf5,-2.5733984,-1.9804131,0.01007052199025807,0.04834716433699053,0.014598540145985401,0.1433402892710657,0.018708581,0.071874246
Pum1,-2.5771852,-0.34459195,0.009960859861733888,0.047884254206187735,0.3795620437956204,0.7000071957976541,0.67732614,0.8019685
Vstm5,-2.577286,-2.3856087,0.009957952196317645,0.047882994902479444,0.0072992700729927005,0.13571274375764553,0.013148961,0.06687844
1700016P03Rik,-2.579899,-2.6367044,0.009882921768804254,0.04755625141972964,0.0072992700729927005,0.1358206807224581,0.0126777785,0.076355435
Svip,-2.5804195,-1.0400908,0.009868036980840711,0.047501639855820475,0.043795620437956206,0.17687270633949773,0.048777465,0.09784399
Gm13832,-2.5815349,-26.06492,0.009836208248583797,0.047365397068001185,0.0,0.12765345038497516,0.0,0.0678434
Nme5,-2.5820818,-1.0503169,0.00982063047576421,0.04730733970666625,0.029197080291970802,0.1612578254299489,0.041154522,0.083429486
Katna1,-2.5852098,-0.40834072,0.009731971390649595,0.046930737843997594,0.043795620437956206,0.17895948765920702,0.073171966,0.0959936
Zfp605,-2.5857623,-0.96472764,0.009716391130559766,0.04687242902659621,0.029197080291970802,0.16129380441821975,0.044889014,0.08581605
Ubox5,-2.5863624,-0.26267597,0.009699487783726883,0.04681610144579511,0.058394160583941604,0.19666114988846514,0.08582999,0.10212196
Trp53inp2,-2.5863943,-1.680218,0.00969859099416573,0.04681610144579511,0.021897810218978103,0.1526588472332158,0.025962463,0.080928236
Ogdhl,-2.5874088,-1.2712718,0.009670081789524066,0.046699334594628265,0.021897810218978103,0.1528747211628409,0.03208931,0.07576725
Ncoa2,-2.5892675,-0.5260112,0.00961803360636532,0.04646468230906799,0.45255474452554745,0.7596603583507232,0.8459922,1.0700568
Prkg1,-2.5900111,-0.44792697,0.009597284364528988,0.04637278023285271,0.7007299270072993,0.8110383536014967,1.6685681,1.9274219
Ube2v1,-2.5910785,-0.2615971,0.009567564164441034,0.04624580843650487,0.072992700729927,0.21206015686838886,0.116706945,0.13836993
Seh1l,-2.5911953,-0.641217,0.009564316195033553,0.0462384268011068,0.051094890510948905,0.18680290710225228,0.07005985,0.10722721
