"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","direction"
1.07247746391914e-176,-11.107008304406,0.002,0.893,3.23110647942238e-171,"chr7-49991793-49993084","Less_Accessible"
2.4539508366207e-168,-8.56464870309122,0.005,0.865,7.39314038302902e-163,"JH584304.1-94187-98323","Less_Accessible"
1.12181676459515e-143,4.74272603122583,0.898,0.067,3.37975345753405e-138,"JH584304.1-101721-103772","More_Accessible"
2.60153483002295e-140,7.24460269211427,0.867,0.014,7.83777405915164e-135,"chr7-49133825-49135351","More_Accessible"
3.9777722189128e-116,-5.66193580223345,0.021,0.681,1.19840332525295e-110,"JH584304.1-58795-61029","Less_Accessible"
1.09526055947611e-108,6.1890323765171,0.739,0.012,3.29974625056164e-103,"JH584304.1-38311-41317","More_Accessible"
3.8369767418956e-103,7.93684555851985,0.703,0.005,1.1559851679146e-97,"JH584304.1-72116-73298","More_Accessible"
1.30806821981873e-96,-7.70362749591563,0.003,0.567,3.94088252925886e-91,"chr7-45303664-45304457","Less_Accessible"
1.46754405816801e-93,-13.9852046231289,0,0.547,4.42134336124568e-88,"chr10-75086663-75087095","Less_Accessible"
2.43113148214609e-93,-4.20386562232379,0.044,0.612,7.32439137283563e-88,"JH584304.1-33932-35128","Less_Accessible"
3.43573120333251e-90,-14.1234478294422,0,0.53,1.035099918284e-84,"chr2-179509934-179510117","Less_Accessible"
9.67706061604131e-87,14.1489636147511,0.618,0,2.91545643709784e-81,"chr10-70367693-70370256","More_Accessible"
3.38653232693733e-86,8.36788268253644,0.618,0.002,1.02027752679804e-80,"chr7-44665154-44667440","More_Accessible"
4.04307261122209e-83,-14.009236900541,0,0.495,1.21807670094593e-77,"chr12-87027897-87028232","Less_Accessible"
4.13111453349724e-81,-7.61517191605995,0.002,0.491,1.24460153107938e-75,"chr2-130546077-130547857","Less_Accessible"
1.13330621309204e-80,-7.81625392512285,0.002,0.488,3.41436829349305e-75,"chr1-39010717-39012513","Less_Accessible"
5.25730791978994e-79,6.29471928025236,0.589,0.009,1.58389544353472e-73,"chr2-174040432-174040623","More_Accessible"
1.62019560023439e-78,-13.9693392384696,0,0.472,4.88124429460616e-73,"chr3-153363397-153364313","Less_Accessible"
7.21339922402414e-78,-8.45159479321212,0.002,0.472,2.17321685121787e-72,"chr16-4773473-4775477","Less_Accessible"
