,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,RNA Binding (GO:0003723),0.5850858945026535,1.9924303308160238,0.0,0.0,0.0,70/248,13.25%,Rpl37;Ppia;Tmsb4x;Rps21;Rps23;Eif1;Rps2;Tpt1;Rpl6;Rpl19;Rpl41;Rpl21;Rpl18a;Rpl38;Rpl9;Fau;Aldoa;Rps16;Rpl27a;Rpl37a;Rps8;Hspa8;Rpl11;Rpl35a;Rpl3;Hmgb1;Rps15;Rps10;Eef1a1;Rpl30;Rpl13;Rps27a;Hsp90ab1;Rpl24;Rpl17;Rpl8;Rpsa;Rps14;Rps24;Rpl15;Rpl13a;Ddx5;Eif4a2;Hnrnpa2b1;Ywhae;Ddx24;Rtn4;Ywhag;Rsrc2;Srsf2;Zcchc7;Prpf4b;Hsp90aa1;Nvl;Hnrnpc;Canx;Nucks1;Hsp90b1;Tra2a;Hnrnpa3;Top1;G3bp2;Xrn1;Psip1;Hnrnpdl;Serbp1;Actn1;Son;Ewsr1;Pten
1,prerank,Amyloid-Beta Binding (GO:0001540),0.7552053445594324,1.8638832999256776,0.0,0.00853829488976679,0.02,7/20,6.35%,Prnp;Itm2b;Cst3;Pgrmc1;Itm2c;Atp1a3;Clstn1
2,prerank,Ubiquitin Protein Ligase Binding (GO:0031625),0.6170561046134747,1.7784812880745562,0.0,0.04269147444883395,0.13,19/49,16.75%,Ubb;Atp6v0c;Hspa8;Rpl11;Tubb2a;Rps27a;Hsp90ab1;Rpl17;Actg1;Ywhae;Dnaja1;Rtn4;Hsp90aa1;Dnm1l;Usp2;Ube2w;Fbxw7;Ube2d3;Ube2b
3,prerank,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.6051036466547998,1.751994181990996,0.0,0.04055690072639225,0.15,19/51,16.75%,Ubb;Atp6v0c;Hspa8;Rpl11;Tubb2a;Rps27a;Hsp90ab1;Rpl17;Actg1;Ywhae;Dnaja1;Rtn4;Hsp90aa1;Dnm1l;Usp2;Ube2w;Fbxw7;Ube2d3;Ube2b
4,prerank,GTP Binding (GO:0005525),0.7197271656667051,1.7441808628983704,0.0,0.03244552058111381,0.15,11/18,17.45%,Eef1a1;Tubb2a;Rnf112;Rab14;Rab2a;Cdc42;Arl3;Scg5;Rab6a;Arf3;Rab28
5,prerank,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),0.6845420440069371,1.738812200629343,0.0,0.024395128256476543,0.16,15/27,17.90%,Gnas;Eef1a1;Rnf112;Rab14;Rab2a;Cdc42;Gnb1;Rab6b;Dnm1l;Septin7;Septin3;Rab6a;Dnm1;Rab28;Rab40b
6,prerank,GTPase Activity (GO:0003924),0.6845420440069371,1.738812200629343,0.0,0.024395128256476543,0.16,15/27,17.90%,Gnas;Eef1a1;Rnf112;Rab14;Rab2a;Cdc42;Gnb1;Rab6b;Dnm1l;Septin7;Septin3;Rab6a;Dnm1;Rab28;Rab40b
7,prerank,Cadherin Binding (GO:0045296),0.538845500177015,1.711473341313562,0.0,0.030951318975404617,0.23,25/72,19.00%,Rps2;Rpl6;Aldoa;Hspa8;Hsp90ab1;Rpl24;Rpl15;Vapa;Ywhae;Rtn4;Cdk5r1;Arglu1;Ola1;Ywhab;Pcmt1;Kif5b;Septin7;Serbp1;Baiap2;Ktn1;Dlg1;Cdh9;Dbn1;Cdh2;Epn2
8,prerank,Protein Tyrosine Kinase Activity (GO:0004713),-0.55507440010757,-1.7074767485098779,0.0,0.3714379299050115,0.23,8/17,27.80%,Erbb4;Ntrk3;Dyrk1a;Hipk2;Ptk2;Fyn;Abl2;Fer
9,prerank,Purine Ribonucleoside Triphosphate Binding (GO:0035639),0.5440512776986132,1.6453856056852518,0.0,0.06451156138934908,0.4,21/62,17.45%,Hspa8;Eef1a1;Tubb2a;Hsp90ab1;Atp1a3;Atp1a1;Rnf112;Rab14;Rab2a;Cdc42;Arl3;Hsp90aa1;Ola1;Nvl;Top1;Scg5;Rab6a;Arf3;Caprin1;Bmpr1a;Rab28
