cell_type_L2_new,reason
PPP,"Low cell count (Emx1_Control=47, Nestin_Control=84)"
Subiculum,"Low cell count (Emx1_Control=47, Nestin_Control=106)"
CGE-derived,"Low cell count (Emx1_Control=39, Nestin_Control=99)"
VIP,"Low cell count (Emx1_Control=32, Nestin_Control=32)"
CA2,"Low cell count (Emx1_Control=23, Nestin_Control=21)"
Sncg,"Low cell count (Emx1_Control=61, Nestin_Control=38)"
OPC,"Low cell count (Emx1_Control=35, Nestin_Control=253)"
ABC,"Low cell count (Emx1_Control=17, Nestin_Control=50)"
NFOL,"Low cell count (Emx1_Control=4, Nestin_Control=50)"
Lamp5,"Low cell count (Emx1_Control=34, Nestin_Control=55)"
VLMC,"Low cell count (Emx1_Control=27, Nestin_Control=46)"
Lamp5 (DG),"Low cell count (Emx1_Control=19, Nestin_Control=26)"
nIPC,"Low cell count (Emx1_Control=4, Nestin_Control=22)"
Pericytes,"Low cell count (Emx1_Control=12, Nestin_Control=70)"
Car3,"Low cell count (Emx1_Control=21, Nestin_Control=23)"
VIP (DG),"Low cell count (Emx1_Control=9, Nestin_Control=18)"
Mossy cells,"Low cell count (Emx1_Control=11, Nestin_Control=4)"
Neuroblast,"Low cell count (Emx1_Control=11, Nestin_Control=94)"
Cajal-Retzius,"Low cell count (Emx1_Control=2, Nestin_Control=23)"
