cell_type_L2_new,reason
Microglia,"Low cell count (Emx1_Mutant=32, Nestin_Mutant=671)"
CA2,"Low cell count (Emx1_Mutant=40, Nestin_Mutant=33)"
ABC,"Low cell count (Emx1_Mutant=30, Nestin_Mutant=19)"
NFOL,"Low cell count (Emx1_Mutant=16, Nestin_Mutant=79)"
Immature GC,"Low cell count (Emx1_Mutant=32, Nestin_Mutant=117)"
VLMC,"Low cell count (Emx1_Mutant=55, Nestin_Mutant=16)"
Endothelial,"Low cell count (Emx1_Mutant=61, Nestin_Mutant=26)"
Lamp5 (DG),"Low cell count (Emx1_Mutant=15, Nestin_Mutant=24)"
nIPC,"Low cell count (Emx1_Mutant=14, Nestin_Mutant=23)"
Pericytes,"Low cell count (Emx1_Mutant=11, Nestin_Mutant=20)"
Car3,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=19)"
VIP (DG),"Low cell count (Emx1_Mutant=12, Nestin_Mutant=28)"
Mossy cells,"Low cell count (Emx1_Mutant=15, Nestin_Mutant=17)"
Neuroblast,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=32)"
Cajal-Retzius,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=36)"
