names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Microglia NN (for_DEGs),mean_expr_Rest (for_DEGs)
Slc9a9,32.81796,2.4238558,3.264717926108747e-236,1.1392593594096366e-233,0.8120300751879699,0.6827407407407408,2.1728473,0.8962826
Cst3,32.71207,3.4223616,1.0519980636943867e-234,3.623998457880534e-232,0.8270676691729323,0.5785925925925925,2.5556638,0.7457861
Csmd3,32.464714,1.4679053,3.358188257025453e-231,1.1140064008181965e-228,0.9419978517722879,0.899074074074074,3.4954767,2.530195
Rapgef5,32.435112,2.0405777,8.784361666638019e-231,2.878485341250775e-228,0.8335123523093448,0.7128148148148148,2.2023516,1.0837594
Gm10790,32.4337,6.358169,9.196357108114479e-231,2.977182114398025e-228,0.6466165413533834,0.052925925925925925,1.5116242,0.04217804
Picalm,32.360203,2.6434555,9.968971453618997e-230,3.151367799514617e-227,0.8002148227712137,0.6858518518518518,2.0902133,0.75808024
Inpp4b,32.10573,2.5576322,3.6675423231898566e-226,1.1198507070921755e-223,0.8259935553168636,0.5837407407407408,2.196583,0.8577508
Runx1,31.916012,6.063153,1.6010824345182036e-223,4.727591759945509e-221,0.6412459720730398,0.060148148148148145,1.5068504,0.051198747
Ctsd,31.853722,4.2735057,1.1690357741450078e-222,3.3417011969442935e-220,0.715359828141783,0.28314814814814815,1.8081874,0.23402196
Itgb5,31.76494,5.5109634,1.9747031809604563e-221,5.470131388907986e-219,0.6487647690655209,0.08707407407407407,1.5003417,0.07360943
Plcl2,31.656876,2.3987484,6.09885050451014e-220,1.655314273294823e-217,0.7841031149301826,0.6464444444444445,2.007875,0.79868984
Zfp710,31.608355,4.3777304,2.834492701502948e-219,7.616281888938421e-217,0.7013963480128894,0.28144444444444444,1.6821989,0.19108637
Ankrd44,31.596123,3.746462,4.173833511549816e-219,1.1104050144093421e-216,0.7218045112781954,0.34,1.7198726,0.29381156
Ly86,31.52484,6.049228,3.9678124697318757e-218,1.0350982627349078e-215,0.6337271750805585,0.05940740740740741,1.4874244,0.05043709
Lpcat2,31.157597,4.5313754,4.0022601614623214e-213,9.601850940936837e-211,0.682062298603652,0.23192592592592592,1.5803043,0.1542349
Slco2b1,31.115473,6.030735,1.4876144693754306e-212,3.537362901957329e-210,0.6251342642320086,0.05848148148148148,1.4067281,0.046072166
4933406I18Rik,31.09039,2.7744372,3.2483824053041403e-212,7.589916107001934e-210,0.7593984962406015,0.5847037037037037,1.9013491,0.60559297
Entpd1,30.496136,5.0865335,2.932264057603311e-204,6.107746916883796e-202,0.6380236305048335,0.12155555555555556,1.4838326,0.09563118
Ctss,30.430286,5.1279993,2.1842997656610443e-203,4.38001005248599e-201,0.6380236305048335,0.11285185185185186,1.4901785,0.09377523
Ivns1abp,30.091024,3.7247598,6.349910644543132e-199,1.1848756876310693e-196,0.7056928034371643,0.3909259259259259,1.6699858,0.2822838
E230029C05Rik,30.078754,4.183508,9.188853465726258e-199,1.7027896043038934e-196,0.686358754027927,0.32181481481481483,1.6757164,0.21430118
Abca9,29.89352,5.3932195,2.3888944848119916e-196,4.222999658348567e-194,0.6165413533834586,0.09137037037037037,1.3724562,0.067729585
Maf,29.886192,3.9478784,2.9745713595426185e-196,5.2239694399287684e-194,0.6670247046186896,0.21362962962962964,1.5538497,0.21646383
Macf1,29.83906,1.1729444,1.2172658880686645e-195,2.1101893169293556e-193,0.9044038668098818,0.8776296296296296,2.5157404,1.7992859
Lair1,29.815083,5.6039343,2.490788829535257e-195,4.290224092923869e-193,0.6100966702470462,0.0822962962962963,1.365737,0.058278333
Agmo,29.752329,4.7125864,1.6179480341262613e-194,2.71714147981079e-192,0.6326530612244898,0.1277037037037037,1.5365593,0.13028498
Mir99ahg,29.623764,1.3820953,7.387092636523384e-193,1.2103120679474594e-190,0.9484425349087003,0.8726296296296296,2.9633725,2.0850816
Arhgap5,29.533924,2.327493,1.0564498046072548e-191,1.7100485692648757e-189,0.7830290010741139,0.6891111111111111,1.9921384,0.815969
Lrmda,29.486828,4.4495106,4.2477283392872054e-191,6.75363671459451e-189,0.6509129967776585,0.19344444444444445,1.7165177,0.18974145
Cyrib,29.454947,2.0015028,1.0880834241749423e-190,1.7097544799754795e-188,0.7787325456498388,0.7241851851851852,1.9388213,0.9107116
Bmp2k,29.050085,4.0288935,1.5350240718368308e-185,2.241635696209546e-183,0.6584317937701396,0.24996296296296297,1.5162197,0.19702913
Selplg,29.00797,5.61932,5.2201672986835124e-185,7.500850016878395e-183,0.5918367346938775,0.06770370370370371,1.3162671,0.05403908
Adap2,28.961246,5.9744687,2.0255144100424367e-184,2.8645037998863303e-182,0.5832438238453276,0.05248148148148148,1.2832755,0.040647216
Diaph2,28.94379,1.6555985,3.3596252721470114e-184,4.7263419404497486e-182,0.8206229860365198,0.7711481481481481,2.1741116,1.2453027
St3gal6,28.899647,4.608465,1.2062189762478391e-183,1.6793318078642196e-181,0.6262083780880774,0.16074074074074074,1.4437712,0.124587096
Lgmn,28.733486,3.969979,1.4568098861227576e-181,1.9282995881831772e-179,0.6670247046186896,0.2951111111111111,1.5526636,0.21321148
Tbc1d5,28.620733,1.6894983,3.7098222549516356e-180,4.8389768927451674e-178,0.8055853920515574,0.7789259259259259,2.0715272,1.1476214
Sirpa,28.557934,3.0316367,2.2388915580588638e-179,2.8647150554781746e-177,0.7185821697099892,0.5163333333333333,1.6937314,0.4336825
Ubash3b,28.503077,3.0391228,1.0729707902013854e-178,1.3535551705498229e-176,0.7078410311493019,0.43214814814814817,1.7079343,0.43798828
Fcrls,28.496464,5.758109,1.2957867634034904e-178,1.6269995482547562e-176,0.5789473684210527,0.06077777777777778,1.2971938,0.047962274
Nav3,28.48282,1.2009907,1.9122264608265734e-178,2.3678122120926283e-176,0.9752953813104189,0.8954814814814814,3.4640656,2.6714594
C1qa,28.34297,4.945008,1.0218149376714388e-176,1.2095227918604211e-174,0.6047261009667024,0.11977777777777777,1.479152,0.1043853
Lrch1,27.919847,2.4655063,1.5321937440311125e-171,1.6395009280114672e-169,0.7261009667024705,0.6014814814814815,1.7091366,0.59835595
Plcl1,27.919722,2.0624652,1.5376041453624479e-171,1.6395009280114672e-169,0.8313641245972073,0.6811851851851852,2.33295,1.1720077
Snx29,27.836922,2.5526922,1.5510513591674514e-170,1.6343823537580165e-168,0.7271750805585392,0.6016666666666667,1.7171111,0.57584125
Rasgrp3,27.836374,5.0415735,1.5749140877550457e-170,1.6530445913272686e-168,0.5800214822771214,0.08674074074074074,1.2999842,0.07792762
Arhgap45,27.523233,5.86499,9.257241729524088e-167,9.04516673717499e-165,0.5553168635875403,0.047851851851851854,1.1860379,0.038276326
Tbxas1,27.248579,5.6182127,1.7275846511838844e-163,1.5629696827377432e-161,0.5574650912996778,0.06622222222222222,1.2180234,0.047326077
Sparc,27.046827,4.4112234,4.162210937151734e-161,3.584570765425227e-159,0.5918367346938775,0.13092592592592592,1.3838352,0.13149786
Wnk1,26.838278,1.7310551,1.1558920310101838e-158,9.299047566839413e-157,0.7808807733619764,0.7615925925925926,1.9202689,1.013058
Ptprc,26.71133,5.523933,3.4763382341153436e-157,2.731263402066646e-155,0.5456498388829216,0.05703703703703704,1.167421,0.04698989
Frmd4b,26.611353,2.3178105,5.01617035913722e-156,3.8731177456901466e-154,0.7422126745435016,0.5628518518518518,1.7957493,0.69697464
Serinc3,26.400124,3.0008879,1.3657229026418041e-153,1.0109359337186027e-151,0.6852846401718582,0.4852962962962963,1.5798427,0.39303955
Rap1gds1,25.948359,1.8299394,1.8975227442851274e-148,1.2940719832218623e-146,0.7357679914070892,0.6985925925925925,1.7546145,0.8522178
Laptm5,25.656273,5.4436216,3.598690752156946e-145,2.3356719930062114e-143,0.5295381310418904,0.06540740740740741,1.188015,0.05107527
Tgfbr2,25.036282,4.713618,2.4629030430298395e-138,1.4231871992733718e-136,0.5349087003222341,0.1007037037037037,1.1375523,0.07766784
Itgam,24.799364,5.725682,9.107788791328121e-136,5.014882885716939e-134,0.5037593984962406,0.046703703703703706,1.0598878,0.035020646
Vsir,24.531305,5.6179814,6.8479849488409424e-133,3.629296954149036e-131,0.5016111707841031,0.05240740740740741,1.071691,0.038356215
Dennd4a,24.424984,1.7864512,9.283563121794121e-132,4.815624345224093e-130,0.7175080558539205,0.7035555555555556,1.7225304,0.84719247
Dock10,24.384455,1.9684585,2.500298598166059e-131,1.2870310983280076e-129,0.7980665950590763,0.5854074074074074,2.0564663,1.0087796
0610040J01Rik,24.374437,4.1701727,3.1932136180766687e-131,1.6312100744813705e-129,0.5542427497314716,0.17477777777777778,1.2312816,0.1263976
Chn2,24.288418,3.3052323,2.5985973290350046e-130,1.3002664847517799e-128,0.602577873254565,0.2818148148148148,1.36923,0.25978032
Nek7,23.912748,3.326559,2.2569563364649374e-126,1.051029753220327e-124,0.5907626208378088,0.2773703703703704,1.2782305,0.22968039
Cyfip1,23.858765,1.9309775,8.212863693503928e-126,3.765864290860931e-124,0.6949516648764769,0.6474814814814814,1.6150354,0.72093886
Rrbp1,23.716043,3.4216948,2.4632953682796183e-124,1.1105494386857943e-122,0.5907626208378088,0.28155555555555556,1.2886409,0.21931802
Bank1,23.621042,5.554708,2.342983921382812e-123,1.0405946771496884e-121,0.48549946294307195,0.05333333333333334,1.0812157,0.04061297
Fgd2,23.576881,5.744178,6.655445878586975e-123,2.8937189442982525e-121,0.48012889366272826,0.045592592592592594,1.0078784,0.03194258
Zswim6,23.47112,1.5518057,8.046634080145754e-122,3.4594089237362626e-120,0.7293233082706767,0.713,1.759878,0.9712326
Mgat4a,23.423258,3.0371864,2.476756305448753e-121,1.0513497934819588e-119,0.6219119226638024,0.42577777777777776,1.3848554,0.31097668
C1qb,23.337164,4.8256307,1.860703713236997e-120,7.824273673658547e-119,0.49946294307196565,0.0845925925925926,1.1552728,0.0738979
Vis1,23.227339,5.9852715,2.410997938221975e-119,9.96669455384992e-118,0.47046186895810954,0.04048148148148148,1.0240003,0.027776591
Ptprj,23.166042,1.5756862,1.0019678436651644e-118,4.12295190800658e-117,0.719656283566058,0.7131111111111111,1.7700016,0.9685416
Wasf2,22.957722,3.4554157,1.2337432497505053e-116,4.88227998833521e-115,0.5789473684210527,0.29992592592592593,1.27406,0.21088824
Dip2b,22.767193,1.6198415,9.696192628941484e-115,3.721952799137967e-113,0.7089151450053706,0.7181111111111111,1.645152,0.85893154
Jmjd1c,22.654707,1.0970534,1.2537551660885364e-113,4.724880969537023e-112,0.7551020408163265,0.7997407407407408,1.8208537,1.2296854
Pik3ap1,22.649815,5.762757,1.401004820995664e-113,5.265034900720768e-112,0.4597207303974221,0.03948148148148148,0.9479224,0.02869089
Skap2,22.54155,3.341912,1.6252843704867325e-112,5.990588619338615e-111,0.5832438238453276,0.33225925925925925,1.3316414,0.2428605
Zeb2,22.31451,1.1162022,2.6715161002374483e-110,9.53301960337055e-109,0.920515574650913,0.8584074074074074,2.7488155,2.0472026
Cttnbp2nl,22.28961,3.6197567,4.660276946483485e-110,1.6563709200001487e-108,0.5574650912996778,0.27385185185185185,1.2129095,0.17583823
Unc93b1,22.177942,5.270373,5.608648410003917e-109,1.9622966507396518e-107,0.46294307196562834,0.06144444444444445,0.9644798,0.041201547
Pros1,22.105583,4.421508,2.7930820322767252e-108,9.671406470009743e-107,0.49301825993555315,0.12459259259259259,1.037608,0.08162188
Itga6,22.092543,3.8859677,3.7280419990369764e-108,1.2875641197188117e-106,0.5177228786251342,0.172,1.13409,0.13331455
Itpr2,21.856028,3.1413786,6.811958716433167e-106,2.2486158563950763e-104,0.5488721804511278,0.21544444444444444,1.1742088,0.22582942
Camk1d,21.749275,0.72616255,7.017976001415658e-105,2.271964038048659e-103,0.9151450053705693,0.9553333333333334,2.772221,2.3089688
Eeig2,21.743183,3.8516762,8.014269507158994e-105,2.591376915251049e-103,0.5295381310418904,0.2235925925925926,1.1621027,0.1416353
Nckap1l,21.54351,5.7034426,6.091222851178926e-103,1.918770902827406e-101,0.439312567132116,0.04014814814814815,0.89285874,0.027299043
Gpr34,21.516577,5.081176,1.0891470241719837e-102,3.414863540198507e-101,0.4522019334049409,0.061925925925925926,0.9515184,0.04588907
Ifitm10,21.459766,4.452002,3.701538151945682e-102,1.1524951349105502e-100,0.4833512352309345,0.1275925925925926,1.0218494,0.078118265
Etv6,21.363716,2.5157797,2.9073104443331135e-101,8.907574873344442e-100,0.6133190118152524,0.463037037037037,1.3602846,0.40985712
Myo1f,21.256687,5.598722,2.859023698055889e-100,8.641391087374775e-99,0.43609022556390975,0.04388888888888889,0.91707766,0.030523352
Ccr5,21.194681,5.6332116,1.069203724927282e-99,3.1992766245875355e-98,0.43609022556390975,0.046296296296296294,0.9284404,0.03037194
Csf3r,21.053337,5.693688,2.1312967261679116e-98,6.258791588211124e-97,0.4296455424274973,0.03955555555555555,0.88207114,0.026989054
Pld1,20.710606,3.8359995,2.7794467953682674e-95,7.715261920614189e-94,0.47798066595059074,0.13274074074074074,1.0105373,0.11541409
Hk2,20.505508,5.622283,1.9224701884317628e-93,5.16051687943671e-92,0.41997851772287864,0.04014814814814815,0.8775208,0.028122753
C1qc,20.457829,4.71805,5.116708360460062e-93,1.370747294571903e-91,0.4414607948442535,0.07414814814814814,1.0098913,0.064206555
Cflar,20.05047,4.1254773,1.9994351964262286e-89,5.063602613381033e-88,0.4640171858216971,0.13796296296296295,0.95085615,0.08707477
Cd180,20.04824,5.571408,2.0911050351776494e-89,5.290771402563413e-88,0.41245972073039744,0.04192592592592593,0.867597,0.028632402
Cyth4,19.984684,5.3215203,7.485859057329299e-89,1.8659093958296684e-87,0.41568206229860366,0.04933333333333333,0.8273198,0.031681422
Sall1,19.732796,4.741664,1.127603136238156e-86,2.7320736042127366e-85,0.4221267454350161,0.06755555555555555,0.86028516,0.049720682
Phf14,19.641375,0.94199,6.851749756937458e-86,1.6379583271255294e-84,0.7185821697099892,0.7968148148148149,1.7221987,1.2216246
8030442B05Rik,19.550844,5.782131,4.057512888328498e-85,9.546880149683602e-84,0.39849624060150374,0.03448148148148148,0.8351186,0.02343932
Asap1,19.503536,1.2680885,1.0244980839038377e-84,2.389606207855566e-83,0.7056928034371643,0.7018518518518518,1.669206,1.0255784
Smap2,19.499805,2.345001,1.1019862944454253e-84,2.5658900980718005e-83,0.6036519871106337,0.5206296296296297,1.3210636,0.43227842
Tmem135,19.065294,1.4315584,4.905124884791211e-81,1.0821075997893254e-79,0.6530612244897959,0.7044814814814815,1.4905051,0.8220072
Tns3,18.970055,2.9235618,3.0159491336252638e-80,6.50912074060328e-79,0.5166487647690655,0.2671851851851852,1.1182663,0.24015914
Itga9,18.962639,4.058881,3.472692145690283e-80,7.488863399253444e-79,0.43823845327604727,0.12111111111111111,0.92582756,0.08749621
Camk2d,18.874638,1.637221,1.8438715649124898e-79,3.898098265082502e-78,0.6541353383458647,0.5573703703703704,1.5333058,0.7738344
Cd84,18.764824,5.4481425,1.4648118105662493e-78,3.051123515497296e-77,0.38560687432867885,0.036444444444444446,0.7747612,0.026448615
Rbm47,18.721083,5.4425216,3.333036144851337e-78,6.8785469440979596e-77,0.38560687432867885,0.037925925925925925,0.8002689,0.027805205
Il6ra,18.591074,4.2892513,3.795058756660094e-77,7.719396577703008e-76,0.42857142857142855,0.11837037037037038,0.8706628,0.06860689
Ttc28,18.552591,2.2836752,7.771393823966024e-77,1.5736047629989983e-75,0.5843179377013964,0.4621851851851852,1.3212087,0.44747505
Rgs10,18.545483,4.545343,8.870122027105079e-77,1.7920314200625072e-75,0.4070891514500537,0.07755555555555556,0.8245874,0.053406667
Maml2,18.495647,1.7394798,2.2383658809502462e-76,4.491776790226521e-75,0.6680988184747583,0.5376296296296297,1.6321061,0.8030026
Blnk,18.471573,4.831365,3.497451895401303e-76,6.987102782857473e-75,0.39849624060150374,0.06748148148148148,0.8020997,0.042303644
Abca1,18.194277,3.0267313,5.729039313515274e-74,1.1011393873687798e-72,0.4940923737916219,0.2518518518518518,1.0567335,0.20726843
Naaladl2,18.183348,0.8993803,6.9930885111806966e-74,1.3402588323496812e-72,0.8098818474758325,0.8648518518518519,2.166351,1.6374915
Anxa3,18.086086,5.1861305,4.1020018574453684e-73,7.73479227435488e-72,0.3748657357679914,0.038814814814814816,0.76123554,0.030857226
Marcks,17.914469,2.29265,9.093232314348678e-72,1.6655429603718403e-70,0.5832438238453276,0.4691851851851852,1.3055333,0.43758383
Lims1,17.713064,2.0083525,3.324752501734434e-70,5.928075628507248e-69,0.5950590762620838,0.5641111111111111,1.343383,0.5329246
Fgf13,17.578173,1.8377514,3.620546531342519e-69,6.379284281781868e-68,0.6455424274973147,0.6390370370370371,1.7425957,0.8408192
Nfia,17.474533,1.1153755,2.23972136732041e-68,3.8776619291172305e-67,0.757250268528464,0.7391111111111112,1.9144614,1.300025
Lcp2,17.44397,5.333416,3.825568841141779e-68,6.597755761327317e-67,0.3651987110633727,0.04377777777777778,0.7164313,0.025638746
Nrip1,17.410402,2.2398605,6.8798626378744636e-68,1.1804719609175404e-66,0.5671321160042965,0.4908518518518519,1.2390814,0.4181828
2610203C22Rik,17.40088,4.4013224,8.124295838936197e-68,1.3922182984197425e-66,0.40064446831364126,0.10555555555555556,0.83396673,0.05980992
F11r,16.90369,5.336718,4.2261410448334796e-64,6.719314193767787e-63,0.35123523093447906,0.03737037037037037,0.7018097,0.02486393
Gm5086,16.885292,5.133794,5.772906802061464e-64,9.151504765273837e-63,0.359828141783029,0.052037037037037034,0.7151391,0.029314976
Slc16a6,16.727531,3.598555,8.259193490501533e-63,1.281319452019493e-61,0.4371643394199785,0.19740740740740742,0.89121175,0.112182066
Hpgd,16.5284,5.2185984,2.2914309539723513e-61,3.4687746328584267e-60,0.3501611170784103,0.04722222222222222,0.7427203,0.029156862
Ppm1h,16.49111,1.2719948,4.250759510468352e-61,6.416736407094642e-60,0.6251342642320086,0.6772222222222222,1.398881,0.816799
Tmem119,16.47668,5.303848,5.396752903534611e-61,8.132964134491027e-60,0.34156820622986034,0.0342962962962963,0.67599845,0.024160236
Cd33,16.309677,5.6533623,8.423709368344631e-60,1.2409269228476985e-58,0.33297529538131043,0.02677777777777778,0.65162116,0.018087752
Abhd12,16.16543,1.9546032,8.84198640284503e-59,1.2773342722819673e-57,0.5832438238453276,0.5838148148148148,1.3223642,0.5365325
Aim2,16.105955,4.3828793,2.3168983982223207e-58,3.316732017060935e-57,0.3684210526315789,0.08903703703703704,0.73891383,0.051093105
Akap13,16.097656,1.8579171,2.649507317936511e-58,3.7807892529449843e-57,0.5628356605800214,0.5041481481481481,1.2346609,0.514238
Wdfy4,16.047663,5.3344083,5.9357617154039845e-58,8.416565556353829e-57,0.3351235230934479,0.03766666666666667,0.6617596,0.02298674
Plcg2,15.975723,4.494004,1.8865461762169886e-57,2.649842956348692e-56,0.3576799140708915,0.07548148148148148,0.7029758,0.044260766
Dapp1,15.875231,4.968681,9.406438530431605e-57,1.2974897500651809e-55,0.3351235230934479,0.04203703703703704,0.6581843,0.029307576
Ptgs1,15.872006,4.830411,9.90245027675017e-57,1.3652069724796156e-55,0.3426423200859291,0.05388888888888889,0.68113095,0.033732995
Pmepa1,15.866946,3.1825287,1.0733832881283385e-56,1.4775516881151874e-55,0.4489795918367347,0.2484074074074074,0.9355537,0.15749349
Gnaq,15.842083,0.5475925,1.5944929546367968e-56,2.1836914215642572e-55,0.7218045112781954,0.8304814814814815,1.706144,1.4070742
Lrrk1,15.791151,4.6824865,3.579875344732707e-56,4.853241700957005e-55,0.3383458646616541,0.04766666666666667,0.6556602,0.03544194
Retreg1,15.679606,2.3650975,2.0854273405302773e-55,2.789220141366279e-54,0.523093447905478,0.4197037037037037,1.1172379,0.33586904
Cd86,15.567694,5.586217,1.2068072484400479e-54,1.5903340247956884e-53,0.3200859291084855,0.028592592592592593,0.65585923,0.019107781
Chd7,15.56476,2.3392231,1.2634212594228382e-54,1.6641239823868463e-53,0.49194414607948445,0.31907407407407407,1.0519202,0.3134872
Irf8,15.5504465,5.2906523,1.5800136317892072e-54,2.0709739651793169e-53,0.3233082706766917,0.033296296296296296,0.6280804,0.02208347
Lhfpl2,15.503522,3.5370848,3.283874590241371e-54,4.273012602410927e-53,0.39849624060150374,0.15748148148148147,0.83991516,0.1074022
Casp8,15.480549,5.438446,4.694529489390176e-54,6.090874330271078e-53,0.31901181525241673,0.029296296296296296,0.62824625,0.019961521
Hck,15.415997,5.0796056,1.2778473232605324e-53,1.6412886030597755e-52,0.32867883995703545,0.04551851851851852,0.6585443,0.027187854
Pla2g4a,15.414711,3.9109795,1.303534323649949e-53,1.673481475225711e-52,0.35660580021482274,0.0857037037037037,0.7302449,0.06906231
Pan3,15.4008465,0.8998027,1.615398179844438e-53,2.0679251592386875e-52,0.6423200859291085,0.7538888888888889,1.4537592,1.0143263
Atp8a2,15.354865,1.3317972,3.2859218726753666e-53,4.184489133591805e-52,0.5961331901181526,0.6418148148148148,1.3483888,0.75739646
Il10ra,15.339397,5.494924,4.170488301532673e-53,5.288391725445159e-52,0.3157894736842105,0.028185185185185185,0.612073,0.018548146
P3h2,15.223003,2.6752985,2.4884038413041768e-52,3.096962075768561e-51,0.47261009667024706,0.3267037037037037,1.0266843,0.24725628
Dst,15.041152,0.48346758,3.946242013688418e-51,4.776374905757108e-50,0.7379162191192267,0.8616296296296296,1.8251984,1.5522794
Fhit,14.976605,1.869549,1.0441516050106345e-50,1.2536351039604893e-49,0.5617615467239527,0.5475185185185185,1.3997025,0.60745496
Vav1,14.954799,5.4854193,1.4492023080026669e-50,1.729900755932104e-49,0.3071965628356606,0.02614814814814815,0.59038645,0.017802427
Kansl1,14.791924,0.4629678,1.651633520093079e-49,1.928700247062192e-48,0.7346938775510204,0.8415555555555555,1.7663617,1.5081327
Otulinl,14.771765,3.4209652,2.2280323085605997e-49,2.5961503959680534e-48,0.4092373791621912,0.2054814814814815,0.8235924,0.11277853
Hivep3,14.748006,0.64441675,3.1689201200080883e-49,3.676549379301266e-48,0.706766917293233,0.7848888888888889,1.6713948,1.325342
