mapmycells_second_layer,reason
L6 IT CTX Glut,"Low cell count (Emx1_Mutant=37, Nestin_Mutant=55)"
Monocytes NN,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
L5 ET CTX Glut,"Low cell count (Emx1_Mutant=45, Nestin_Mutant=114)"
Astro-OLF NN,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
COAp Grxcr2 Glut,"Low cell count (Emx1_Mutant=25, Nestin_Mutant=1)"
NTS Phox2b Glut,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=1)"
Lymphoid NN,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=6)"
L6b CTX Glut,"Low cell count (Emx1_Mutant=13, Nestin_Mutant=21)"
L5 NP CTX Glut,"Low cell count (Emx1_Mutant=13, Nestin_Mutant=45)"
HPF CR Glut,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=37)"
Microglia NN,"Low cell count (Emx1_Mutant=27, Nestin_Mutant=496)"
OB-in Frmd7 Gaba,"Low cell count (Emx1_Mutant=11, Nestin_Mutant=11)"
CA2-FC-IG Glut,"Low cell count (Emx1_Mutant=55, Nestin_Mutant=39)"
SC Lef1 Otx2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
DG-PIR Ex IMN,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=37)"
Sncg Gaba,"Low cell count (Emx1_Mutant=71, Nestin_Mutant=21)"
IA Mgp Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=2)"
LSX Prdm12 Slit2 Gaba,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=0)"
IT AON-TT-DP Glut,"Low cell count (Emx1_Mutant=23, Nestin_Mutant=27)"
CEA-BST Ebf1 Pdyn Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=1)"
IT EP-CLA Glut,"Low cell count (Emx1_Mutant=36, Nestin_Mutant=36)"
VLMC NN,"Low cell count (Emx1_Mutant=53, Nestin_Mutant=14)"
L6b EPd Glut,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=2)"
OB Meis2 Thsd7b Gaba,"Low cell count (Emx1_Mutant=9, Nestin_Mutant=7)"
IC Six3 En2 Gaba,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=4)"
ENTmv-PA-COAp Glut,"Low cell count (Emx1_Mutant=35, Nestin_Mutant=64)"
LDT Vsx2 Nkx6-1 Nfib Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
Astro-NT NN,"Low cell count (Emx1_Mutant=12, Nestin_Mutant=9)"
COAa-PAA-MEA Barhl2 Glut,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=3)"
L5 IT CTX Glut,"Low cell count (Emx1_Mutant=11, Nestin_Mutant=26)"
SMC NN,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=3)"
Endo NN,"Low cell count (Emx1_Mutant=41, Nestin_Mutant=8)"
ABC NN,"Low cell count (Emx1_Mutant=32, Nestin_Mutant=13)"
CLA-EPd-CTX Car3 Glut,"Low cell count (Emx1_Mutant=11, Nestin_Mutant=27)"
SPVI-SPVC Sall3 Nfib Gly-Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
Peri NN,"Low cell count (Emx1_Mutant=9, Nestin_Mutant=10)"
L2 IT PPP-APr Glut,"Low cell count (Emx1_Mutant=24, Nestin_Mutant=80)"
Pvalb chandelier Gaba,"Low cell count (Emx1_Mutant=15, Nestin_Mutant=21)"
Ependymal NN,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=2)"
Tanycyte NN,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
OB-mi Frmd7 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
OB Trdn Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
PVR Six3 Sox3 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
MEA-BST Sox6 Gaba,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=1)"
STR D2 Gaba,"Low cell count (Emx1_Mutant=13, Nestin_Mutant=2)"
CHOR NN,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=8)"
IC Tfap2d Maf Glut,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=6)"
NI-RPO Gata3 Nr4a2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
NLL Gata3 Gly-Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=6)"
LSX Otx2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
MH Tac2 Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=9)"
DTN-LDT-IPN Otp Pax3 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
OB Eomes Ms4a15 Glut,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=0)"
NTS-PARN Neurod2 Gly-Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
STR Prox1 Lhx6 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=3)"
OB-STR-CTX Inh IMN,"Low cell count (Emx1_Mutant=13, Nestin_Mutant=15)"
LSX Nkx2-1 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
STR D1 Gaba,"Low cell count (Emx1_Mutant=7, Nestin_Mutant=2)"
MY Lhx1 Gly-Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=1)"
TRS-BAC Sln Glut,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=0)"
CB Granule Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
L2/3 IT RSP Glut,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=9)"
PRT Mecom Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=3)"
OB Dopa-Gaba,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=1)"
MDRNd Prox1 Pax6 Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
MEA-BST Lhx6 Nr2e1 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=1)"
CB PLI Gly-Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
BAM NN,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=7)"
RT-ZI Gnb3 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SPVC Mafa Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
TH Prkcd Grin2c Glut,"Low cell count (Emx1_Mutant=8, Nestin_Mutant=0)"
SNc-VTA-RAmb Foxa1 Dopa,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
PGRN-PARN-MDRN Hoxb5 Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=5)"
VCO Mafa Meis2 Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
STR-PAL Chst9 Gaba,"Low cell count (Emx1_Mutant=15, Nestin_Mutant=5)"
NP PPP Glut,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=14)"
SC-PAG Lef1 Emx2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=5)"
DC NN,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=5)"
LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=6)"
SPVI-SPVC Tlx3 Ebf3 Glut,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=1)"
SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=5)"
OB-out Frmd7 Gaba,"Low cell count (Emx1_Mutant=3, Nestin_Mutant=3)"
CS-RPO Meis2 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
AHN-SBPV-PVHd Pdrm12 Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
LSX Prdm12 Zeb2 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
LDT-PCG-CS Gata3 Lhx1 Gaba,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=0)"
SCs Pax7 Nfia Gaba,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=4)"
ADP-MPO Trp73 Glut,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=1)"
Sst Chodl Gaba,"Low cell count (Emx1_Mutant=7, Nestin_Mutant=7)"
OEC NN,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
NLOT Rho Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
SCsg Gabrr2 Gaba,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=6)"
