mapmycells_second_layer,reason
L6 IT CTX Glut,"Low cell count (Emx1_Control=36, Nestin_Control=31)"
Monocytes NN,"Low cell count (Emx1_Control=3, Nestin_Control=0)"
L5 ET CTX Glut,"Low cell count (Emx1_Control=46, Nestin_Control=50)"
Astro-OLF NN,"Low cell count (Emx1_Control=2, Nestin_Control=6)"
COAp Grxcr2 Glut,"Low cell count (Emx1_Control=23, Nestin_Control=7)"
NTS Phox2b Glut,"Low cell count (Emx1_Control=6, Nestin_Control=8)"
Lymphoid NN,"Low cell count (Emx1_Control=11, Nestin_Control=14)"
L6b CTX Glut,"Low cell count (Emx1_Control=12, Nestin_Control=4)"
L5 NP CTX Glut,"Low cell count (Emx1_Control=8, Nestin_Control=9)"
HPF CR Glut,"Low cell count (Emx1_Control=6, Nestin_Control=25)"
Vip Gaba,"Low cell count (Emx1_Control=39, Nestin_Control=62)"
L2 IT ENT-po Glut,"Low cell count (Emx1_Control=30, Nestin_Control=44)"
OB-in Frmd7 Gaba,"Low cell count (Emx1_Control=5, Nestin_Control=50)"
CA2-FC-IG Glut,"Low cell count (Emx1_Control=46, Nestin_Control=47)"
RHP-COA Ndnf Gaba,"Low cell count (Emx1_Control=48, Nestin_Control=31)"
SC Lef1 Otx2 Gaba,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
DG-PIR Ex IMN,"Low cell count (Emx1_Control=15, Nestin_Control=101)"
OPC NN,"Low cell count (Emx1_Control=40, Nestin_Control=294)"
Sncg Gaba,"Low cell count (Emx1_Control=36, Nestin_Control=21)"
IA Mgp Gaba,"Low cell count (Emx1_Control=3, Nestin_Control=3)"
LSX Prdm12 Slit2 Gaba,"Low cell count (Emx1_Control=2, Nestin_Control=3)"
Lamp5 Lhx6 Gaba,"Low cell count (Emx1_Control=31, Nestin_Control=32)"
CEA-BST Ebf1 Pdyn Gaba,"Low cell count (Emx1_Control=3, Nestin_Control=1)"
Lamp5 Gaba,"Low cell count (Emx1_Control=21, Nestin_Control=45)"
IT EP-CLA Glut,"Low cell count (Emx1_Control=20, Nestin_Control=33)"
VLMC NN,"Low cell count (Emx1_Control=30, Nestin_Control=40)"
L6b EPd Glut,"Low cell count (Emx1_Control=6, Nestin_Control=7)"
OB Meis2 Thsd7b Gaba,"Low cell count (Emx1_Control=11, Nestin_Control=14)"
L5/6 IT TPE-ENT Glut,"Low cell count (Emx1_Control=41, Nestin_Control=52)"
IC Six3 En2 Gaba,"Low cell count (Emx1_Control=4, Nestin_Control=6)"
ENTmv-PA-COAp Glut,"Low cell count (Emx1_Control=32, Nestin_Control=44)"
