Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_Set_Library,Direction
Reactome_2022,Neuronal System R-HSA-112316,36/386,5.234640315336756e-12,4.062080884701322e-09,0,0,4.39032771237671,114.04193645530847,NLGN1;PTPRS;KCNK9;CACNA1B;PRKAG2;GRIK4;CACNA1A;ADCY2;SLC6A1;ADCY8;CACNA1E;GRIN2A;EPB41L1;RPS6KA2;KCNN3;DLGAP3;DLGAP2;GRIA3;KCNH1;GRIA4;UNC13B;GABRA2;GABBR2;KCNJ6;KCND3;CACNA2D3;CASK;KCNAB1;NRG1;GABRG3;CACNB2;NBEA;IL1RAPL2;KCNQ2;MAPT;SHANK2,Reactome_2022,Upregulated_in_Mutant
Reactome_2022,Transmission Across Chemical Synapses R-HSA-112315,24/246,8.17326964343259e-09,3.171228621651845e-06,0,0,4.5243595004983295,84.25441791570557,UNC13B;GABRA2;GABBR2;KCNJ6;CACNA2D3;CACNA1B;GRIK4;PRKAG2;CASK;CACNA1A;ADCY2;NRG1;SLC6A1;ADCY8;GABRG3;CACNA1E;CACNB2;GRIN2A;NBEA;EPB41L1;RPS6KA2;MAPT;GRIA3;GRIA4,Reactome_2022,Upregulated_in_Mutant
MSigDB_Hallmark_2020,Mitotic Spindle,20/199,8.853705641362433e-08,3.4529452001313486e-06,0,0,4.646122424460864,75.45230642614983,NOTCH2;ARFGEF1;TRIO;DST;ROCK1;ITSN1;TBCD;MYO9B;LRPPRC;BCR;ABR;FGD4;PCM1;NIN;APC;BIN1;CDC27;NF1;FLNB;CLASP1,MSigDB_Hallmark_2020,Upregulated_in_Mutant
GO_Biological_Process_2023,Neuron Development (GO:0048666),19/150,4.250569778689223e-09,9.487271746034348e-06,0,0,6.033089801133571,116.29512283260792,CNTNAP2;TENM1;SRRM4;TENM2;NLGN1;ATP8A2;TENM4;ROCK1;MYT1L;DOCK7;TBCD;BICDL1;VPS13B;WNK1;TAOK1;TMEM108;DMD;CNTN4;MAPT,GO_Biological_Process_2023,Upregulated_in_Mutant
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),18/146,1.6750547969405514e-08,1.869361153385656e-05,0,0,5.837894807280514,104.5265424813748,SPTBN4;NTNG2;CNTNAP2;NLGN1;TRIO;ROCK1;DOCK7;ANK3;DICER1;DOCK10;SHTN1;ADGRB1;CNTN4;PAK3;EPHB1;DSCAML1;PACSIN1;MAP4K4,GO_Biological_Process_2023,Upregulated_in_Mutant
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),16/123,4.8828238786061135e-08,3.632820965682948e-05,0,0,6.1879122411972185,104.1732366723513,GRID2;NLGN1;TRIO;MCTP1;CLSTN2;IQSEC2;CACNA1B;CASK;CACNA1A;GRIK4;BCR;TMEM108;DLGAP3;DLGAP2;GRIA3;GRIA4,GO_Biological_Process_2023,Upregulated_in_Mutant
Reactome_2022,Axon Guidance R-HSA-422475,34/519,1.741920791682375e-07,4.50576844781841e-05,0,0,2.9580085491576567,46.035804277196014,SPTBN4;NRP1;TRIO;ROCK1;EPHA10;ARHGEF28;ITSN1;CACNA1C;ABLIM2;SYNGAP1;ABLIM3;RPS6KA2;PLXNA2;ABL2;SLIT3;PLXNC1;SRGAP2;EPHB1;PLXNA4;CLASP1;SCN1A;MYO9B;ANK3;MAPK14;SPTB;DNM1;DNM3;CACNB2;SHTN1;NFASC;SCN8A;KCNQ2;DSCAML1;LHX9,Reactome_2022,Upregulated_in_Mutant
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),9/36,1.4160924099073926e-07,7.90179564728325e-05,0,0,13.647058823529411,215.2167705886509,BCR;NLGN1;GRID2;IQSEC2;CACNA1B;CACNA1A;GRIK4;GRIA3;GRIA4,GO_Biological_Process_2023,Upregulated_in_Mutant
Reactome_2022,Nervous System Development R-HSA-9675108,34/545,5.406241423120036e-07,0.0001048810836085287,0,0,2.8036674317997403,40.45843935501431,SPTBN4;NRP1;TRIO;ROCK1;EPHA10;ARHGEF28;ITSN1;CACNA1C;ABLIM2;SYNGAP1;ABLIM3;RPS6KA2;PLXNA2;ABL2;SLIT3;PLXNC1;SRGAP2;EPHB1;PLXNA4;CLASP1;SCN1A;MYO9B;ANK3;MAPK14;SPTB;DNM1;DNM3;CACNB2;SHTN1;NFASC;SCN8A;KCNQ2;DSCAML1;LHX9,Reactome_2022,Upregulated_in_Mutant
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),23/273,2.483505729138887e-07,0.0001072692481736496,0,0,3.8363203463203455,58.34438830076572,UNC13B;GABRA2;GABBR2;GRID2;NLGN1;PTPRN2;CACNA1B;GRIK4;CACNA1A;SLC6A1;GABRG3;CACNA1E;GRIN1;CACNB2;GRIN2A;RPS6KA2;KCNQ2;AMPH;PDE7B;ASIC2;DLGAP2;GRIA3;GRIA4,GO_Biological_Process_2023,Upregulated_in_Mutant
