names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LA-BLA-BMA-PA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rtn1,15.0274935,0.88891196,4.850165266090183e-51,9.308852907131657e-48,0.9109375,0.9051335605144553,2.380187,1.8398947
Calm1,13.275247,1.2908251,3.222089051865519e-40,2.9854321663319477e-37,0.9,0.8356234656113737,2.0465002,1.3231025
C1ql3,12.493333,1.5007449,8.11799530430822e-36,4.544386121390872e-33,0.6671875,0.5054413542926239,1.1734186,0.5817055
B130024G19Rik,11.520793,2.0152051,1.0365261109432137e-30,3.396519097688311e-28,0.43125,0.21069216957971493,0.51490843,0.15409875
Lypd1,11.2653475,2.095804,1.94582063713788e-29,5.103647288585374e-27,0.4546875,0.2560551097431388,0.619045,0.18275526
Ttc3,11.09076,0.40632507,1.391005541131022e-28,3.460770267610237e-26,0.8578125,0.8966325894983694,2.135389,1.8914701
Tmsb4x,10.862543,1.2077627,1.7383996422870043e-27,3.565709800629909e-25,0.8046875,0.7196511670514089,1.6882635,1.0679135
Atp6v0c,10.478837,1.2838032,1.0806449873910278e-25,1.7154145055527852e-23,0.765625,0.6798578285881792,1.4712232,0.86615837
Htr2c,10.261556,1.5743594,1.050017533329599e-24,1.446870313875196e-22,0.503125,0.3419442306987652,0.90373325,0.40092927
Nrgn,10.067583,1.1144162,7.684294916416541e-24,9.542931695941597e-22,0.7953125,0.7339049503499322,1.579528,1.0222576
Camk1d,9.950543,0.58752304,2.508093832029227e-23,2.867765160281929e-21,0.9296875,0.9545637756036789,2.6895242,2.315848
Hspa8,9.451948,1.2810675,3.3258294816588257e-21,2.846020323954543e-19,0.7484375,0.6694881096332124,1.4234804,0.83152807
Ppia,9.122162,1.3440999,7.364038024755352e-20,5.073633377568623e-18,0.646875,0.5302480671283574,1.1490427,0.6146014
Hsp90ab1,8.879274,1.0998669,6.72979809119042e-19,4.009527155438727e-17,0.85625,0.8082518046242351,1.7306566,1.1527475
Ubb,8.794962,1.3177472,1.4309590488124748e-18,8.094709398229726e-17,0.60625,0.4797918727785717,1.0996572,0.58977276
Nr2f2,8.395761,1.6201789,4.628884096108142e-17,2.1744425815109402e-15,0.3375,0.15605877395478363,0.28987664,0.10380551
Hsp90aa1,8.181368,1.0833012,2.8064000826848326e-16,1.1819431069238472e-14,0.8171875,0.7951705690520684,1.6586853,1.1009138
Calm2,8.066381,0.76277596,7.241247275408975e-16,2.87403713870368e-14,0.8515625,0.8574621670147667,1.8174162,1.395927
Gapdh,7.321054,1.4149895,2.460304456270268e-13,7.040296138443249e-12,0.471875,0.3468909164193324,0.78762025,0.37109762
Atp1b1,7.1997766,0.7239475,6.031133492662234e-13,1.6336346466515547e-11,0.859375,0.8601736836319666,1.8954246,1.4870424
Ly6h,6.9533253,1.0435427,3.5677441164212318e-12,8.506236415992769e-11,0.60625,0.5446484188926752,0.9119898,0.5437747
Cck,6.918445,1.0897659,4.566277147802766e-12,1.0791193224402841e-10,0.653125,0.5958008134549851,1.1274874,0.68358576
Cdh7,6.826441,1.2715269,8.704708111216309e-12,1.9838465390023936e-10,0.359375,0.2280971748928218,0.38775378,0.17915216
Nptxr,6.818218,1.1775715,9.21766382053853e-12,2.0936485786802224e-10,0.50625,0.40423582866146346,0.65240693,0.3413153
Fth1,6.737611,1.0263069,1.6101196665965186e-11,3.554964292641615e-10,0.65,0.5784690923747756,1.1529604,0.72474104
Gm13986,6.691785,1.943082,2.2046465548929067e-11,4.785044663164169e-10,0.240625,0.09189842805320435,0.18838148,0.052505977
Gm11639,6.6500506,2.16573,2.929922892997077e-11,6.248176836097735e-10,0.2296875,0.08240811989300502,0.19206543,0.046112765
Slc17a7,6.631445,0.701649,3.3241653437779055e-11,7.033096282465537e-10,0.7296875,0.7143014180499065,1.2968038,0.9685306
