mapmycells_first_layer,reason
MY Glut,"Low cell count (Ctrl=34, Mut=19)"
OB-CR Glut,"Low cell count (Ctrl=45, Mut=45)"
MB GABA,"Low cell count (Ctrl=49, Mut=61)"
CNU-LGE GABA,"Low cell count (Ctrl=50, Mut=49)"
LSX GABA,"Low cell count (Ctrl=19, Mut=24)"
CNU-HYa GABA,"Low cell count (Ctrl=37, Mut=27)"
P Glut,"Low cell count (Ctrl=4, Mut=1)"
CNU-HYa Glut,"Low cell count (Ctrl=38, Mut=32)"
MY GABA,"Low cell count (Ctrl=13, Mut=11)"
MB Glut,"Low cell count (Ctrl=36, Mut=39)"
P GABA,"Low cell count (Ctrl=30, Mut=17)"
MH-LH Glut,"Low cell count (Ctrl=2, Mut=15)"
CNU-MGE GABA,"Low cell count (Ctrl=14, Mut=22)"
CB Glut,"Low cell count (Ctrl=5, Mut=4)"
CB GABA,"Low cell count (Ctrl=3, Mut=1)"
HY GABA,"Low cell count (Ctrl=9, Mut=11)"
TH Glut,"Low cell count (Ctrl=2, Mut=11)"
MB Dopa,"Low cell count (Ctrl=1, Mut=1)"
OEC,"Low cell count (Ctrl=40, Mut=0)"
MB-HB Sero,"Low cell count (Ctrl=1, Mut=0)"
HY Glut,"Low cell count (Ctrl=7, Mut=7)"
Pineal Glut,"Low cell count (Ctrl=2, Mut=1)"
