mapmycells_first_layer,reason
MY Glut,"Low cell count (Nestin_Control=24, Nestin_Mutant=9)"
OB-CR Glut,"Low cell count (Nestin_Control=38, Nestin_Mutant=37)"
OB-IMN GABA,"Low cell count (Nestin_Control=152, Nestin_Mutant=38)"
MB GABA,"Low cell count (Nestin_Control=36, Nestin_Mutant=46)"
CNU-LGE GABA,"Low cell count (Nestin_Control=35, Nestin_Mutant=12)"
LSX GABA,"Low cell count (Nestin_Control=8, Nestin_Mutant=6)"
CNU-HYa GABA,"Low cell count (Nestin_Control=28, Nestin_Mutant=9)"
Vascular,"Low cell count (Nestin_Control=140, Nestin_Mutant=48)"
P Glut,"Low cell count (Nestin_Control=2, Nestin_Mutant=1)"
CNU-HYa Glut,"Low cell count (Nestin_Control=29, Nestin_Mutant=11)"
MY GABA,"Low cell count (Nestin_Control=8, Nestin_Mutant=5)"
MB Glut,"Low cell count (Nestin_Control=30, Nestin_Mutant=30)"
P GABA,"Low cell count (Nestin_Control=25, Nestin_Mutant=12)"
MH-LH Glut,"Low cell count (Nestin_Control=1, Nestin_Mutant=13)"
CNU-MGE GABA,"Low cell count (Nestin_Control=10, Nestin_Mutant=11)"
CB Glut,"Low cell count (Nestin_Control=4, Nestin_Mutant=2)"
CB GABA,"Low cell count (Nestin_Control=2, Nestin_Mutant=1)"
HY GABA,"Low cell count (Nestin_Control=6, Nestin_Mutant=7)"
TH Glut,"Low cell count (Nestin_Control=1, Nestin_Mutant=1)"
MB Dopa,"Low cell count (Nestin_Control=0, Nestin_Mutant=0)"
OEC,"Low cell count (Nestin_Control=39, Nestin_Mutant=0)"
MB-HB Sero,"Low cell count (Nestin_Control=0, Nestin_Mutant=0)"
HY Glut,"Low cell count (Nestin_Control=7, Nestin_Mutant=3)"
Pineal Glut,"Low cell count (Nestin_Control=2, Nestin_Mutant=1)"
