mapmycells_first_layer,reason
Immune,"Low cell count (Emx1_Control=72, Emx1_Mutant=42)"
MY Glut,"Low cell count (Emx1_Control=10, Emx1_Mutant=10)"
OB-CR Glut,"Low cell count (Emx1_Control=7, Emx1_Mutant=8)"
OB-IMN GABA,"Low cell count (Emx1_Control=35, Emx1_Mutant=40)"
MB GABA,"Low cell count (Emx1_Control=13, Emx1_Mutant=15)"
CNU-LGE GABA,"Low cell count (Emx1_Control=15, Emx1_Mutant=37)"
LSX GABA,"Low cell count (Emx1_Control=11, Emx1_Mutant=18)"
CNU-HYa GABA,"Low cell count (Emx1_Control=9, Emx1_Mutant=18)"
P Glut,"Low cell count (Emx1_Control=2, Emx1_Mutant=0)"
CNU-HYa Glut,"Low cell count (Emx1_Control=9, Emx1_Mutant=21)"
MY GABA,"Low cell count (Emx1_Control=5, Emx1_Mutant=6)"
MB Glut,"Low cell count (Emx1_Control=6, Emx1_Mutant=9)"
P GABA,"Low cell count (Emx1_Control=5, Emx1_Mutant=5)"
MH-LH Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
CNU-MGE GABA,"Low cell count (Emx1_Control=4, Emx1_Mutant=11)"
CB Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=2)"
CB GABA,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
HY GABA,"Low cell count (Emx1_Control=3, Emx1_Mutant=4)"
TH Glut,"Low cell count (Emx1_Control=1, Emx1_Mutant=10)"
MB Dopa,"Low cell count (Emx1_Control=1, Emx1_Mutant=1)"
OEC,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
MB-HB Sero,"Low cell count (Emx1_Control=1, Emx1_Mutant=0)"
HY Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=4)"
Pineal Glut,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
