names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-IMN Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rfx3,79.40923,2.630129,0.0,0.0,0.9327666151468316,0.7718404374300982,2.880511,1.313047
Ppfia2,77.5101,1.8267077,0.0,0.0,0.9417825862957239,0.8295431009485936,3.0461993,1.8943303
Sema5a,77.50249,3.4068372,0.0,0.0,0.9106130860381246,0.35839443270784144,1.8615192,0.41362816
Glis3,76.54792,3.9242833,0.0,0.0,0.8678516228748068,0.24837413528851332,1.7568904,0.27444154
Dgkh,74.757256,2.5282078,0.0,0.0,0.9021123132405976,0.6353920715794706,2.1368446,0.83091193
Ahcyl2,71.50616,2.2791226,0.0,0.0,0.9052035033487893,0.7202684230147881,2.2964098,1.0443417
Prox1,71.45157,3.372223,0.0,0.0,0.8438948995363215,0.22202891346671638,1.2411976,0.21313253
Ppp3ca,70.915886,1.3322262,0.0,0.0,0.978619268418341,0.9335155958742388,3.3309693,2.4603946
Zfpm2,70.62938,2.5106354,0.0,0.0,0.9361154044307058,0.6304212750093202,2.4756398,1.0684408
Zbtb20,70.3813,2.2520368,0.0,0.0,0.9639361154044307,0.8521188020380266,3.5669012,2.1069286
Stxbp6,69.56739,2.9512079,0.0,0.0,0.8771251931993818,0.39782941883103434,1.7405246,0.47483745
Ccdc85a,69.411865,2.1216247,0.0,0.0,0.899021123132406,0.6590033552876848,2.0656137,0.9490583
Trpm3,69.16447,2.8437147,0.0,0.0,0.9147346728490469,0.6491860320616378,2.8478806,1.1828939
Synpr,68.60282,2.6976008,0.0,0.0,0.9170530654301906,0.4855639782941883,2.015348,0.6943883
Plxna4,67.86793,1.8604012,0.0,0.0,0.9227202472952086,0.7165817488919266,2.2826574,1.2308879
Lrrtm4,66.66825,1.8909733,0.0,0.0,0.978619268418341,0.9106499316515472,4.1305165,2.8624203
Btbd9,66.20085,1.7486094,0.0,0.0,0.9059763008758372,0.7338138436684478,2.0350184,1.0918118
Cdh9,65.186844,2.534632,0.0,0.0,0.884853168469861,0.4783977465722215,1.8115752,0.6332084
Trpc6,65.1401,3.2450507,0.0,0.0,0.7897990726429676,0.251439459840106,1.2529314,0.2340801
Adarb2,64.870895,2.783689,0.0,0.0,0.9070066975785678,0.529224141502009,2.3738556,0.8813884
Slc4a4,64.67975,2.6327856,0.0,0.0,0.878413189077795,0.4469988815707717,1.8102347,0.6011417
Prkce,64.27425,1.3522967,0.0,0.0,0.9456465739309634,0.8172818027422227,2.5430863,1.7209605
Dab1,64.092155,1.4722162,0.0,0.0,0.9515713549716641,0.8648771799014126,3.4287026,2.4641845
Ryr2,63.63128,1.4873257,0.0,0.0,0.9304482225656878,0.7831489996271903,2.6830637,1.7683879
Jph1,63.550774,2.1939113,0.0,0.0,0.8596084492529624,0.5276086326167102,1.4379157,0.53179735
Auts2,62.599686,1.1683187,0.0,0.0,0.9585265327150954,0.8959860817696036,3.3448336,2.5780764
C1ql3,62.449047,2.3662875,0.0,0.0,0.8730036063884595,0.4491528934178369,1.3991987,0.46493298
Pip5k1b,62.00716,2.1440148,0.0,0.0,0.8637300360638845,0.5486102481255954,1.6361482,0.6604281
Il1rap,61.967133,2.0858145,0.0,0.0,0.8704276146316332,0.6022534277784681,1.7862889,0.7747753
Tafa2,61.69851,2.0830073,0.0,0.0,0.9337970118495621,0.694710243983265,2.6211085,1.3886611
Tmem108,60.77539,1.961263,0.0,0.0,0.8938691396187533,0.5931817240379438,1.8113005,0.8391614
Thsd7a,60.742046,2.200108,0.0,0.0,0.889747552807831,0.528229982187979,1.7446139,0.70703876
Sphkap,60.712147,1.8731805,0.0,0.0,0.8972179289026275,0.6240420860776272,1.8444592,0.89750564
Epha7,60.62342,1.9305351,0.0,0.0,0.9134466769706336,0.6745370945694047,2.19713,1.1308975
Prkd1,59.22069,2.2448642,0.0,0.0,0.8433797011849562,0.45163829170291203,1.3925874,0.49362797
Maml2,58.970985,2.3154926,0.0,0.0,0.8807315816589387,0.4862681744749596,1.7646813,0.6791842
Gm20754,58.87416,1.7942791,0.0,0.0,0.9240082431736218,0.7150490866161302,2.5132082,1.4517998
Chst9,58.81539,2.8336716,0.0,0.0,0.7498712004121587,0.2662275796363034,1.0975909,0.24695474
Tiam1,58.57876,1.8474438,0.0,0.0,0.8650180319422978,0.559835963713185,1.4108034,0.6212405
Shisa9,58.367157,1.8913661,0.0,0.0,0.8928387429160227,0.6255747483534236,1.9549494,0.9686717
Grm1,58.185463,1.7230958,0.0,0.0,0.9034003091190108,0.6525413197464893,1.9952116,1.0731368
Galnt17,57.40081,1.7355913,0.0,0.0,0.9162802679031428,0.6852657304999793,2.158094,1.1934865
Cacna1c,57.385586,1.4253947,0.0,0.0,0.9247810407006698,0.7601590654902448,2.3656886,1.5246173
Itga8,57.327602,1.9968545,0.0,0.0,0.8498196805770222,0.4928544799304089,1.4346182,0.58848464
Kcnj6,56.573727,1.7103465,0.0,0.0,0.8645028335909325,0.5934716871712025,1.4942306,0.7207987
Lyst,56.559414,1.7373661,0.0,0.0,0.8498196805770222,0.5971169379893128,1.3526462,0.6206046
Mctp1,56.477436,1.6438065,0.0,0.0,0.9188562596599691,0.7133093078165776,2.2815888,1.338577
Erc2,56.14278,1.2645595,0.0,0.0,0.9513137557959814,0.8297916407771012,2.9971943,2.1883492
Slit3,56.11428,1.7086124,0.0,0.0,0.9234930448222566,0.6932604283169711,2.5213208,1.5044436
Vav3,55.502384,2.2906368,0.0,0.0,0.7640391550747038,0.3380555900749762,0.9574443,0.28370726
