names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CB GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Ywhaz,3.2566624,3.0906925,0.0011273048228134836,0.9994081788012787,1.0,0.722616795745744,2.6003861,0.9016492
Hsp90ab1,3.0161228,3.3960438,0.0025602953306742404,0.9994081788012787,1.0,0.8089510689175202,3.192281,1.1686046
Camk1d,2.9145665,2.0368805,0.0035618288087035915,0.9994081788012787,1.0,0.95356722224205,3.6601512,2.3251095
Cntn1,2.6960938,1.7673147,0.007015790733730696,0.9994081788012787,1.0,0.8287590563546166,2.8638453,1.7673635
Spcs3,2.4233196,5.702531,0.015379386637566404,0.9994081788012787,0.75,0.1915129019593847,1.9601617,0.11077795
Foxp2,2.3830805,4.900552,0.01716844477620106,0.9994081788012787,0.75,0.2020414718583818,2.1211073,0.21974303
Cox5a,2.2553778,4.4936624,0.02410962253615281,0.9994081788012787,0.75,0.33659302616081943,2.178836,0.2984965
Rps28,2.2397704,4.432592,0.02510583008617232,0.9994081788012787,0.75,0.32410150255183984,2.1673832,0.30616793
Nt5dc3,2.2233286,3.9889636,0.02619365178637227,0.9994081788012787,0.75,0.40347621257004174,1.905946,0.307932
mt-Nd2,2.1548414,4.0726657,0.031174244026817313,0.9994081788012787,0.75,0.43695349584210713,2.441771,0.48465812
Lingo1,2.105516,3.4330184,0.0352464274576432,0.9994081788012787,0.75,0.5166851065348513,2.015395,0.4713585
mt-Co1,2.0601153,4.0304694,0.03938751710269885,0.9994081788012787,0.75,0.5142224918805096,2.6827009,0.60635597
Map7d2,2.0466404,3.0658104,0.04069340315171444,0.9994081788012787,0.75,0.586280738070595,2.015395,0.5747648
Tmx4,2.0288386,3.2936802,0.04247472118925916,0.9994081788012787,0.75,0.6011278061315536,2.1807861,0.5882619
Clock,2.0225956,2.7427247,0.04311484295289653,0.9994081788012787,0.75,0.6296084799600271,1.9601617,0.64785063
mt-Co3,1.9686652,3.6841905,0.048991547913222966,0.9994081788012787,0.75,0.6075877083407688,2.7906747,0.7837354
Cyfip2,1.9666872,2.8445098,0.049219277634144194,0.9994081788012787,0.75,0.6981690995395982,2.3836122,0.8631148
Cntnap5c,1.9270042,2.3672419,0.053979097729747176,0.9994081788012787,0.75,0.5071915485920269,1.9196556,0.7550612
Arhgap32,1.9158473,2.1532967,0.05538453565159283,0.9994081788012787,0.75,0.7252578607373568,2.1251004,0.9774289
Pcdh17,1.9000236,2.1272678,0.05743002882430388,0.9994081788012787,0.75,0.6463114315286056,1.905946,0.8374966
Samd12,1.8823146,1.3165677,0.05979331884857243,0.9994081788012787,0.75,0.7497769370784111,2.1211073,1.372971
Mllt3,1.8722702,2.0654314,0.061169232527722286,0.9994081788012787,0.75,0.7316106927442093,2.294106,1.1410527
Pde4dip,1.8550248,1.3697662,0.06359268744019031,0.9994081788012787,0.75,0.7504907384274956,1.905946,1.1680151
Prrc2c,1.8527687,2.1034815,0.06391552337320965,0.9994081788012787,0.75,0.7710482172811307,2.1807861,1.0393697
Canx,1.8485346,2.5099766,0.06452504708233203,0.9994081788012787,0.75,0.652807023805275,1.9196556,0.7038427
Atrx,1.746113,1.4132634,0.08079133051472294,0.9994081788012787,0.75,0.8035261786644777,1.9601617,1.1910394
Hsp90aa1,1.7415698,2.7207527,0.08158375231325266,0.9994081788012787,0.75,0.7952817730825511,2.6766732,1.1162705
Nrgn,1.7240771,2.3733492,0.08469391981868055,0.9994081788012787,0.75,0.7346443484778187,2.3437748,1.0360743
Hspa8,1.704452,2.557241,0.08829667963378364,0.9994081788012787,0.75,0.6711160284092937,2.1810927,0.8478947
Celf4,1.6835288,1.0051504,0.09227277074144213,0.9994081788012787,0.75,0.7913201755951319,2.178836,1.5900625
Rtn3,1.6746898,1.0369146,0.09399512017381868,0.9994081788012787,0.75,0.8651986152253828,2.2318304,1.6200612
Rplp1,1.6699921,2.206794,0.09492093193717549,0.9994081788012787,0.75,0.6533423748170885,1.9196556,0.8155408
Pak5,1.666747,1.4255052,0.09556472897903497,0.9994081788012787,0.75,0.7399264784610443,1.9601617,1.1851392
Clstn2,1.6344813,1.313572,0.10215781510217403,0.9994081788012787,0.75,0.7506334986973126,2.3836122,1.6015023
Msra,1.6331524,1.0543876,0.10243694359840341,0.9994081788012787,0.75,0.7401406188657697,1.9601617,1.3705144
Ntm,1.624128,1.491141,0.10434850525544036,0.9994081788012787,1.0,0.8143759591705628,2.9262705,1.9853252
Atp8a1,1.6093241,1.0089155,0.1075454940612352,0.9994081788012787,0.75,0.8148399300474678,1.9601617,1.3941249
Calm1,1.6010413,2.1585531,0.10936776090871021,0.9994081788012787,0.75,0.8366108711945466,2.6111197,1.3416477
Dsp,1.5544355,5.1887245,0.12008057492790246,0.9994081788012787,0.5,0.10003925907419965,1.320955,0.072616115
Septin7,1.499516,1.5144701,0.13373982904772896,0.9994081788012787,0.75,0.7645883150719155,1.905946,1.0999984
Grid1,1.4963018,0.75473976,0.13457503368041632,0.9994081788012787,0.75,0.7826831792712088,1.9601617,1.5294166
Cmss1,1.494942,1.8625995,0.13492960098966583,0.9994081788012787,0.75,0.8409650594239623,2.4652247,1.3763645
