Name,Term,ES,nes,NOM p-val,fdr,FWER p-val,Tag %,Gene %,Lead_genes,Gene_Set,Direction,abs_nes
prerank,Autophagy R-HSA-9612973,-0.753411412419246,-1.641710259513382,0.0,0.006105205510556858,0.135,37/115,13.39%,Eef1a1;Hsp90aa1;Hsp90ab1;Ubb;Rps27a;Hspa8;Dynll1;Dynll2;Gabarapl1;Sqstm1;Gabarapl2;Tomm20;Vdac1;Pink1;Tomm7;Ube2n;Rraga;Tomm6;Ube2v1;Lamtor3;Gabarap;Tomm22;Uba52;Chmp2a;Tomm5;Map1lc3b;Chmp4b;Lamtor2;Vcp;Ubc;Park7;Vps28;Atg12;Csnk2b;Map1lc3a;Mterf3;Rragd,Reactome_2022,Down,1.641710259513382
prerank,Selective Autophagy R-HSA-9663891,-0.7954877463426229,-1.623690008161048,0.0,0.008489494484967407,0.202,25/54,12.92%,Hsp90aa1;Ubb;Rps27a;Hspa8;Dynll1;Dynll2;Sqstm1;Tomm20;Vdac1;Pink1;Tomm7;Ube2n;Tomm6;Ube2v1;Tomm22;Uba52;Tomm5;Map1lc3b;Vcp;Ubc;Park7;Atg12;Csnk2b;Map1lc3a;Mterf3,Reactome_2022,Down,1.623690008161048
prerank,Macroautophagy R-HSA-1632852,-0.7459847057673765,-1.609967364199784,0.0,0.01123081333817838,0.271,34/103,13.39%,Hsp90aa1;Ubb;Rps27a;Hspa8;Dynll1;Dynll2;Gabarapl1;Sqstm1;Gabarapl2;Tomm20;Vdac1;Pink1;Tomm7;Ube2n;Rraga;Tomm6;Ube2v1;Lamtor3;Gabarap;Tomm22;Uba52;Chmp2a;Tomm5;Map1lc3b;Chmp4b;Lamtor2;Vcp;Ubc;Park7;Atg12;Csnk2b;Map1lc3a;Mterf3;Rragd,Reactome_2022,Down,1.609967364199784
prerank,Necroptosis,-0.7475226742395286,-1.574681332826363,0.0,0.0121671739967111,0.183,24/73,13.15%,Fth1;Hsp90aa1;Hsp90ab1;Slc25a4;Ppia;Hmgb1;Camk2b;Sqstm1;Slc25a5;Vdac1;Glul;Ftl1;Dnm1l;Chmp2a;Vdac2;Chmp4b;Bax;Spata2l;Camk2a;Ifngr2;Stat3;Cyld;Vdac3;Spata2,KEGG_2019_Mouse,Down,1.574681332826363
prerank,Ferroptosis,-0.776963345986616,-1.533370398459352,0.006888633754305396,0.02306930303348378,0.357,14/34,14.41%,Fth1;Prnp;Acsl3;Pcbp1;Gpx4;Ftl1;Map1lc3b;Pcbp2;Vdac2;Trf;Map1lc3a;Vdac3;Tfrc;Gclm,KEGG_2019_Mouse,Down,1.533370398459352
prerank,Late Endosomal Microautophagy R-HSA-9615710,-0.7994684963491577,-1.54380533813806,0.003550295857988166,0.03093996294542218,0.746,9/24,10.27%,Ubb;Rps27a;Hspa8;Uba52;Chmp2a;Chmp4b;Ubc;Park7;Vps28,Reactome_2022,Down,1.54380533813806
prerank,Intrinsic Pathway For Apoptosis R-HSA-109606,-0.7866842874529243,-1.54482932091214,0.0,0.03099512017802203,0.742,14/40,6.68%,Ywhah;Ppp3r1;Ywhab;Dynll1;Dynll2;Ywhaz;Ywhag;Mapk1;Ywhae;Nmt1;Cycs;Ywhaq;Akt3;Mapk3,Reactome_2022,Down,1.54482932091214
prerank,Regulation Of Apoptosis R-HSA-169911,-0.7340061121875107,-1.50876995934935,0.002254791431792559,0.04022714309799941,0.913,31/48,20.64%,Ubb;Rps27a;Psma7;Sem1;Psmc2;Psmb5;Psma4;Psmc6;Psmc5;Uba52;Psmc3;Psma1;Ubc;Psmd2;Psmc1;Psme3;Psmb3;Psmb1;Pkn2;Psme2;Psmd6;Psma3;Psma5;Psmb4;Psmd12;Psmc4;Psma2;Psmd14;Psme1;Psme4;Psmd4,Reactome_2022,Down,1.50876995934935
prerank,Regulation Of Necroptotic Cell Death R-HSA-5675482,-0.8121835690741065,-1.499015613919821,0.01431980906921241,0.04176433551503054,0.935,6/19,9.51%,Hsp90aa1;Ubb;Rps27a;Sdcbp;Uba52;Ubc,Reactome_2022,Down,1.499015613919821
prerank,Apoptosis,-0.6798242115989437,-1.460988328443952,0.0,0.04585508997540241,0.196,19/87,8.61%,Plppr4;Ppp3r1;Dnaja1;Jun;Sqstm1;Gpx4;Rhob;Eno2;Clu;Cdkn1b;Dnm1l;Egr3;Sod1;Bnip3l;Btg2;Gstm1;Vdac2;Pdcd4;Bax,MSigDB_Hallmark_2020,Down,1.460988328443952
prerank,Programmed Cell Death R-HSA-5357801,-0.6624447254180009,-1.468400557923725,0.001031991744066047,0.04986339422243057,0.988,48/150,14.15%,Hsp90aa1;Ubb;Ywhah;Ppp3r1;Ywhab;Rps27a;Hmgb1;Dynll1;Dynll2;Ywhaz;Ywhag;Psma7;Mapk1;Sem1;Ywhae;Ndufa2;Nmt1;Sdcbp;Maged1;Psmc2;Cycs;Psmb5;Ywhaq;Dnm1l;Psma4;Akt3;Psmc6;Appl1;Psmc5;Uba52;Chmp2a;Mapk3;Psmc3;Chmp4b;Psma1;Bax;Ubc;Psmd2;Psmc1;Psme3;Stat3;Gsdme;Psmb3;Psmb1;Ppp1r13b;Pkn2;Psme2;Cdc37,Reactome_2022,Down,1.468400557923725
prerank,Apoptosis R-HSA-109581,-0.6604164273819267,-1.448966332940028,0.00103950103950104,0.05504697556019256,0.997,42/131,13.27%,Ubb;Ywhah;Ppp3r1;Ywhab;Rps27a;Hmgb1;Dynll1;Dynll2;Ywhaz;Ywhag;Psma7;Mapk1;Sem1;Ywhae;Ndufa2;Nmt1;Maged1;Psmc2;Cycs;Psmb5;Ywhaq;Dnm1l;Psma4;Akt3;Psmc6;Appl1;Psmc5;Uba52;Mapk3;Psmc3;Psma1;Bax;Ubc;Psmd2;Psmc1;Psme3;Stat3;Gsdme;Psmb3;Psmb1;Ppp1r13b;Pkn2,Reactome_2022,Down,1.448966332940028
prerank,Defective Pyroptosis R-HSA-9710421,-0.7712017893043385,-1.436972377369456,0.05477855477855478,0.05885250968062061,0.998,6/17,14.10%,H2az1;Rbbp7;H2aj;Gsdme;H2bc4;H2ax,Reactome_2022,Down,1.436972377369456
prerank,Diseases Of Programmed Cell Death R-HSA-9645723,-0.7054604439540602,-1.397978479178334,0.03142536475869809,0.07989421150322548,1.0,12/37,16.36%,Jun;Cdk5r1;H2az1;Ywhae;Foxo3;Rbbp7;H2aj;Prdx1;Gsdme;H2bc4;H2ax;Prdx2,Reactome_2022,Down,1.397978479178334
prerank,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,-0.7351034373207291,-1.351876455023064,0.06542056074766354,0.1125208220983434,1.0,5/18,9.09%,Jun;Cdk5r1;Ywhae;Foxo3;Prdx1,Reactome_2022,Down,1.351876455023064
prerank,"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",-0.6356182122644047,-1.294031879458647,0.06900452488687783,0.1731107252123227,1.0,10/55,9.51%,Ubb;Rps27a;Bex3;Sqstm1;Ywhae;Maged1;Aph1a;Uba52;Psenen;Ubc,Reactome_2022,Down,1.294031879458647
prerank,Positive Regulation Of Neuron Apoptotic Process (GO:0043525),-0.8265287557796008,-1.483353409807054,0.01189060642092747,0.1831670703864602,1.0,7/15,12.26%,Epha7;Prnp;Cdk5r1;Foxo3;Bax;Tgfb2;Fbxw7,GO_Biological_Process_2023,Down,1.483353409807054
prerank,Apoptosis,-0.6011755057760702,-1.291408728346535,0.0616365568544102,0.1997821421313222,1.0,29/93,22.89%,Actb;Tuba4a;Actg1;Tuba1a;Jun;Mapk1;Cycs;Ctsb;Akt3;Mapk3;Kras;Bax;Hrk;Tuba1b;Itpr1;Ctsl;Pik3r1;Ctso;Nfkbia;Hras;Ctsz;Parp2;Htra2;Diablo;Mapk9;Parp1;Akt1;Bad;Birc2,KEGG_2019_Mouse,Down,1.291408728346535
prerank,Apoptotic Factor-Mediated Response R-HSA-111471,-0.6900914129198804,-1.252320327947014,0.1838671411625148,0.2254986028603422,1.0,8/15,22.04%,Mapk1;Cycs;Mapk3;Bax;Gsdme;Diablo;Septin4;C1qbp,Reactome_2022,Down,1.252320327947014
prerank,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),-0.7932221127378092,-1.449212098393643,0.01405152224824356,0.228525996993167,1.0,7/22,5.46%,Ubb;Rack1;Rps7;Rps3;Eif5a;Dnm1l;Sod1,GO_Biological_Process_2023,Down,1.449212098393643
prerank,Regulation Of Autophagy (GO:0010506),-0.6501658957291332,-1.438659155737253,0.00102880658436214,0.2547268055137171,1.0,52/186,17.72%,Eef1a1;Gapdh;Atp6v0c;Hmgb1;Atp6v1d;Atp6v1a;Psap;Cdk5r1;Atp6v1g2;Sqstm1;Prkd1;Tmem59;Vdac1;Pink1;Rraga;Atp6v1e1;Eef1a2;Plk2;Vps29;Dnm1l;Ubqln2;Atp6v0e2;Foxo3;Eif4g2;Uchl1;Vps35;Svip;Atp6v1g1;Gsk3b;Trim23;Pip4k2a;Trim32;Tbk1;Mtdh;Atp6v1b2;Stat3;Nedd4;Fbxw7;Itpr1;Rragd;Tpcn1;Usp36;Rab39b;Usp20;Foxk1;Atf6;Mtmr9;Keap1;Prkaca;Sh3glb1;Ulk2;Pik3c2a,GO_Biological_Process_2023,Down,1.438659155737253
prerank,Regulation Of Macroautophagy (GO:0016241),-0.6708153637334152,-1.421107277043239,0.006528835690968444,0.2716924545477965,1.0,19/84,11.88%,Gapdh;Atp6v0c;Atp6v1d;Atp6v1a;Cdk5r1;Atp6v1g2;Pink1;Atp6v1e1;Ubqln2;Atp6v0e2;Bnip3l;Uchl1;Vps35;Atp6v1g1;Tbk1;Scoc;Atg12;Atp6v1b2;Nedd4,GO_Biological_Process_2023,Down,1.421107277043239
