names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Mature GC (for_DEGs),mean_expr_Rest (for_DEGs)
Ppfia2,72.25958,2.3244069,0.0,0.0,1.0,0.8322647922138112,3.4294274,1.9404051
Rfx3,71.11724,3.0928977,0.0,0.0,1.0,0.7771126216591997,3.2802343,1.3858821
Dgkh,69.06667,2.9801493,0.0,0.0,0.993439550140581,0.6457979298625058,2.5089276,0.8883136
Glis3,68.067345,4.1859016,0.0,0.0,0.9751640112464854,0.28132241619032905,2.1348517,0.34334007
Ahcyl2,66.813705,2.7687924,0.0,0.0,0.993439550140581,0.7253978062722076,2.6809473,1.0970552
Sema5a,66.403275,3.5585995,0.0,0.0,0.9882849109653233,0.3892321952726711,2.1320152,0.4890344
Ccdc85a,66.22637,2.59283,0.0,0.0,0.9953139643861293,0.6672331221999073,2.4233398,0.99495107
Ppp3ca,64.37818,1.6317927,0.0,0.0,1.0,0.934806117719759,3.5730903,2.4992554
Lrrtm4,64.28556,2.3100953,0.0,0.0,1.0,0.9134481693187085,4.4766264,2.9194446
Ryr2,63.978615,1.9649454,0.0,0.0,0.9990627928772259,0.7873860651938823,3.0322423,1.8012704
Trpm3,63.8159,3.3433504,0.0,0.0,0.9948453608247423,0.6604742777691951,3.2814968,1.2595385
Stxbp6,63.513546,3.3268363,0.0,0.0,0.971883786316776,0.4223312219990731,2.0849898,0.53183925
Btbd9,63.421837,2.1827378,0.0,0.0,0.993439550140581,0.7381816777382976,2.351899,1.1293519
Zfpm2,63.022114,2.805655,0.0,0.0,1.0,0.6457206859261548,2.7638285,1.1395668
Plxna4,62.953094,2.2392213,0.0,0.0,0.9971883786316776,0.7242777691951182,2.5810924,1.2771544
Zbtb20,62.487663,2.5091643,0.0,0.0,1.0,0.8566352541325506,3.825832,2.1840184
Dab1,61.61569,1.8784668,0.0,0.0,1.0,0.8666383438900046,3.7436836,2.5030513
Prox1,61.33456,3.4402888,0.0,0.0,0.9320524835988754,0.2567202224625367,1.4564205,0.26477528
Prkce,60.98635,1.707008,0.0,0.0,0.9995313964386129,0.8214120191564962,2.8096356,1.7542946
Il1rap,60.689312,2.5549266,0.0,0.0,0.9821930646672915,0.6110767804727328,2.1278765,0.8148209
Cdh9,60.597942,2.9266865,0.0,0.0,0.978912839737582,0.4980302796230496,2.1389863,0.68570375
Synpr,60.554935,2.9809382,0.0,0.0,0.9864104967197751,0.5089216746485401,2.3011394,0.759936
Trpc6,60.181847,3.590847,0.0,0.0,0.9062792877225867,0.2781554147999382,1.5755968,0.27624282
Adarb2,59.87068,3.2281165,0.0,0.0,0.9981255857544518,0.5471574231422833,2.763606,0.9499193
Jph1,59.597588,2.5495343,0.0,0.0,0.9592314901593252,0.5417889695658891,1.706076,0.57092077
Pip5k1b,59.269737,2.544333,0.0,0.0,0.9700093720712277,0.5610613316854627,1.9360471,0.7015067
Tmem108,58.83701,2.3771386,0.0,0.0,0.9850046860356139,0.6059014367372161,2.1188433,0.87934613
Slc4a4,58.357574,2.946615,0.0,0.0,0.9709465791940018,0.46844585200061795,2.1024313,0.65861666
Auts2,58.251965,1.4852602,0.0,0.0,1.0,0.8966862351305422,3.590346,2.6093037
Tafa2,58.044247,2.4913492,0.0,0.0,0.9981255857544518,0.7054688706936505,2.9553761,1.444153
Grm1,57.87728,2.1614833,0.0,0.0,0.9910965323336457,0.662173644368917,2.3115659,1.1091902
Gm20754,57.657997,2.2327876,0.0,0.0,0.9995313964386129,0.7228487563726248,2.8491397,1.4956007
Tiam1,57.440426,2.2351825,0.0,0.0,0.9690721649484536,0.5717982388382512,1.6743633,0.65275115
Shisa9,57.342556,2.3381836,0.0,0.0,0.9873477038425492,0.6357562181368762,2.282503,1.0081459
Epha7,56.89578,2.3249073,0.0,0.0,0.9906279287722587,0.6842267881971266,2.5056522,1.1773214
Erc2,56.547005,1.6481332,0.0,0.0,1.0,0.8339255368453576,3.284614,2.2191203
Itga8,56.27495,2.40014,0.0,0.0,0.9615745079662605,0.5076857716669242,1.7151723,0.6224177
Sphkap,56.03602,2.1968424,0.0,0.0,0.9756326148078726,0.6359879499459292,2.098958,0.9404699
Thsd7a,55.65598,2.5105124,0.0,0.0,0.9737582005623243,0.5456897883516144,2.005853,0.75558066
Kcnj6,55.34976,2.0857143,0.0,0.0,0.9643861293345829,0.6034682527421598,1.7505449,0.7518051
Slit3,55.33862,2.1152415,0.0,0.0,0.9985941893158388,0.7025722230804882,2.8345976,1.5472152
Cacna1c,54.921124,1.7790586,0.0,0.0,0.9981255857544518,0.7651398115247953,2.6311405,1.5593389
Lyst,54.876923,2.1011708,0.0,0.0,0.9470477975632615,0.6060945465780936,1.5949477,0.6499832
Maml2,54.826843,2.6748757,0.0,0.0,0.9779756326148079,0.5048277460219373,2.05927,0.7281081
Prkd1,54.60075,2.5522854,0.0,0.0,0.9329896907216495,0.4706473041866214,1.6371768,0.53410107
Galnt17,54.48582,2.0978184,0.0,0.0,0.9939081537019682,0.6943843658272826,2.4374917,1.235444
C1ql3,54.336266,2.5432549,0.0,0.0,0.9358013120899719,0.47257840259539624,1.589514,0.5124049
Mctp1,53.929432,1.9956447,0.0,0.0,0.9967197750702905,0.7206859261547969,2.553962,1.3796364
Cracdl,53.8994,2.1037893,0.0,0.0,0.9512652296157451,0.5625675884443071,1.5857161,0.643599
Pitpnm2,53.582123,2.3257945,0.0,0.0,0.8912839737582006,0.4737370616406612,1.2255632,0.391994
Grin2a,53.280025,1.793983,0.0,0.0,0.9995313964386129,0.8207940676656883,3.3041325,2.1474028
Plekhg5,52.658165,2.2587445,0.0,0.0,0.8926897844423618,0.46809825428703844,1.2210457,0.40516692
Cacna1e,52.566196,1.7156109,0.0,0.0,0.9990627928772259,0.7545187702765332,2.6832206,1.639118
Tanc1,52.416008,2.1927848,0.0,0.0,0.9456419868791003,0.511161748802719,1.5542603,0.5967494
Kalrn,52.02054,1.5395234,0.0,0.0,1.0,0.8329599876409702,3.192698,2.200963
Camk2b,51.98652,1.8855698,0.0,0.0,0.9601686972820993,0.6537154333384829,1.7188102,0.80600494
Chst9,51.859566,3.035859,0.0,0.0,0.8303655107778819,0.2922138112158196,1.3140026,0.28651708
Dock10,51.843323,2.4472957,0.0,0.0,0.9957825679475164,0.5580101961995984,2.2552483,0.94212043
Adcy1,51.454514,2.057087,0.0,0.0,0.9306466729147141,0.5818785725320562,1.5858223,0.65915835
Nr3c2,51.242237,2.078303,0.0,0.0,0.9957825679475164,0.7556388073536228,2.7854073,1.5262268
Kcnd2,51.21569,1.5091444,0.0,0.0,1.0,0.9051058241928008,3.7905896,2.7853768
Clstn2,51.04381,1.931851,0.0,0.0,0.9962511715089035,0.7303027962304959,2.67468,1.5129846
Lrp1b,51.005547,1.4751366,0.0,0.0,1.0,0.9336088367063186,3.9947836,3.0045502
Htr4,50.842705,2.4626355,0.0,0.0,0.873008434864105,0.3842499613780318,1.2327886,0.36532283
Vav3,50.667683,2.5665445,0.0,0.0,0.8472352389878163,0.35991812142746793,1.1555566,0.31283063
Cdh8,50.187378,1.9505295,0.0,0.0,0.9878163074039362,0.664954426077553,2.2486,1.1608156
Mmp16,50.118977,1.6543484,0.0,0.0,0.9948453608247423,0.7700448014830836,2.499152,1.5149466
Cyp7b1,49.901905,2.2596622,0.0,0.0,0.8959700093720713,0.49181214274679436,1.4170766,0.502334
Nrg2,49.757824,2.1025205,0.0,0.0,0.8851921274601687,0.489919666306195,1.2490408,0.45685467
Iqgap2,49.12109,2.1140788,0.0,0.0,0.9568884723523898,0.5169550440290437,1.6892835,0.7030844
Slc7a14,49.035095,1.9563988,0.0,0.0,0.9147141518275539,0.5551521705546114,1.3965616,0.57866263
Cttnbp2,48.76122,1.5085636,0.0,0.0,0.9976569821930646,0.7995906071373398,2.6425529,1.7202991
Lingo2,48.749447,1.8757334,0.0,0.0,1.0,0.8730882125753129,3.7738934,2.5332365
Kif26b,48.66193,2.4232666,0.0,0.0,0.8280224929709465,0.3715047118801174,1.0696384,0.30519906
Rasal2,48.593983,1.5404619,0.0,0.0,0.9901593252108716,0.7842963077398424,2.3232079,1.4268634
Nsf,48.447186,1.427636,0.0,0.0,0.9915651358950328,0.7722848756372624,2.089444,1.2897983
Vps13c,48.31849,1.6766624,0.0,0.0,0.9404873477038426,0.6491194191255987,1.512168,0.744915
Ntrk3,48.306026,1.6253917,0.0,0.0,0.9948453608247423,0.7589989185848911,2.541198,1.5666476
Cadm2,48.26927,1.1535746,0.0,0.0,1.0,0.9598331530974819,4.187575,3.4064105
Slc35f3,48.08726,1.9191955,0.0,0.0,0.9358013120899719,0.5608682218445852,1.5332485,0.6732639
Bcl11b,48.021156,1.9865545,0.0,0.0,0.9137769447047798,0.5181523250424842,1.406436,0.57524145
Adamts17,47.892555,2.1244102,0.0,0.0,0.8776944704779757,0.4754364282403831,1.3264985,0.49151137
Cntnap5a,47.841537,2.1349702,0.0,0.0,0.9971883786316776,0.6803645913795767,2.59485,1.3407452
Kcnip4,47.77076,1.5958093,0.0,0.0,1.0,0.9486327823265873,4.702608,3.6146705
Ptk2b,47.624256,1.8285984,0.0,0.0,0.9390815370196813,0.574501776610536,1.5083578,0.6885445
Maml3,47.282646,2.0680494,0.0,0.0,0.9240862230552952,0.46817549822338944,1.4718765,0.5881633
Camk2a,47.094685,1.4944359,0.0,0.0,0.9920337394564198,0.7692337401513981,2.2968209,1.4288437
Mrtfb,47.08212,1.5304326,0.0,0.0,0.9611059044048734,0.6834543488336166,1.674337,0.9165896
Lgi1,47.04605,1.6539488,0.0,0.0,0.9517338331771321,0.6451027344353468,1.5713317,0.79374814
