gene_symbol,source_id,database
44M2.1,GO:0006396,GO (via UniProt)
A1CF,GO:0006396,GO (via UniProt)
A2BP1,GO:0000381,GO (via UniProt)
AAAS,R-HSA-159231,Reactome
AAR2,GO:0006396,GO (via UniProt)
AARS1,GO:0006396,GO (via UniProt)
ABT1,GO:0006396,GO (via UniProt)
ACIN1,GO:0050684,GO (via UniProt)
ADAD1,GO:0006396,GO (via UniProt)
ADAD2,GO:0006396,GO (via UniProt)
ADAR,GO:0006396,GO (via UniProt)
ADARB1,GO:0006396,GO (via UniProt)
ADARB2,GO:0006396,GO (via UniProt)
ADAT1,GO:0006396,GO (via UniProt)
ADAT2,GO:0006396,GO (via UniProt)
ADAT3,GO:0006396,GO (via UniProt)
AEN,GO:0006396,GO (via UniProt)
AFF2,GO:0043484,GO (via UniProt)
AGO1,GO:0006396,GO (via UniProt)
AGO2,GO:0006396,GO (via UniProt)
AGO3,GO:0006396,GO (via UniProt)
AGO4,GO:0006396,GO (via UniProt)
AHCYL1,GO:0050684,GO (via UniProt)
AHNAK,GO:0043484,GO (via UniProt)
AHNAK2,GO:0043484,GO (via UniProt)
AICDA,GO:0006396,GO (via UniProt)
AID,GO:0006396,GO (via UniProt)
AK6,GO:0006396,GO (via UniProt)
AKAP17A,GO:0043484,GO (via UniProt)
AKAP8L,GO:0006396,GO (via UniProt)
ALKBH1,GO:0006396,GO (via UniProt)
ALKBH5,GO:0050684,GO (via UniProt)
ALKBH8,GO:0006396,GO (via UniProt)
ALYREF,R-HSA-159231,Reactome
ANGEL2,GO:0006396,GO (via UniProt)
ANKRD16,GO:0006396,GO (via UniProt)
APOBEC1,GO:0006396,GO (via UniProt)
APOBEC2,GO:0006396,GO (via UniProt)
APOBEC4,GO:0006396,GO (via UniProt)
AQR,GO:0006396,GO (via UniProt)
ARB2A,GO:0000381,GO (via UniProt)
ARGLU1,GO:0000381,GO (via UniProt)
ARL6IP4,GO:0006396,GO (via UniProt)
ARMC7,GO:0006396,GO (via UniProt)
ARVCF,GO:0006396,GO (via UniProt)
ATP5MF-PTCD1,GO:0006396,GO (via UniProt)
ATXN1,GO:0006396,GO (via UniProt)
ATXN7,GO:0043484,GO (via UniProt)
ATXN7L3,GO:0043484,GO (via UniProt)
B3GNTL1,GO:0006396,GO (via UniProt)
BARD1,GO:0050684,GO (via UniProt)
BCAS2,GO:0000380,GO (via UniProt)
BCDIN3D,GO:0006396,GO (via UniProt)
BCLAF1,GO:0006396,GO (via UniProt)
BICD1,GO:0006396,GO (via UniProt)
BMS1,GO:0006396,GO (via UniProt)
BOP1,GO:0006396,GO (via UniProt)
BRDT,GO:0043484,GO (via UniProt)
BRIX1,GO:0006396,GO (via UniProt)
BRUNOL6,GO:0050684,GO (via UniProt)
BUD13,GO:0000245,GO (via UniProt)
BUD23,GO:2000232,GO (via UniProt)
BUD31,GO:0006396,GO (via UniProt)
BXDC2,GO:0006396,GO (via UniProt)
BYSL,GO:0006396,GO (via UniProt)
C14orf102,GO:0006396,GO (via UniProt)
C17orf85,GO:0006396,GO (via UniProt)
C1D,GO:0006396,GO (via UniProt)
C1QBP,GO:0050684,GO (via UniProt)
C1orf19,GO:0006396,GO (via UniProt)
C21orf57,GO:0006396,GO (via UniProt)
C21orf66,GO:0006396,GO (via UniProt)
C2orf3,GO:0006396,GO (via UniProt)
C2orf49,GO:0006396,GO (via UniProt)
C7orf64,GO:0006396,GO (via UniProt)
C9orf78,GO:0045292,GO (via UniProt)
CACTIN,GO:0045292,GO (via UniProt)
CASC3,R-HSA-159236,Reactome
CBLL1,GO:0006396,GO (via UniProt)
CCAR1,R-HSA-72203,Reactome
CCAR2,GO:0006396,GO (via UniProt)
CCDC12,R-HSA-72203,Reactome
CCDC55,GO:0000381,GO (via UniProt)
CCNB1,GO:0050685,GO (via UniProt)
CCNL1,GO:0043484,GO (via UniProt)
CCNL2,GO:0043484,GO (via UniProt)
CD2BP2,GO:0006396,GO (via UniProt)
CDC2L1,GO:0050684,GO (via UniProt)
CDC2L2,GO:0050684,GO (via UniProt)
CDC40,R-HSA-159236,Reactome
CDC5L,GO:0006396,GO (via UniProt)
CDC73,GO:0050685,GO (via UniProt)
CDK105,GO:0006396,GO (via UniProt)
CDK11A,GO:0050684,GO (via UniProt)
CDK11B,GO:0050684,GO (via UniProt)
CDK12,GO:0006396,GO (via UniProt)
CDK13,GO:0000380,GO (via UniProt)
CDK5RAP1,GO:0006396,GO (via UniProt)
CDK9,GO:0050684,GO (via UniProt)
CDKAL1,GO:0006396,GO (via UniProt)
CDKN2A,GO:0006396,GO (via UniProt)
CELF1,GO:0000381,GO (via UniProt)
CELF2,GO:0000381,GO (via UniProt)
CELF3,GO:0033120,GO (via UniProt)
CELF4,GO:0033120,GO (via UniProt)
CELF5,GO:0000381,GO (via UniProt)
CELF6,GO:0000381,GO (via UniProt)
CENATAC,GO:0006396,GO (via UniProt)
CEP97,GO:0006396,GO (via UniProt)
CHD7,GO:0006396,GO (via UniProt)
CHD8,GO:0006396,GO (via UniProt)
CHERP,GO:0006396,GO (via UniProt)
CHTOP,R-HSA-159236,Reactome
CIR1,GO:0006396,GO (via UniProt)
CIRBP,GO:0033120,GO (via UniProt)
CLASRP,GO:0006396,GO (via UniProt)
CLK1,GO:0043484,GO (via UniProt)
CLK2,GO:0043484,GO (via UniProt)
CLK3,GO:0043484,GO (via UniProt)
CLK4,GO:0043484,GO (via UniProt)
CLNS1A,GO:0033120,GO (via UniProt)
CLP1,R-HSA-77595,Reactome
CMTR1,GO:0006396,GO (via UniProt)
CMTR2,GO:0006396,GO (via UniProt)
CNOT6L,GO:0006396,GO (via UniProt)
COIL,GO:0006396,GO (via UniProt)
CPEB1,GO:0050684,GO (via UniProt)
CPSF1,R-HSA-159231,Reactome
CPSF2,R-HSA-159231,Reactome
CPSF3,R-HSA-159231,Reactome
CPSF4,R-HSA-159231,Reactome
CPSF4L,GO:0006396,GO (via UniProt)
CPSF6,R-HSA-77595,Reactome
CPSF7,R-HSA-77595,Reactome
CRIPT,GO:0006396,GO (via UniProt)
CRNKL1,GO:0000245,GO (via UniProt)
CROP,GO:0006376,GO (via UniProt)
CSDC2,GO:0006396,GO (via UniProt)
CSTF1,R-HSA-77595,Reactome
CSTF2,R-HSA-77595,Reactome
CSTF2T,R-HSA-77595,Reactome
CSTF3,R-HSA-77595,Reactome
CTNNBL1,GO:0006396,GO (via UniProt)
CTU1,GO:0006396,GO (via UniProt)
CTU2,GO:0006396,GO (via UniProt)
CWC15,GO:0045292,GO (via UniProt)
CWC22,GO:0050684,GO (via UniProt)
CWC25,GO:0006396,GO (via UniProt)
CWC27,GO:0006396,GO (via UniProt)
CWF19L1,GO:0006396,GO (via UniProt)
CWF19L2,GO:0006396,GO (via UniProt)
DALRD3,GO:0006396,GO (via UniProt)
DAZAP1,GO:0033120,GO (via UniProt)
DBR1,GO:0006396,GO (via UniProt)
DCAF13,GO:0006396,GO (via UniProt)
DCPS,GO:0045292,GO (via UniProt)
DDX1,GO:0000245,GO (via UniProt)
DDX10,GO:0006396,GO (via UniProt)
DDX17,GO:0000381,GO (via UniProt)
DDX18,GO:0006396,GO (via UniProt)
