Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,-0.11148076852571928,367,-0.0911877962606293,486,-0.10787174805201388,402,-0.09590368754044071,778
CA2,-0.05671796161609274,23,-0.03872759388404398,40,-0.052233255346613126,21,-0.01624959051684258,33
CA3,0.005634717137799464,217,0.013148099506641694,336,0.026713738515907245,209,0.0053834931862231815,336
CTX,-0.05749797133201029,595,-0.057406567077186624,718,-0.04628916281394917,873,-0.06681447438210744,1507
Cajal-Retzius,0.044699976553245896,2,-0.13315341697446464,4,-0.07907554595495662,23,-0.047703966024859996,36
Car3,-0.009989372538103598,21,-0.06800867054092093,10,0.03022025813340809,23,-0.03543464310038814,19
ENT CTX,-0.024220611867402354,611,-0.06438606516974005,1152,-0.04191248284335191,727,-0.0545465144003498,1520
Immature GC,-0.031076587305190334,79,-0.01590133272056632,32,-0.028858877996959256,275,-0.03579871856741479,117
Mature GC,-0.056186654261864546,477,-0.03558550933828569,268,-0.04470708404440888,849,-0.044150402756602564,540
PPP,-0.17777300996093784,47,-0.17743051576066685,308,-0.13999159093381394,84,-0.1448318916350843,360
ProS,-0.07464855353945217,65,-0.08321026743311238,122,-0.07957708910083633,60,-0.09017693048400297,119
Subiculum,-0.07683761317595028,47,-0.06522962729403001,100,-0.08344760371783305,106,-0.09122202200955434,168
