Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,-0.10959412843413334,769,-0.09409045719076638,1264
CA2,-0.05457753362384112,44,-0.028566304690651564,73
CA3,0.015976302743490836,426,0.009265796346432438,672
CTX,-0.050832242560711,1468,-0.06377857440685658,2225
Cajal-Retzius,-0.06917350415430042,25,-0.056248911119820465,40
Car3,0.011029298040186606,44,-0.04666706635574427,29
ENT CTX,-0.03383345955014923,1338,-0.05878871592966775,2672
Immature GC,-0.029353790526197267,354,-0.031525454492923835,149
Mature GC,-0.04883661269729453,1326,-0.04130957177131925,808
PPP,-0.15354675653896527,131,-0.15986239497442475,668
ProS,-0.07701425060891655,125,-0.08665023798521189,241
Subiculum,-0.08141708374745076,153,-0.08152336726495571,268
