Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.011849940627262948,367,0.0026318321584510545,486,0.012652663708787518,402,0.021584906556952926,778
CA2,-0.057034391182056374,23,-0.02742551401588652,40,-0.042899272214798695,21,-0.0025501297138355397,33
CA3,0.1334773016708421,217,0.12346355730973224,336,0.11231367407803328,209,0.14067780911291716,336
CTX,0.10298091286704653,595,0.09670740189750804,718,0.09366830973114179,873,0.11593496833167174,1507
Cajal-Retzius,0.06515850067138673,2,-0.004967551761203323,4,0.10164420321367788,23,0.0888500760514059,36
Car3,0.1675119517089198,21,0.15542278406355114,10,0.12363601836605352,23,0.10897785906206096,19
ENT CTX,0.12425883013024117,611,0.080233707834886,1152,0.0992473826700989,727,0.10852619768260864,1520
Immature GC,0.04174269584328481,79,0.05859754455586273,32,0.045959448482051045,275,0.1011987006403895,117
Mature GC,-0.010845023767669913,477,-0.022502138245955823,268,-0.014522279499089153,849,0.006447772386142746,540
PPP,0.031530341352413165,47,-0.00929731463199054,308,-0.017919676726457303,84,0.017134365641776426,360
ProS,0.08003321002894995,65,0.06647064148945452,122,0.07687524039657029,60,0.1133524572036736,119
Subiculum,0.03314639041891616,47,0.038662973056899176,100,0.014220373911677667,106,-0.005843038737931577,168
