Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.4194575111062189,367,0.43068029372181776,486,0.45876021565240105,402,0.4536976496359148,778
CA2,0.4397703318573312,23,0.44459903795220834,40,0.4547331660685775,21,0.4574434963126058,33
CA3,0.48747539114334804,217,0.48678619125985056,336,0.5217798774497151,209,0.5003994385571919,336
CTX,0.444917282099437,595,0.45587608832284576,718,0.4661092429519031,873,0.4655522391909834,1507
Cajal-Retzius,0.24551214503406438,2,0.2502928370975881,4,0.30626701391410754,23,0.2663205555111621,36
Car3,0.3528772069427565,21,0.39103762969206807,10,0.40958045645611724,23,0.35701921590663455,19
ENT CTX,0.36138721270336066,611,0.37572401193294486,1152,0.3914723858655334,727,0.383875146208839,1520
Immature GC,0.4275503139079153,79,0.41987518609987484,32,0.4501624583818221,275,0.4568676468818057,117
Mature GC,0.4199068689356448,477,0.43136442165448863,268,0.4610893792428351,849,0.45210572487289097,540
PPP,0.38191113753747086,47,0.38731009766643293,308,0.4193074355016584,84,0.391378201551123,360
ProS,0.39498352453111174,65,0.3966507148472651,122,0.42416447121051637,60,0.41590411206107997,119
Subiculum,0.3237015648732327,47,0.2990059521619011,100,0.370812472113218,106,0.35480836215878325,168
