Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.12124415930528995,367,0.12717717531489614,486,0.12464907479240088,402,0.13285704396955572,778
CA2,0.08697489726517757,23,0.09837636495207042,40,0.1100700756787502,21,0.11778538964859774,33
CA3,0.147832100253833,217,0.14767859120465957,336,0.1424728276541533,209,0.15272339194338608,336
CTX,0.13203334385163684,595,0.13077447023052355,718,0.13248648848505262,873,0.13450887088688734,1507
Cajal-Retzius,0.19326404272747094,2,0.14109009418493518,4,0.09567692881270107,23,0.12952312085461262,36
Car3,0.14909243502652136,21,0.15893290860160697,10,0.1393974589786962,23,0.13942950702986553,19
ENT CTX,0.12053670112377105,611,0.11370859869966507,1152,0.11869583964393189,727,0.12035206540909711,1520
Immature GC,0.1516275911672843,79,0.1583337427723819,32,0.14831238287451803,275,0.1410708626709524,117
Mature GC,0.15335785633142077,477,0.15118977427037053,268,0.15471624728135303,849,0.15603768176082514,540
PPP,0.0806742225734917,47,0.09317631211946847,308,0.08674819307986131,84,0.0952481795189196,360
ProS,0.03985765619660877,65,0.05456640236573489,122,0.05772740497889401,60,0.061805110706536485,119
Subiculum,0.1264093331226476,47,0.11300121252113537,100,0.14696393151803255,106,0.14685366259776808,168
