Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.22267490444901805,367,0.2543824281519843,486,0.26233570131529194,402,0.2647940442795899,778
CA2,0.34456388768551777,23,0.3885647078015696,40,0.39464132194172175,21,0.41103200421624486,33
CA3,0.38803697335996945,217,0.4032833915238576,336,0.4400533250684574,209,0.39928246320121225,336
CTX,0.34219591155244883,595,0.3491527341152382,718,0.37130843150421294,873,0.3468718908069322,1507
Cajal-Retzius,0.43322874169852865,2,0.23244219371421854,4,0.34547323524782636,23,0.419858044003189,36
Car3,0.19328431215945777,21,0.1355717205761665,10,0.2798720907065867,23,0.19552660086141693,19
ENT CTX,0.3477091167642335,611,0.30408653264014035,1152,0.3407603198852781,727,0.3159835676682181,1520
Immature GC,0.36582880114471705,79,0.4171500823081438,32,0.3957052125638889,275,0.3844359583007417,117
Mature GC,0.30330883384726715,477,0.3525279738553813,268,0.3479469880712792,849,0.3479204763060239,540
PPP,0.07210146302298967,47,0.09999754016993212,308,0.14683344864080786,84,0.16518559327244028,360
ProS,0.2960828713408574,65,0.2950180944230551,122,0.3184284589118894,60,0.2902142897675524,119
Subiculum,0.22614991271048457,47,0.23277226104568594,100,0.25906976953754945,106,0.2463134014198557,168
