Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.4632174604934011,367,0.4670541661379007,486,0.5031557862264047,402,0.4920484919054432,778
CA2,0.5088834144503857,23,0.5047552743184361,40,0.5168818898977188,21,0.5200814142392941,33
CA3,0.5419155645589809,217,0.5355166640519197,336,0.5770513384638416,209,0.5452028195781194,336
CTX,0.48643132350173107,595,0.49083759600011273,718,0.5054912755604184,873,0.502359463185141,1507
Cajal-Retzius,0.2932052258533957,2,0.2572891155753148,4,0.34758579488984603,23,0.318406496447118,36
Car3,0.35783591200578735,21,0.3780641168751562,10,0.4138330546899123,23,0.3665155057434583,19
ENT CTX,0.40552353523010026,611,0.41252908086747575,1152,0.42928762541442544,727,0.418930509422184,1520
Immature GC,0.4441849472297914,79,0.44708917020697236,32,0.4793884089431154,275,0.481758394703871,117
Mature GC,0.44785737512038765,477,0.4610405719222859,268,0.4923243311981694,849,0.4816141502781439,540
PPP,0.3862085987363542,47,0.3965240160593607,308,0.43765031884757244,84,0.40902308680598987,360
ProS,0.4344953610285156,65,0.426827044701593,122,0.45531458319094836,60,0.4458173925810314,119
Subiculum,0.36441706575408683,47,0.3246787849433626,100,0.4050134709356055,106,0.3879549256107128,168
