Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.043759949387182175,367,0.03637387241608295,486,0.04439557057400363,402,0.03835084226952839,778
CA2,0.0691130825930544,23,0.06015623636622782,40,0.062148723829141266,21,0.06263791792668832,33
CA3,0.05444017341563286,217,0.04873047279206913,336,0.055271461014126465,209,0.04480338102092744,336
CTX,0.04151404140229409,595,0.03496150767726693,718,0.03938203260851531,873,0.03680722399415766,1507
Cajal-Retzius,0.047693080819331324,2,0.006996278477726728,4,0.041318780975738455,23,0.05208594093595584,36
Car3,0.004958705063030889,21,-0.01297351281691197,10,0.004252598233794963,23,0.009496289836823706,19
ENT CTX,0.04413632252673954,611,0.03680506893453089,1152,0.03781523954889205,727,0.03505536321334498,1520
Immature GC,0.016634633321876046,79,0.02721398410709753,32,0.029225950561293363,275,0.02489074782206527,117
Mature GC,0.027950506184742825,477,0.029676150267797335,268,0.03123495195533431,849,0.029508425405252926,540
PPP,0.004297461198883354,47,0.009213918392927766,308,0.01834288334591404,84,0.017644885254866776,360
ProS,0.03951183649740396,65,0.03017632985432782,122,0.0311501119804321,60,0.029913280519951457,119
Subiculum,0.040715500880854065,47,0.025672832781461537,100,0.03420099882238746,106,0.033146563451929616,168
