Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,-0.05068178612289991,367,-0.053423169593275116,486,-0.05222252119047787,402,-0.05144758948749889,778
CA2,-0.0466016107613935,23,-0.05684217944689509,40,-0.07651233817008916,21,-0.07273042859586923,33
CA3,-0.08132391335671202,217,-0.08314957051475214,336,-0.07744454256923629,209,-0.08372656990597123,336
CTX,-0.06684640280033863,595,-0.06855821968970155,718,-0.07000875977813704,873,-0.06545676291726071,1507
Cajal-Retzius,-0.08635277658920554,2,-0.061326273391332696,4,-0.012025445218383508,23,-0.02931548035286137,36
Car3,-0.06783865375526606,21,-0.08324905809313718,10,-0.07713916309567788,23,-0.0661872686828633,19
ENT CTX,-0.06806337835678425,611,-0.06718636479059631,1152,-0.06856185380173488,727,-0.06532690062633748,1520
Immature GC,-0.0960767409153856,79,-0.10515158539770908,32,-0.09585184479085182,275,-0.07867047894649863,117
Mature GC,-0.097422557402823,477,-0.0998904052036466,268,-0.0947574186863567,849,-0.08648306594830417,540
PPP,-0.06404330479458019,47,-0.05844872889137279,308,-0.05596558687395101,84,-0.05753994726600304,360
ProS,-0.035813377050132156,65,-0.04787654471299821,122,-0.04765872570816717,60,-0.04120288173257468,119
Subiculum,-0.03590769207502514,47,-0.03926486724702758,100,-0.05019909150114449,106,-0.05129666971368409,168
