Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,-0.19163018351497818,367,-0.19347785200280745,486,-0.1969799380352838,402,-0.15735788832945918,778
CA2,-0.17735549948677656,23,-0.16366828676731546,40,-0.1771627574866811,21,-0.1533085557830416,33
CA3,-0.12294599153405661,217,-0.12597400876672515,336,-0.13550463412796626,209,-0.09756805988516955,336
CTX,-0.11157111422086341,595,-0.11773221067688809,718,-0.1185495949833666,873,-0.08836970259442026,1507
Cajal-Retzius,-0.042406079505037095,2,-0.13293583690783123,4,-0.07788684116522807,23,-0.03892112151830625,36
Car3,-0.04807602318281322,21,-0.05804502199644516,10,-0.07003353615748215,23,-0.029364114818094072,19
ENT CTX,-0.06052673654351186,611,-0.10608843265286731,1152,-0.09278762507205122,727,-0.07474899792672592,1520
Immature GC,-0.21946616855502957,79,-0.20642963728963848,32,-0.20770996674343575,275,-0.1724779817541948,117
Mature GC,-0.26011922658240944,477,-0.26401938733087776,268,-0.2697767374357634,849,-0.22845886833908866,540
PPP,-0.1557272742788824,47,-0.18597683074433766,308,-0.1683936655619039,84,-0.1551436040572227,360
ProS,-0.10464375256430328,65,-0.11235194672764647,122,-0.11140491904729903,60,-0.09043340863802524,119
Subiculum,-0.12280503331917438,47,-0.1513923267751715,100,-0.1364518251782855,106,-0.11806258365217166,168
