Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.33415567297473736,367,0.3455702244126136,486,0.3702074493673058,402,0.3606977318200307,778
CA2,0.4012818493016105,23,0.42729230168561366,40,0.4468745772883348,21,0.4272815947330874,33
CA3,0.38240225622217,217,0.39013529201721586,336,0.41333958655255015,209,0.393898970014989,336
CTX,0.3996938828844591,595,0.4065593011924248,718,0.41759759431816207,873,0.4136863651890396,1507
Cajal-Retzius,0.38852876514528273,2,0.3655956106886832,4,0.424548781202783,23,0.4675620100280489,36
Car3,0.2032736846975613,21,0.20358039111708748,10,0.24965183257317866,23,0.2309612439618051,19
ENT CTX,0.3719297286316358,611,0.3684725978098804,1152,0.38267280272862997,727,0.37053008206856797,1520
Immature GC,0.3969053884499074,79,0.43305141502871014,32,0.4245640905608482,275,0.4202346768681563,117
Mature GC,0.35949548810913173,477,0.388113483193667,268,0.3926540721156882,849,0.3920708790626265,540
PPP,0.24987447298392745,47,0.277428055930599,308,0.28682503957462185,84,0.31001748490752457,360
ProS,0.3707314248803097,65,0.3782283618561674,122,0.39800554801272564,60,0.38039122025155553,119
Subiculum,0.3029875258864347,47,0.29800188833971597,100,0.3425173732553826,106,0.33753542342941,168
