Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.2711797739837406,367,0.27454466506760167,486,0.27875315029010783,402,0.2693989373476532,778
CA2,0.3135274292983688,23,0.33754538446480054,40,0.327891239454114,21,0.331199417508952,33
CA3,0.29529032578880376,217,0.3064006001392692,336,0.3100753753794269,209,0.2909759484530768,336
CTX,0.2868462884926901,595,0.2973075740632595,718,0.2933557320808122,873,0.28475444111128734,1507
Cajal-Retzius,0.044580274726529326,2,0.14791235290485505,4,0.15550521171500065,23,0.1323486340378803,36
Car3,0.17532802378825152,21,0.17465570716330364,10,0.20395400609311845,23,0.1851893872371942,19
ENT CTX,0.24885025475532316,611,0.2607913766341919,1152,0.25875179394246206,727,0.24833179322177798,1520
Immature GC,0.31677330692329225,79,0.30518801968951537,32,0.3121427082867638,275,0.28587283851571266,117
Mature GC,0.2923794181274798,477,0.29549661919205533,268,0.3065417187535805,849,0.28830914633775895,540
PPP,0.2615647563853627,47,0.25968957731202547,308,0.2661154788870722,84,0.26581626559822297,360
ProS,0.25957117242240435,65,0.2565826861633233,122,0.25382793936473996,60,0.24852270403330737,119
Subiculum,0.23065510719830426,47,0.21514563346375268,100,0.24589808509416775,106,0.2319112654426598,168
