Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
CA1,0.07954959046876244,367,0.08106681306479423,486,0.08177321225482405,402,0.11204104901819395,778
CA2,0.13617192981159218,23,0.17387709769748508,40,0.15072848196743296,21,0.1778908617259104,33
CA3,0.17234433425474724,217,0.180426591372544,336,0.17457074125146074,209,0.19340788856790722,336
CTX,0.17527517427182665,595,0.1795753633863715,718,0.17480613709744564,873,0.19638473851686705,1507
Cajal-Retzius,0.002174195221492224,2,0.014976515997023813,4,0.07761837054977258,23,0.09342751251957404,36
Car3,0.1272520006054383,21,0.1166106851668585,10,0.13392046993563636,23,0.15582527241910013,19
ENT CTX,0.18832351821181129,611,0.15470294398132456,1152,0.1659641688704108,727,0.17358279529505205,1520
Immature GC,0.09730713836826282,79,0.09875838239987692,32,0.1044327415433281,275,0.11339485676151782,117
Mature GC,0.0322601915450704,477,0.03147723186117755,268,0.03676498131781701,849,0.05985027799867028,540
PPP,0.10583748210648031,47,0.0737127465676878,308,0.09772181332516833,84,0.11067266154100025,360
ProS,0.15492741985810107,65,0.14423073943567685,122,0.14242302031744095,60,0.15808929539528216,119
Subiculum,0.10785007387912986,47,0.06375330668858119,100,0.10944625991588226,106,0.1138486817904881,168
