names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MB GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Naaladl2,6.49735,1.0769508,8.174694388308313e-11,2.7117782495536345e-09,0.7545454545454545,0.8628954250707556,2.2946086,1.6541481
Camk1d,5.059775,0.45955813,4.197522386054865e-07,4.666422280235591e-06,0.8636363636363636,0.9539282771468491,2.615644,2.3241565
Hsp90ab1,4.049479,1.1615285,5.133179616361486e-05,0.00035640448654168763,0.6818181818181818,0.8094794540178412,1.7825664,1.1664752
Hsp90aa1,3.8314252,1.3146875,0.00012740310028154107,0.000816047986785461,0.6454545454545455,0.7958657256475478,1.80648,1.113774
Gad2,3.818305,2.3512402,0.00013437171948717152,0.0008565997870985287,0.37272727272727274,0.22305019166696521,0.84697855,0.23202993
Nxph1,3.6248503,1.4958681,0.0002891290169654987,0.0017199239950991699,0.5181818181818182,0.42170314907032563,1.3932167,0.72926307
Hexb,2.547324,1.0697132,0.010855264613663906,0.0448119465615531,0.5454545454545454,0.6791100920717945,1.3723851,0.8766845
Sec62,-2.506422,0.30533522,0.012195990998172921,0.04984884060251086,0.32727272727272727,0.617525883996704,0.74806166,0.64217985
Rab5b,-2.5099,0.35152525,0.012076535270101002,0.049383123224412406,0.11818181818181818,0.2811593164475334,0.21856217,0.17517984
Ckmt1,-2.51956,0.43333748,0.01175015941989174,0.04814376084362474,0.07272727272727272,0.22756421738974672,0.18813749,0.14262098
Ly6h,-2.519944,0.25232905,0.01173735532132312,0.04810596971994391,0.3,0.5460179844516891,0.62983805,0.551891
Ndufb3,-2.5283344,0.5233842,0.011460513669195168,0.047028711406730934,0.12727272727272726,0.2973166624870132,0.30850196,0.22428565
Cmpk1,-2.5360696,0.47767872,0.011210447515658644,0.046122297465280626,0.15454545454545454,0.33987747644466737,0.3298438,0.2473373
Uchl1,-2.547997,0.52410376,0.010834341284338616,0.044739319242381836,0.2636363636363636,0.5052484505427579,0.62159085,0.4695965
