Name,Term,ES,nes,NOM p-val,fdr,FWER p-val,Tag %,Gene %,Lead_genes,Gene_Set,Direction
prerank,Amyotrophic lateral sclerosis (ALS),0.8045389199703757,1.5058853905433494,0.016025641025641024,1.0,0.544,8/52,2.40%,Gria1;Ppp3ca;Grin2a;Grin2b;Gria2;Map2k6;Grin1;Ppp3r1,KEGG_2019_Mouse,Up
prerank,N-Glycan biosynthesis,-0.8558842250486658,-1.4957694010565912,0.0,0.3134000070465424,0.25,6/50,2.71%,Man1a;St6gal1;Mgat4c;Man2a1;St6gal2;Mgat5,KEGG_2019_Mouse,Down
prerank,Retrograde endocannabinoid signaling,0.6684378187581644,1.4502898253538332,0.0,1.0,0.823,29/138,2.24%,Gria1;Grm1;Cacna1c;Gabrb3;Kcnj3;Kcnj6;Gabra2;Gabrb1;Rims1;Gria2;Adcy1;Gabra4;Gabrb2;Adcy2;Gria3;Plcb1;Grm5;Gabrg2;Cacna1d;Gng7;Gabra5;Gnaq;Napepld;Mapk1;Slc17a7;Faah;Adcy9;Dagla;Gng2,KEGG_2019_Mouse,Up
prerank,Circadian entrainment,0.7013735532151874,1.4433040484362742,0.031446540880503145,0.9345403740222855,0.85,25/93,2.24%,Gria1;Ryr2;Grin2a;Cacna1c;Prkg1;Grin2b;Kcnj3;Kcnj6;Camk2a;Camk2b;Gria2;Adcy1;Adcy2;Gria3;Plcb1;Cacna1d;Gng7;Gnaq;Cacna1h;Mapk1;Grin1;Adcyap1r1;Adcy9;Ryr1;Gng2,KEGG_2019_Mouse,Up
prerank,JAK-STAT signaling pathway,-0.7395987251420519,-1.4343483343668375,0.008298755186721992,0.9651951137261613,0.779,34/132,12.13%,Socs2;Stat5b;Pik3r1;Bcl2;Il10ra;Pdgfra;Csf3r;Fhl1;Il15;Ccnd3;Aox3;Egfr;Il21r;Aox1;Cish;Stam2;Stat6;Pik3cd;Jak2;Csf2rb2;Ccnd1;Aox4;Pdgfrb;Il4ra;Ifnlr1;Stat5a;Prlr;Ifngr1;Il6st;Pdgfb;Osmr;Pik3ca;Il12rb1;Socs6,KEGG_2019_Mouse,Down
prerank,Alzheimer disease,0.6405496029374401,1.4243922998926286,0.0149812734082397,0.877151544302058,0.903,12/161,2.40%,Ppp3ca;Grin2a;Cacna1c;Grin2b;Snca;Plcb1;Cacna1d;Atf6;Gnaq;Mapk1;Grin1;Ppp3r1,KEGG_2019_Mouse,Up
prerank,Glyoxylate and dicarboxylate metabolism,-0.8681974904930136,-1.399777004792414,0.021645021645021644,1.0,0.942,2/28,2.66%,Acss1;Glul,KEGG_2019_Mouse,Down
prerank,Cysteine and methionine metabolism,0.7518790686913907,1.384052499786685,0.09146341463414634,1.0,0.961,1/48,0.08%,Ahcyl2,KEGG_2019_Mouse,Up
prerank,Acute myeloid leukemia,-0.7801745329995992,-1.3834883525008999,0.017569546120058566,1.0,0.975,13/66,4.21%,Runx1t1;Kit;Tcf7l2;Stat5b;Pik3r1;Runx1;Csf1r;Tcf7l1;Itgam;Rara;Lef1;Dusp6;Spi1,KEGG_2019_Mouse,Down
prerank,GABAergic synapse,0.6636414054683748,1.3714978665757644,0.041935483870967745,0.9544859388539603,0.977,21/87,2.61%,Cacna1c;Gabrb3;Kcnj6;Gabra2;Gabrb1;Nsf;Adcy1;Gabra4;Gabrb2;Plcl1;Adcy2;Gabrg2;Cacna1d;Gabbr2;Gng7;Gabra5;Gls;Adcy9;Gng2;Hap1;Gabrd,KEGG_2019_Mouse,Up
