cell_type_L2_new,reason
VIP,"Low cell count (Nestin_Control=32, Nestin_Mutant=114)"
CA2,"Low cell count (Nestin_Control=21, Nestin_Mutant=33)"
Sncg,"Low cell count (Nestin_Control=38, Nestin_Mutant=57)"
ABC,"Low cell count (Nestin_Control=50, Nestin_Mutant=19)"
VLMC,"Low cell count (Nestin_Control=46, Nestin_Mutant=16)"
Endothelial,"Low cell count (Nestin_Control=84, Nestin_Mutant=26)"
Lamp5 (DG),"Low cell count (Nestin_Control=26, Nestin_Mutant=24)"
nIPC,"Low cell count (Nestin_Control=22, Nestin_Mutant=23)"
Pericytes,"Low cell count (Nestin_Control=70, Nestin_Mutant=20)"
Car3,"Low cell count (Nestin_Control=23, Nestin_Mutant=19)"
VIP (DG),"Low cell count (Nestin_Control=18, Nestin_Mutant=28)"
Mossy cells,"Low cell count (Nestin_Control=4, Nestin_Mutant=17)"
Neuroblast,"Low cell count (Nestin_Control=94, Nestin_Mutant=32)"
Cajal-Retzius,"Low cell count (Nestin_Control=23, Nestin_Mutant=36)"
