cell_type_L2_new,reason
PPP,"Low cell count (Emx1_Control=47, Emx1_Mutant=308)"
Microglia,"Low cell count (Emx1_Control=50, Emx1_Mutant=32)"
Subiculum,"Low cell count (Emx1_Control=47, Emx1_Mutant=100)"
CGE-derived,"Low cell count (Emx1_Control=39, Emx1_Mutant=95)"
VIP,"Low cell count (Emx1_Control=32, Emx1_Mutant=50)"
CA2,"Low cell count (Emx1_Control=23, Emx1_Mutant=40)"
OPC,"Low cell count (Emx1_Control=35, Emx1_Mutant=73)"
ABC,"Low cell count (Emx1_Control=17, Emx1_Mutant=30)"
NFOL,"Low cell count (Emx1_Control=4, Emx1_Mutant=16)"
Lamp5,"Low cell count (Emx1_Control=34, Emx1_Mutant=75)"
Immature GC,"Low cell count (Emx1_Control=79, Emx1_Mutant=32)"
VLMC,"Low cell count (Emx1_Control=27, Emx1_Mutant=55)"
Lamp5 (DG),"Low cell count (Emx1_Control=19, Emx1_Mutant=15)"
nIPC,"Low cell count (Emx1_Control=4, Emx1_Mutant=14)"
Pericytes,"Low cell count (Emx1_Control=12, Emx1_Mutant=11)"
Car3,"Low cell count (Emx1_Control=21, Emx1_Mutant=10)"
VIP (DG),"Low cell count (Emx1_Control=9, Emx1_Mutant=12)"
Mossy cells,"Low cell count (Emx1_Control=11, Emx1_Mutant=15)"
Neuroblast,"Low cell count (Emx1_Control=11, Emx1_Mutant=5)"
Cajal-Retzius,"Low cell count (Emx1_Control=2, Emx1_Mutant=4)"
