names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC (for_DEGs),mean_expr_Rest (for_DEGs)
Anks1b,31.741333,1.3252395,4.1820599977986677e-221,2.675522670020243e-218,0.9972565157750343,0.8999890097812947,3.6293333,2.7499177
Cspg4,31.659327,5.9212775,5.64319529460041e-220,3.5263408736258842e-217,0.710562414266118,0.05539070227497527,1.2910029,0.042584755
Chst11,31.247675,3.0566134,2.4010041581378054e-214,1.4662495847537007e-211,0.8093278463648834,0.46103967468952634,1.6255006,0.3991043
Sntg1,31.166275,1.6243875,3.0530263114909315e-213,1.8229959331058072e-210,0.9849108367626886,0.8089899989009781,2.8983848,1.8811197
Qki,31.05063,2.291776,1.118691494910576e-211,6.534617493097213e-209,0.9835390946502057,0.8241565007143642,2.9647021,1.5592954
Cntn1,31.002766,1.5242066,4.947064341240293e-211,2.8282472095558865e-208,0.9670781893004116,0.8249990841484413,2.6782928,1.7430029
Zfp462,30.984262,2.5458863,8.783430394942917e-211,4.916891139835754e-208,0.840877914951989,0.5569842839872513,1.8168916,0.6325273
Rora,30.638636,1.8113083,3.744904127141717e-206,2.053583140740774e-203,0.9657064471879286,0.7963146133274719,2.709064,1.6081127
Itpr2,30.62143,3.7326512,6.34709363750036e-206,3.4109281207926934e-203,0.7750342935528121,0.2113419057039235,1.469691,0.22461748
Astn2,30.38573,2.280643,8.478941492862137e-203,4.4672383904550116e-200,0.9327846364883402,0.625929589332161,2.2499378,1.0104012
Nova1,30.375946,2.9129798,1.1417912227921616e-202,5.899986568543342e-200,0.8079561042524005,0.4917756530021614,1.6229888,0.43187568
Cspg5,30.30584,3.2561269,9.60235756918988e-202,4.868214111021359e-199,0.7956104252400549,0.39931127962779794,1.5785855,0.3384473
