names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MGE-derived (for_DEGs),mean_expr_Rest (for_DEGs)
Maf,24.543482,2.174451,5.076845801835644e-133,7.179728773438092e-130,0.8451492537313433,0.21626045834849036,0.82434565,0.24969949
Col19a1,24.288137,2.6945395,2.616413826817782e-130,3.51515197632969e-127,0.8078358208955224,0.26216806111313207,1.0986922,0.2692554
Etl4,24.148973,2.110122,7.654206456877948e-129,9.793739404586212e-126,0.9944029850746269,0.7061840669334304,2.7963662,1.5181134
Meg3,24.145061,1.6608583,8.414168977259097e-129,1.027676001904327e-125,1.0,0.9115314659876319,4.3493156,3.2256315
Abtb3,23.75802,2.8922372,9.078501245829642e-125,1.0606057759801847e-121,0.7294776119402985,0.14547108039287013,0.7135848,0.1312534
Utrn,23.74201,2.0755475,1.3287404367380213e-124,1.487635647297943e-121,0.8973880597014925,0.36489632593670424,1.1413255,0.40915847
Gm13629,23.62746,2.6487195,2.0128056278322475e-123,2.1633634887940995e-120,0.7406716417910447,0.1653692251727901,0.5953542,0.12199604
Vwc2,23.480011,2.6157153,6.528557820431057e-122,6.747013409037788e-119,0.7369402985074627,0.14961804292469988,0.6397555,0.13644029
Fgf12,23.401083,1.403334,4.166512497134295e-121,4.146451511036982e-118,1.0,0.851473263004729,3.0569775,2.1587813
Sox6,23.352776,2.3140974,1.2915341997775943e-120,1.2394115695722842e-117,0.8656716417910447,0.2980720261913423,1.3519408,0.45495477
Galntl6,23.31288,2.2224257,3.281849670181352e-120,3.0408034702680315e-117,0.996268656716418,0.809094216078574,3.3713524,1.9494962
Gria4,22.932798,1.7161318,2.1880583063971967e-116,1.9597708897630892e-113,1.0,0.7870498363041106,2.7197468,1.6704865
Slc6a1,22.860508,1.6494913,1.1488610754161445e-115,9.958031321429615e-113,0.8955223880597015,0.30149145143688616,0.74578136,0.30247664
Spock3,22.607975,1.8351433,3.617646258797987e-113,3.037692342934435e-110,0.9906716417910447,0.5628592215351037,1.7103705,0.81972915
Gm56750,22.602198,2.3774827,4.123261082272184e-113,3.3573340994137454e-110,0.7332089552238806,0.16671516915241907,0.61468744,0.1513475
Astn2,22.578321,1.8857358,7.078727731203528e-113,5.594276886395259e-110,0.9832089552238806,0.6271007639141506,2.0265942,1.0234591
Frmd5,22.479834,1.6345099,6.538486149102834e-112,5.019689223611233e-109,0.9981343283582089,0.7337213532193525,2.2863204,1.3472323
Osbpl3,22.4591,1.8723598,1.0427665159042368e-111,7.783093411763011e-109,0.8544776119402985,0.3412877409967261,0.7987652,0.28816497
Gad1,22.424835,1.8317255,2.2532461932785028e-111,1.6357131263987409e-108,0.8246268656716418,0.25427428155692977,0.6756149,0.2399329
Cntnap4,22.423666,2.245601,2.3132526536342448e-111,1.6357131263987409e-108,0.8488805970149254,0.3413241178610404,1.2555329,0.42475393
Myo16,22.216232,1.7178992,2.3932361411988744e-109,1.648878336256763e-106,0.9291044776119403,0.4757366315023645,1.1576195,0.50887203
Cacna2d2,22.14121,2.4856164,1.267874865505496e-108,8.5169494090331685e-106,0.6902985074626866,0.13801382320843944,0.46355683,0.100110605
Ank1,21.969006,1.8980768,5.700206168188622e-107,3.735720481444592e-104,0.8041044776119403,0.2712259003273918,0.56270576,0.18455127
Cit,21.884356,1.7159557,3.6614684152399385e-106,2.342468007559456e-103,0.9253731343283582,0.4243724990905784,1.02219,0.43282792
9630014M24Rik,21.824924,1.7634367,1.3455794888869518e-105,8.40830717823079e-103,0.8526119402985075,0.3242269916333212,0.7233164,0.27200177
5330434G04Rik,21.756573,1.4585842,5.985810218087668e-105,3.655425467273083e-102,0.996268656716418,0.637722808293925,1.532688,0.8419974
Ptchd4,21.379978,1.76722,2.0522248987974536e-101,1.225406289570835e-98,0.9291044776119403,0.4595125500181884,1.300026,0.5789697
Rcan2,21.321747,1.5754707,7.134409836268808e-101,4.167425919577019e-98,0.8899253731343284,0.3563113859585304,0.77040464,0.32889724
Klf12,21.230501,1.4295446,4.992665091776564e-100,2.8543172556603467e-97,0.9944029850746269,0.7099672608221171,1.8125865,1.0657843
Cntnap2,21.21585,1.5325011,6.818288435304681e-100,3.816821047013266e-97,1.0,0.9124408875954892,3.7840388,2.7639084
Unc5d,21.016754,1.9345908,4.609032834189969e-98,2.5274431072384587e-95,0.9682835820895522,0.6311749727173518,2.259553,1.1768632
Dlgap1,20.986502,1.0729221,8.712750997731411e-98,4.6822323861808604e-95,1.0,0.9168788650418334,3.6361892,2.9211733
