names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 (DG) (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnmb2,11.625428,2.8537533,3.0605643135620784e-31,4.111868155270652e-28,0.9523809523809523,0.2550640612697731,1.3342488,0.32710338
Zfp536,11.56438,2.6061194,6.244093854566064e-31,7.9894667558185785e-28,1.0,0.4747691646983036,1.9416978,0.6834046
Slc6a1,11.54774,2.460374,7.578718582153422e-31,9.256371286475567e-28,0.9642857142857143,0.310893994703314,1.0951481,0.3085972
Tox2,11.488232,2.493685,1.5117495864444834e-30,1.76611788642449e-27,0.9166666666666666,0.21347791854555867,0.6154888,0.14064762
Galntl6,11.362785,2.775461,6.406846565882896e-30,7.172998634386392e-27,1.0,0.8121108009448142,3.7684796,1.9713039
Adra1a,11.1784935,2.7873807,5.196469933417662e-29,5.585165884437302e-26,0.8690476190476191,0.19755207214945245,0.79247105,0.1613535
Hapln1,11.1048975,3.7038422,1.1875295853421117e-28,1.2272661522362515e-25,0.7738095238095238,0.0864648199842531,0.6632215,0.06972828
Hcrtr2,10.909233,3.395131,1.0413089106129868e-27,1.0362952010433686e-24,0.7857142857142857,0.11248300050103786,0.6160014,0.07782928
Afap1,10.885402,2.3500822,1.3530103437629305e-27,1.2984067120324978e-24,0.8928571428571429,0.23155107007372414,0.6423935,0.16273281
Gabrg3,10.802858,2.3346481,3.336524327356547e-27,3.091462368140359e-24,1.0,0.6515997423233841,2.5255563,1.1876571
Maf,10.630445,2.188456,2.1508476545768104e-26,1.92644254928263e-23,0.9166666666666666,0.22621859566244362,0.8531421,0.2589087
Reln,10.566993,3.4319944,4.23871046857541e-26,3.674004848084557e-23,0.8452380952380952,0.2893851549638537,1.7794393,0.3760132
Sv2c,10.543978,3.0979893,5.41586310941779e-26,4.5476325546892514e-23,0.7857142857142857,0.13989692935366116,0.66222286,0.10407067
Cacna2d1,10.456606,1.5557523,1.3666364192443563e-25,1.1127733510635108e-22,1.0,0.82560303485792,2.8663402,1.892681
Rbms3,10.429384,2.1569266,1.8206445013909346e-25,1.438844639775718e-22,0.9880952380952381,0.5092692004867225,1.653718,0.66664773
Sox1ot,10.303168,3.1748464,6.817793943939113e-25,5.2341178078184e-22,0.7380952380952381,0.08177653711259036,0.46571916,0.06361516
Hcn1,10.290607,1.8937721,7.768451439749829e-25,5.7982858385021645e-22,1.0,0.7471548207000215,2.6834993,1.5410612
Adamts17,10.238244,1.9463425,1.3363971091372145e-24,9.705132519599177e-22,0.9761904761904762,0.504652494452795,1.3465303,0.5527108
Fgf9,10.122375,2.3663287,4.396200783329031e-24,3.0705490303870024e-21,0.8214285714285714,0.19422374919476057,0.46929812,0.10987997
Gabrb2,10.120065,1.5729291,4.501183012363609e-24,3.0705490303870024e-21,1.0,0.7190251234700451,2.0743535,1.2057385
Adarb2,10.118559,2.7480044,4.5709699000923e-24,3.0705490303870024e-21,0.9642857142857143,0.5803450003578842,2.6483097,1.0833305
Mpdz,10.042087,1.6480697,9.954593383215763e-24,6.523900590414819e-21,0.9880952380952381,0.5609476773316154,1.1935533,0.55012316
Vcan,10.022449,2.7540524,1.2145620376922207e-23,7.770305226854755e-21,0.7976190476190477,0.19300694295326032,0.8776504,0.18921815
Kcnn2,9.937764,1.8093927,2.851547994598477e-23,1.781885921275839e-20,0.9880952380952381,0.6412211008517643,1.8293707,0.9131539
Myo3b,9.923299,4.0785313,3.296750464624963e-23,2.0132655678289264e-20,0.6785714285714286,0.063381289814616,0.4596769,0.033957213
Frmpd4,9.901676,1.7218105,4.093575230447832e-23,2.444319254269628e-20,1.0,0.8320449502540977,3.2361407,2.129184
Sox2ot,9.876467,2.3351195,5.2657074362161273e-23,3.075859974154942e-20,1.0,0.4642831579700809,1.9667209,0.79671764
Astn2,9.842079,2.0773673,7.416181005888204e-23,4.2398464601748094e-20,1.0,0.6328108224178656,2.164618,1.039271
Ndst3,9.810299,2.05585,1.0166646520166541e-22,5.691203999934895e-20,0.9523809523809523,0.4734449932002004,1.4605166,0.5853624
Dlx1as,9.736292,2.8423429,2.1111749567714886e-22,1.1576994099683652e-19,0.7380952380952381,0.13062772886693866,0.5487929,0.09708059
Grin2a,9.724812,1.6047748,2.363421414208374e-22,1.2701026679955803e-19,1.0,0.8339059480352158,3.2699897,2.2323673
