mapmycells_first_layer,reason
Immune,"Low cell count (Emx1_Mutant=42, Nestin_Mutant=515)"
MY Glut,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=9)"
OB-CR Glut,"Low cell count (Emx1_Mutant=8, Nestin_Mutant=37)"
OB-IMN GABA,"Low cell count (Emx1_Mutant=40, Nestin_Mutant=38)"
MB GABA,"Low cell count (Emx1_Mutant=15, Nestin_Mutant=46)"
CNU-LGE GABA,"Low cell count (Emx1_Mutant=37, Nestin_Mutant=12)"
LSX GABA,"Low cell count (Emx1_Mutant=18, Nestin_Mutant=6)"
CNU-HYa GABA,"Low cell count (Emx1_Mutant=18, Nestin_Mutant=9)"
Vascular,"Low cell count (Emx1_Mutant=138, Nestin_Mutant=48)"
P Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
CNU-HYa Glut,"Low cell count (Emx1_Mutant=21, Nestin_Mutant=11)"
MY GABA,"Low cell count (Emx1_Mutant=6, Nestin_Mutant=5)"
MB Glut,"Low cell count (Emx1_Mutant=9, Nestin_Mutant=30)"
P GABA,"Low cell count (Emx1_Mutant=5, Nestin_Mutant=12)"
MH-LH Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=13)"
CNU-MGE GABA,"Low cell count (Emx1_Mutant=11, Nestin_Mutant=11)"
CB Glut,"Low cell count (Emx1_Mutant=2, Nestin_Mutant=2)"
CB GABA,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
HY GABA,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=7)"
TH Glut,"Low cell count (Emx1_Mutant=10, Nestin_Mutant=1)"
MB Dopa,"Low cell count (Emx1_Mutant=1, Nestin_Mutant=0)"
OEC,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
MB-HB Sero,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=0)"
HY Glut,"Low cell count (Emx1_Mutant=4, Nestin_Mutant=3)"
Pineal Glut,"Low cell count (Emx1_Mutant=0, Nestin_Mutant=1)"
