mapmycells_first_layer,reason
MY Glut,"Low cell count (Emx1_Control=10, Nestin_Control=24)"
OB-CR Glut,"Low cell count (Emx1_Control=7, Nestin_Control=38)"
OB-IMN GABA,"Low cell count (Emx1_Control=35, Nestin_Control=152)"
MB GABA,"Low cell count (Emx1_Control=13, Nestin_Control=36)"
CNU-LGE GABA,"Low cell count (Emx1_Control=15, Nestin_Control=35)"
LSX GABA,"Low cell count (Emx1_Control=11, Nestin_Control=8)"
CNU-HYa GABA,"Low cell count (Emx1_Control=9, Nestin_Control=28)"
P Glut,"Low cell count (Emx1_Control=2, Nestin_Control=2)"
CNU-HYa Glut,"Low cell count (Emx1_Control=9, Nestin_Control=29)"
MY GABA,"Low cell count (Emx1_Control=5, Nestin_Control=8)"
MB Glut,"Low cell count (Emx1_Control=6, Nestin_Control=30)"
P GABA,"Low cell count (Emx1_Control=5, Nestin_Control=25)"
MH-LH Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
CNU-MGE GABA,"Low cell count (Emx1_Control=4, Nestin_Control=10)"
CB Glut,"Low cell count (Emx1_Control=1, Nestin_Control=4)"
CB GABA,"Low cell count (Emx1_Control=1, Nestin_Control=2)"
HY GABA,"Low cell count (Emx1_Control=3, Nestin_Control=6)"
TH Glut,"Low cell count (Emx1_Control=1, Nestin_Control=1)"
MB Dopa,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
OEC,"Low cell count (Emx1_Control=1, Nestin_Control=39)"
MB-HB Sero,"Low cell count (Emx1_Control=1, Nestin_Control=0)"
HY Glut,"Low cell count (Emx1_Control=0, Nestin_Control=7)"
Pineal Glut,"Low cell count (Emx1_Control=0, Nestin_Control=2)"
