Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.09772102285174443,17,0.11808166951024007,30,0.12014440166897154,50,0.1055849702788814,19
Astrocytes,0.08676269298736641,145,0.09714797058713469,212,0.12640958172463873,464,0.1360274939301311,159
CA1,0.12290667240666574,367,0.12739302199662825,486,0.12789475342787157,403,0.13578486595662656,779
CA2,0.1201266383456185,23,0.12442311469753649,40,0.1346367891472853,21,0.14118525408120045,33
CA3,0.160445735155849,217,0.16032842563078611,336,0.15360113780522683,209,0.162513308155591,336
CGE-derived,0.11496765592412814,39,0.11370598158217536,95,0.11051080109339313,99,0.12014792665173954,245
CTX,0.13300539933322456,617,0.1315694692076536,756,0.13311303812161798,899,0.1343275515261789,1547
Cajal-Retzius,0.19885172085027003,2,0.15016801651561001,4,0.09714998785397429,23,0.1393944853568375,36
Car3,0.1475195988618244,21,0.1653046401129475,10,0.13834214708333278,23,0.13102205101035863,19
ENT CTX,0.11814648041495325,611,0.11162972285839591,1152,0.12074920307565742,728,0.11870194549822302,1520
Endothelial,0.12686168444032817,60,0.13720677595711359,61,0.11812780344103135,84,0.09482121370507296,26
Immature GC,0.15428883832154794,79,0.16132340747106388,32,0.15170672145943762,275,0.14205486666920408,117
Lamp5,0.04604833158515175,34,0.0468922119511233,75,0.06218850338996352,55,0.07450193060019034,123
Lamp5 (DG),0.11620265141042643,19,0.08721585397794634,15,0.11333074450957223,26,0.1011780905377509,24
MGE-derived,0.11909374666518625,77,0.10194382347529639,111,0.117459678840053,122,0.11712588714884385,226
MOL,0.12650176603269853,98,0.12368668020817675,91,0.12122444077310698,803,0.13858434147216558,668
Mature GC,0.15774299051009077,477,0.15223805232805834,268,0.15664717834054187,849,0.15773012634627726,540
Microglia,0.0380734089758241,50,-0.009635963293728428,32,0.04189835147882026,483,0.03847941974564332,671
NFOL,0.03318594317338038,4,0.11148782280720998,16,0.09889226531279242,50,0.11571393664359346,79
Neuroblast,0.2103035715122399,11,0.21417689921793567,5,0.21493689640552824,94,0.21832591885650032,32
OPC,0.16022517933206024,35,0.1483543117896745,73,0.15440058783430735,253,0.15131398162920523,368
PPP,0.0730950108298845,47,0.08756576814397914,308,0.08024562900648476,84,0.08797125721265432,360
PV,0.08246298969511924,85,0.0927631790476347,162,0.09247859154265252,83,0.09030409075545387,151
Pericytes,0.13357228055759432,12,0.13446487368838753,11,0.10962490231469209,70,0.10817353652212844,20
ProS,0.042658435440059386,65,0.05475803549265973,122,0.06134705169980147,60,0.06486224123711404,119
SST,0.11061411472072376,62,0.10183095881898899,131,0.09998020826715628,78,0.10096703082409639,173
Sncg,0.08195074234745292,61,0.07934679779903499,115,0.07938837206435602,38,0.09160535715604833,57
Subiculum,0.14081612100729243,47,0.12788130493182637,100,0.1622381072190892,106,0.15873952303997352,168
VIP,0.08533153524202527,32,0.08754337300110607,50,0.09880587484679275,32,0.11844051786021009,114
VIP (DG),0.1494581294857283,9,0.1276417575172625,12,0.13835928112531956,18,0.14578456014705127,28
VLMC,0.07370148222219271,27,0.053092515089415745,55,0.113994189802805,46,0.04023075935160809,16
nIPC,0.1935013585543062,4,0.15475381118180934,14,0.16617137592762868,22,0.1794488001133949,23
rest,0.0786708194547306,932,0.08631573530556422,841,0.10502182372693727,1768,0.09657379966416557,558
