Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.5177906484853848,67,0.6379884366650381,49
Astrocytes,-0.004831936564425885,609,-0.007336265999201391,371
CA1,-0.03750546606734053,770,-0.03262698407791638,1265
CA2,-0.11979939410196282,44,-0.0819930633301663,73
CA3,0.060229486717453325,426,0.07276447055003268,672
CGE-derived,0.0026900255047375013,138,0.02541701490239177,340
CTX,0.035934635936285805,1516,0.047857140159706595,2303
Cajal-Retzius,0.036200594660659696,25,0.025547694992920433,40
Car3,0.08941891460197059,44,0.062175689474219184,29
ENT CTX,0.04789206059306103,1339,0.03788511394052857,2672
Endothelial,0.22268658141007305,144,0.17272065380241697,87
Immature GC,0.009890843912312004,354,0.05474060876882031,149
Lamp5,-0.0483707113139707,89,-0.06137646426267722,198
Lamp5 (DG),-0.020408503156324153,45,0.019579512299181007,39
MGE-derived,0.020049250588812045,199,0.05323521196582889,337
MOL,0.2449965835505016,901,0.2579382016035351,759
Mature GC,-0.047396888542804286,1326,-0.03425935633849812,808
Microglia,-0.00479614506438848,533,-0.0019243099499619957,703
NFOL,0.11999708234013497,54,0.11096014406652335,95
Neuroblast,0.07410894681298402,105,0.06033460092588457,37
OPC,0.08973437058707243,288,0.07944909532794749,441
PPP,-0.0455906828171519,131,-0.04390453269035831,668
PV,0.08863352099486488,168,0.09696126104051957,313
Pericytes,0.11208135789682275,82,0.1307417048595625,31
ProS,0.023971342362783695,125,0.042841210684590625,241
SST,-0.02404005640791791,140,-0.0281110771794582,304
Sncg,-0.10631120855315206,99,-0.09800709652917731,172
Subiculum,-0.04262969226420056,153,-0.051143007005824775,268
VIP,0.007108099256641867,64,-0.011628992220478288,164
VIP (DG),-0.023912383591670368,27,0.0268662864813775,40
VLMC,0.14781255454308112,73,0.12837812455064568,71
nIPC,0.05009869801082312,26,0.04871810905901602,37
rest,0.059273855424841544,2700,0.07144394851501337,1399
