Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.21658358802076505,67,0.22120884941893038,49
Astrocytes,0.2558474926472978,609,0.23348372294110092,371
CA1,0.22581275809539955,770,0.22234779535734306,1265
CA2,0.28839621363364654,44,0.2974723966288827,73
CA3,0.2633045028779382,426,0.2571727252220497,672
CGE-derived,0.23691468434665308,138,0.22880436553246644,340
CTX,0.24382507069654671,1516,0.23938653690922898,2303
Cajal-Retzius,0.12269170239532928,25,0.12285009883237756,40
Car3,0.14658929168654342,44,0.13463022429709195,29
ENT CTX,0.20963584138029212,1339,0.20828094500468183,2672
Endothelial,0.20109887963578976,144,0.17844815203916586,87
Immature GC,0.27180445860494745,354,0.24221478011252986,149
Lamp5,0.29259802944409014,89,0.2874869554230961,198
Lamp5 (DG),0.31741114357155176,45,0.28981292713578,39
MGE-derived,0.2288793808746915,199,0.22025711984399235,337
MOL,0.08362786887496908,901,0.06769640480655371,759
Mature GC,0.2623067777363674,1326,0.2521977375510484,808
Microglia,0.13900070603883946,533,0.12487464502555636,703
NFOL,0.12505357318755705,54,0.1097788708158946,95
Neuroblast,0.33311129823860536,105,0.28382633553153114,37
OPC,0.18816091892094292,288,0.16769154660757452,441
PPP,0.2117035318026036,131,0.2125441136530921,668
PV,0.20882235618281678,168,0.19810055259034834,313
Pericytes,0.16438116193614283,82,0.16101716057126542,31
ProS,0.20405642250639858,125,0.19716537806319226,241
SST,0.164348356777298,140,0.17200432410553612,304
Sncg,0.2100708158550183,99,0.21390541705661134,172
Subiculum,0.20273945808319305,153,0.18757805722693616,268
VIP,0.22492654333860262,64,0.21137153192438485,164
VIP (DG),0.2655964609974789,27,0.24529162285036463,40
VLMC,0.2110106487303589,73,0.17461283163032074,71
nIPC,0.2621514476890265,26,0.22196664787470377,37
rest,0.12208657820235885,2700,0.11963028190864522,1399
