Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.5419269206048504,17,0.6779700636142608,30,0.5095843159647666,50,0.5748595520083706,19
Astrocytes,-0.001827862326355421,145,-0.022304796556460223,212,-0.005770709763822905,464,0.012621774743810384,159
CA1,-0.03735471961491533,367,-0.042409850329884716,486,-0.03764274633542999,403,-0.02652368112739441,779
CA2,-0.12810599611356088,23,-0.0905350813916708,40,-0.11070168713687924,21,-0.07163910204349419,33
CA3,0.0689557198201597,217,0.0669239544907077,336,0.0511692351227773,209,0.07860498660935766,336
CGE-derived,-0.040526009795918735,39,0.026210193356259712,95,0.019714524259541476,99,0.02510945591007563,245
CTX,0.03869074721350111,617,0.035377177313723966,756,0.03404306679497119,899,0.05395594553240399,1547
Cajal-Retzius,-0.02604382871556761,2,-0.06395265489427648,4,0.041613153215114246,23,0.0354921783137201,36
Car3,0.11276802903382961,21,0.100820358928242,10,0.06810015794679496,23,0.041836389761575596,19
ENT CTX,0.06070860088850462,611,0.02450483036614628,1152,0.03713532141652802,728,0.048025960439007774,1520
Endothelial,0.1520782240608828,60,0.15914429722715465,61,0.27312112237378044,84,0.20457287499822477,26
Immature GC,0.0035852785567135393,79,0.022990729145655888,32,0.011702260869011199,275,0.06342433652900203,117
Lamp5,-0.07883837629698934,34,-0.08947012797923119,75,-0.02953615477901371,55,-0.044246181508680885,123
Lamp5 (DG),-0.011988824756853507,19,0.06735142869806637,15,-0.026561345063629633,26,-0.010277935450122351,24
MGE-derived,0.008955402741708425,77,0.042116323778100165,111,0.027051105377557772,122,0.05869625881909387,226
MOL,0.21385460151117938,98,0.26980034272569176,91,0.24879722394882486,803,0.25632225124108554,668
Mature GC,-0.04629424691880301,477,-0.04878326263775347,268,-0.04801639390752583,849,-0.027051195434423247,540
Microglia,-0.001412688461468878,50,0.010839332766838038,32,-0.0051463993711089355,483,-0.00253300826134441,671
NFOL,0.13840097095965578,4,0.13259181527812858,16,0.1185247712505733,50,0.10657904609961598,79
Neuroblast,0.07723425802751573,11,-0.053250374227752736,5,0.07374321890490054,94,0.07808225329364041,32
OPC,0.030877860909828626,35,0.05749541416390646,73,0.09787657548313383,253,0.08380403751537954,368
PPP,-0.014918093705092193,47,-0.05527580099887077,308,-0.06275272672509008,84,-0.034175780915297646,360
PV,0.07858607837304905,85,0.07421228748069918,162,0.0989230706678088,83,0.12136744459476397,151
Pericytes,-0.007566568661201638,12,0.1376510013468148,11,0.13259243102105545,70,0.12694159179157377,20
ProS,0.02336681185043571,65,0.021045155071527082,122,0.024626250417827355,60,0.06518674669126082,119
SST,-0.039626224343308605,62,-0.011942213071299093,131,-0.011651051125940679,78,-0.04035455231338215,173
Sncg,-0.10673976279217909,61,-0.10449041633093892,115,-0.10562326622208229,38,-0.08492671447299156,57
Subiculum,-0.02690708087731553,47,-0.020772465830470144,100,-0.04960103882253637,106,-0.06922071008639301,168
VIP,-0.004785221042179715,32,-0.021866983684602336,50,0.019001419555463445,32,-0.00713864508709054,114
VIP (DG),-0.01749828404171498,9,0.030991561600929935,12,-0.02711943336664806,18,0.025098311430140748,28
VLMC,0.11911766569453631,27,0.12345914113180347,55,0.16465520669331396,46,0.14528713005291585,16
nIPC,-0.02258226881737694,4,0.023797481665210268,14,0.06331341925231403,22,0.0638871866030717,23
rest,0.062082803541268806,932,0.07491294377982971,841,0.057793120331792784,1768,0.06621558826822031,558
