Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.003971768146367847,17,0.03362610926672159,30,0.007873366540035336,50,0.01638422127110798,19
Astrocytes,-0.011693433742636162,145,-0.025967473596056927,212,-0.010540433336803434,464,0.0055264140981570835,159
CA1,0.06349751015992466,367,0.06309952177277925,486,0.05901188640592086,403,0.06721303107959452,779
CA2,0.04645797326678256,23,0.04087783403933133,40,0.03357378562839327,21,0.03961590916877544,33
CA3,0.06381826338619478,217,0.05802268763418488,336,0.05490401598899534,209,0.057911818619108345,336
CGE-derived,0.03680911519812012,39,0.034368233879532153,95,0.024932105500025184,99,0.038669882727548996,245
CTX,0.04980339985429294,617,0.043275085223938664,756,0.04166546475717145,899,0.04648928865262109,1547
Cajal-Retzius,0.1070834717793836,2,0.08053237525145518,4,0.06883825095056109,23,0.0856862004543557,36
Car3,0.05741152170913916,21,0.0503019240388902,10,0.03400928650392861,23,0.042542995112031086,19
ENT CTX,0.03288173148226333,611,0.026518671917334296,1152,0.02738773204919377,728,0.03138869156973438,1520
Endothelial,0.05247266023548987,60,0.04490747054106693,61,0.03509318837024484,84,0.05753839661098988,26
Immature GC,0.048864002703533145,79,0.0436699054601286,32,0.04089356793488667,275,0.042960583555889754,117
Lamp5,0.006576712670037699,34,0.0057376894616344015,75,0.018432138343413052,55,0.024441572087272056,123
Lamp5 (DG),0.039798868425827645,19,0.02131097592789574,15,0.022500094220334135,26,0.031885293258529394,24
MGE-derived,0.04042081478618288,77,0.03638068182587057,111,0.0344774926339864,122,0.038263371742887284,226
MOL,0.021697850509294864,98,0.006179185834084712,91,0.009020022552053268,803,0.022442085525452002,668
Mature GC,0.05804011739717983,477,0.045734003867468585,268,0.05260040253129254,849,0.05810271223199439,540
Microglia,-0.004844867069927404,50,-0.017920389668673375,32,-0.003247093011118797,483,0.0010672181919047178,671
NFOL,-0.005316453968516051,4,0.006279742902316547,16,0.017248579536507252,50,0.018243362438039465,79
Neuroblast,0.1103965394069125,11,0.0945883711103156,5,0.11562387987966308,94,0.11538759627985971,32
OPC,0.07704974752783766,35,0.07279633832200676,73,0.06266821188452938,253,0.06327437789453584,368
PPP,0.0023513658531383206,47,0.018343157973903863,308,0.007390833423709561,84,0.016615237192987804,360
PV,0.04948667277507418,85,0.04243223970571804,162,0.04706918873352495,83,0.045173840048060854,151
Pericytes,0.07807362436545771,12,0.08064437248836988,11,0.044760650188456985,70,0.057929907902199526,20
ProS,-0.012666399107207547,65,-0.012917346255577382,122,-0.008125587806596862,60,-0.0024687230751891383,119
SST,0.04444875242479239,62,0.03733544061228651,131,0.030153297722410464,78,0.028204204643468567,173
Sncg,0.030015971736655187,61,0.031191553603023142,115,0.028616802378764628,38,0.030285712039414416,57
Subiculum,0.07723102709571103,47,0.061178317655801645,100,0.08004924516895622,106,0.07791194762322037,168
VIP,0.041684293216187815,32,0.002526450172258913,50,0.01571916516717191,32,0.03440150105722694,114
VIP (DG),0.04740496186647609,9,0.03625896564523284,12,0.049720966661533944,18,0.03505210165000762,28
VLMC,0.030557284512046215,27,0.028946488935951663,55,0.05594756326619647,46,0.03666672498037583,16
nIPC,0.12810928557856596,4,0.051904368222382244,14,0.07397522378722764,22,0.08477699862857974,23
rest,0.03924991350963463,932,0.03926540563047918,841,0.04559876406193366,1768,0.0414785236344221,558
