Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,-0.0076926956642082035,67,0.03877636849991294,49
Astrocytes,0.09936496193574111,609,0.07903067463801912,371
CA1,-0.14352642450207684,770,-0.12982168065130012,1265
CA2,-0.07554055776642411,44,-0.05421129784606983,73
CA3,-0.025568233814004367,426,-0.02976233854353076,672
CGE-derived,-0.09421179879618888,138,-0.11203011422496921,340
CTX,-0.0916059052171199,1516,-0.10174962132672462,2303
Cajal-Retzius,-0.13363308661233608,25,-0.11532571994665382,40
Car3,-0.022921134251255148,44,-0.0728301737659633,29
ENT CTX,-0.07110435091800602,1339,-0.09063826747535203,2672
Endothelial,-0.039158380566100166,144,-0.009856757687668274,87
Immature GC,-0.08463651711232395,354,-0.08855949698236099,149
Lamp5,-0.07186298160722102,89,-0.06837060241834454,198
Lamp5 (DG),-0.11882649257404719,45,-0.1308894223868966,39
MGE-derived,-0.13225217127911792,199,-0.1285613549898029,337
MOL,0.025803970547372393,901,0.020315631549968908,759
Mature GC,-0.09864237716229787,1326,-0.09592007248668649,808
Microglia,-0.16418216212952638,533,-0.14676855330688585,703
NFOL,-0.10603318337870508,54,-0.09400670321305463,95
Neuroblast,0.05659477670789377,105,0.11702736219889749,37
OPC,-0.06439305985427715,288,-0.07425442971348671,441
PPP,-0.1917114725694555,131,-0.19595744328602122,668
PV,-0.11092438251975907,168,-0.08981049838630543,313
Pericytes,-0.04623457882950306,82,-0.020469364341249643,31
ProS,-0.11611600395610445,125,-0.11728366422693298,241
SST,-0.17141777831505006,140,-0.16658196371424375,304
Sncg,-0.07320199410505039,99,-0.08287300533586127,172
Subiculum,-0.11991061243993872,153,-0.11333974380555457,268
VIP,-0.06720254811612474,64,-0.07291286703492372,164
VIP (DG),-0.09786470176579094,27,-0.13667955853891267,40
VLMC,0.06562140044107802,73,0.12477837372635386,71
nIPC,-0.015561581685782557,26,-0.047112191200696464,37
rest,-0.07692536053066942,2700,-0.07361096468896516,1399
