Cell_Type,Control-Emx1,Control-Emx1_n,Mutant-Emx1,Mutant-Emx1_n,Control-Nestin,Control-Nestin_n,Mutant-Nestin,Mutant-Nestin_n
ABC,0.2007633239063751,17,0.28053367507551596,30,0.16299142291404153,50,0.170079259651654,19
Astrocytes,-0.10133887216526372,145,-0.08856167979493125,212,-0.08708743328995772,464,-0.05503493199331372,159
CA1,-0.20685856905918193,367,-0.20659141622591198,486,-0.2064161753797463,403,-0.1612322241582115,779
CA2,-0.18763067747440104,23,-0.1690796662786737,40,-0.17882083044829053,21,-0.14837477779459599,33
CA3,-0.12845807905570414,217,-0.12623821402479138,336,-0.13841907345825025,209,-0.09257530619360496,336
CGE-derived,-0.07732930232102168,39,-0.07810653958742027,95,-0.052623954138089894,99,-0.04095262209195456,245
CTX,-0.13185358029929226,617,-0.13270501157457054,756,-0.13223823033634208,899,-0.0958815788201877,1547
Cajal-Retzius,-0.07197734764278793,2,-0.1497757060039803,4,-0.10224082512068576,23,-0.07907222927091491,36
Car3,-0.05802293104049589,21,-0.06308565778294314,10,-0.0803464915881104,23,-0.02696115495315222,19
ENT CTX,-0.07961151120208497,611,-0.12495824654008413,1152,-0.10473359523588116,728,-0.08349721994058482,1520
Endothelial,-0.048796342933785625,60,-0.021011542450997626,61,-0.02664301308809202,84,-0.008557292058071887,26
Immature GC,-0.24753420762078715,79,-0.2307800207101679,32,-0.22805035540907037,275,-0.1799255690114226,117
Lamp5,-0.020873257005432407,34,-0.001498051482859888,75,0.05651849682739297,55,0.029664458685515212,123
Lamp5 (DG),-0.08262900127063356,19,-0.026738404417145926,15,-0.0690384251574254,26,-0.055723122045240304,24
MGE-derived,-0.09875359230492947,77,-0.09629778194862885,111,-0.07718927873760204,122,-0.0416948646920477,226
MOL,-0.028118947359058913,98,-0.04527476124469242,91,-0.05544481186241464,803,-0.028427933281135027,668
Mature GC,-0.28727864425851696,477,-0.2849055706173945,268,-0.29046254138952715,849,-0.24235135344975764,540
Microglia,0.023783467264454662,50,0.02338120660679022,32,0.013812128236971567,483,0.053236922249263505,671
NFOL,-0.11196060718897205,4,-0.10795712577582214,16,-0.15220181793450507,50,-0.10749361831092749,79
Neuroblast,-0.104825580910364,11,-0.10801993778205435,5,-0.061087446349040134,94,0.005611102348407754,32
OPC,-0.04931057880112816,35,-0.043473438043005706,73,-0.052570977423817986,253,-0.027654646507603714,368
PPP,-0.16398887235274626,47,-0.19867155680520848,308,-0.17165473827450012,84,-0.1575948682817498,360
PV,0.03719072229485243,85,0.01494823344998455,162,0.03320847350062745,83,0.07488751007761721,151
Pericytes,-0.09536111513858214,12,-0.034190932221299625,11,-0.04427757544756726,70,-0.0341707584334496,20
ProS,-0.11939654548204097,65,-0.12283113553067408,122,-0.11621973435793659,60,-0.09020668713695937,119
SST,-0.02110021983875294,62,-0.028517375012339183,131,-0.010837201388354025,78,-0.00974966808320866,173
Sncg,-0.040271015901427315,61,-0.0592194036367406,115,-0.05425743436357043,38,-0.025972740278485378,57
Subiculum,-0.14580453717469455,47,-0.17734460244211847,100,-0.1567057921571131,106,-0.13459606450017914,168
VIP,-0.02159850816389843,32,-0.0689568187343126,50,-0.010677997785527296,32,-0.004417448263471702,114
VIP (DG),-0.14911452989244953,9,-0.12170133200274535,12,-0.1796862882631783,18,-0.11272314569609054,28
VLMC,-0.015358489448457345,27,-0.008412420745725072,55,-0.016734736044182554,46,-0.00830079867634037,16
nIPC,-0.20367445771951165,4,-0.0949892627542709,14,-0.10229820204541983,22,-0.03597502765267387,23
rest,-0.0846795671736092,932,-0.07227005604764973,841,-0.10361470287683004,1768,-0.05498826909280187,558
