Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.039235767585684,67,0.03114142808851687,49
Astrocytes,0.002816430824890854,609,-0.013024072120131834,371
CA1,0.044068810504717976,770,0.03759844439215286,1265
CA2,0.06578918409209586,44,0.061278092414107234,73
CA3,0.054848011697522916,426,0.04676692690649828,672
CGE-derived,0.04813841648002378,138,0.0428336652680759,340
CTX,0.04033136385056406,1516,0.03627280569838112,2303
Cajal-Retzius,0.04182872496322588,25,0.047576974690132924,40
Car3,0.004589603765930289,44,0.001748082025190717,29
ENT CTX,0.04065748724251649,1339,0.03580972735661076,2672
Endothelial,0.006069739804918785,144,0.003614774091235364,87
Immature GC,0.02641602383272283,354,0.025389697896703065,149
Lamp5,0.07269431484194679,89,0.06979716971247943,198
Lamp5 (DG),0.05898848414791495,45,0.05289929399409475,39
MGE-derived,0.04928391030243471,199,0.04995546762315527,337
MOL,-0.0033899888910582424,901,-0.007086853292233692,759
Mature GC,0.03005344318265547,1326,0.029564056919067164,808
Microglia,0.028693574809507173,533,0.021706599675625833,703
NFOL,0.002392951469471798,54,0.006383709134785937,95
Neuroblast,0.01316849555764288,105,0.014252157474024599,37
OPC,0.0003321035757627357,288,-0.0037775996340713987,441
PPP,0.013303686087055705,131,0.01375755322870328,668
PV,0.06675108093179037,168,0.06859427352377649,313
Pericytes,0.015720332794861017,82,0.016384446550855136,31
ProS,0.03549820872925747,125,0.030046442423660655,241
SST,0.05688111731821817,140,0.05471498550530382,304
Sncg,0.03796238585854151,99,0.04123616048539068,172
Subiculum,0.03620218572923667,153,0.03035785797787436,268
VIP,0.04881080321198834,64,0.05083098990433213,164
VIP (DG),0.040298827729347245,27,0.03789454258281446,40
VLMC,0.041056858095045175,73,0.04141109377359894,71
nIPC,0.011562644210610566,26,0.010242992869298136,37
rest,0.02025280157752691,2700,0.016937175596888367,1399
