Cell_Type,Control,Control_n,Mutant,Mutant_n
ABC,0.26269280147372603,67,0.3140605385357484,49
Astrocytes,-0.10283041546743296,609,-0.10843253487048446,371
CA1,0.04523785603690524,770,0.039924763354656556,1265
CA2,-0.03739410324540871,44,-0.02943552919162882,73
CA3,0.06683298691727423,426,0.06636223540238315,672
CGE-derived,-0.027305034026810514,138,-0.008207350323804383,340
CTX,0.035260159075128,1516,0.04153899549840843,2303
Cajal-Retzius,-0.12931316538868234,25,-0.15081294907097822,40
Car3,0.11304859299632741,44,0.07061326139267517,29
ENT CTX,0.05758917870539507,1339,0.058700093195841664,2672
Endothelial,0.0836029779484955,144,0.056379570624499345,87
Immature GC,0.013056970284670172,354,0.053528952127685436,149
Lamp5,-0.12041310747800266,89,-0.14180907434257634,198
Lamp5 (DG),-0.10028522824276587,45,-0.06251862258571633,39
MGE-derived,0.005276191076933027,199,0.033546853686632246,337
MOL,0.2441039947885901,901,0.2579061260888604,759
Mature GC,0.02848197136550973,1326,0.020098321803099572,808
Microglia,-0.0316901178773199,533,-0.03202281984287493,703
NFOL,-0.019768463814284085,54,-0.037850177136515485,95
Neuroblast,0.05299582921593816,105,0.019261817650333607,37
OPC,-0.197802008516624,288,-0.20548938254540175,441
PPP,0.03384336215592281,131,0.03624748308199541,668
PV,0.08235787282780745,168,0.07669671770813881,313
Pericytes,0.048619887213042126,82,0.043539892372758036,31
ProS,0.052911478456531116,125,0.05341941435723859,241
SST,-0.07268332594751731,140,-0.06836046786844721,304
Sncg,-0.10279745724797451,99,-0.10444280328602293,172
Subiculum,0.019908999601406054,153,0.015227273743842435,268
VIP,-0.034325495576620166,64,-0.042552275766572153,164
VIP (DG),-0.028549312109652808,27,0.018727863914860494,40
VLMC,0.04278278371582394,73,0.06114856277651309,71
nIPC,-0.0535046035301107,26,-0.06716073964165596,37
rest,0.050786109521232206,2700,0.05635162381967844,1399
